seurat_clusters	gene	sufficiently_represented	n_tumors_with_matched_pair	n_tumors_increase	n_tumors_decrease	median_descriptive_log2fc	mean_descriptive_log2fc
1	USP34	False	3	3	0	0.2486162706033186	0.23260206737994368
1	VEZF1	False	3	2	1	0.07237080196908519	-0.2529924930632568
1	EML5	False	3	1	0	0.0	0.07661942413279152
1	CITED2	False	3	1	2	-1.437133729178944	-1.8791402467773806
2	USP34	False	4	3	1	0.43486975475621126	0.4866020818017933
2	VEZF1	False	4	1	2	-0.3292093071828366	-1.6666419960708716
2	EML5	False	4	0	1	0.0	-0.02406073856497579
2	CITED2	False	4	2	1	0.024995335958799103	-1.0707259382195602
3	USP34	True	10	4	6	-0.18946292600538595	-0.7156162245115072
3	VEZF1	True	10	3	7	-0.19393863053160043	-0.0677235679475154
3	EML5	True	10	5	1	0.10469227818195526	0.7059991921767457
3	CITED2	True	10	5	4	0.03697772113241138	-0.7478179411629742
4	USP34	False	1	1	0	0.270100780616672	0.270100780616672
4	VEZF1	False	1	1	0	0.30838741568080774	0.30838741568080774
4	EML5	False	1	1	0	0.14358714280239673	0.14358714280239673
4	CITED2	False	1	0	1	-0.05122640569961323	-0.05122640569961323
5	USP34	False	5	1	3	-0.35289465237757334	-0.19880976908014017
5	VEZF1	False	5	1	2	0.0	1.0495855338411382
5	EML5	False	5	1	0	0.0	0.04577923962718013
5	CITED2	False	5	3	1	0.6157923744050722	2.4486254238450655
6	USP34	False	3	1	2	-0.1529995563480968	-0.12043211043915747
6	VEZF1	False	3	2	1	0.3001948847357587	0.20099763737688084
6	EML5	False	3	1	1	0.0	-0.4973107453994181
6	CITED2	False	3	2	1	0.21122671548639094	-1.5185196587746237
7	USP34	False	4	2	2	-0.23838474808879972	-0.03665960981278493
7	VEZF1	False	4	2	2	0.23825564084038975	1.4115807938520806
7	EML5	False	4	1	0	0.0	0.05733885373672961
7	CITED2	False	4	1	1	0.0	-0.3711866208224056
8	USP34	True	10	3	7	-0.04824547098973353	-0.11543877732575672
8	VEZF1	True	10	2	6	-0.16824564207643267	0.01692245946646933
8	EML5	True	10	5	1	0.013396868295910025	0.2677260286946178
8	CITED2	True	10	6	4	0.10116441095898976	-0.08567821099706804
11	USP34	False	1	0	1	-0.30988073862425836	-0.30988073862425836
11	VEZF1	False	1	0	1	-0.4133303452028576	-0.4133303452028576
11	EML5	False	1	0	1	-0.34633836348529046	-0.34633836348529046
11	CITED2	False	1	0	1	-0.15110333841231904	-0.15110333841231904
14	USP34	False	7	2	5	-0.34959514665480107	0.022125263032776715
14	VEZF1	False	7	2	5	-0.11344760357421446	0.5281714469566984
14	EML5	False	7	1	1	0.0	0.7394234997737922
14	CITED2	False	7	4	1	0.3181465478998211	0.5500130199425751
16	USP34	False	4	2	2	-0.22380306724779553	0.22183575124989807
16	VEZF1	False	4	1	3	-0.5795140326725465	-0.5631598392316031
16	EML5	False	4	0	1	0.0	-0.017173615529764666
16	CITED2	False	4	2	2	0.18967245776255615	-0.12402825348081037
17	USP34	True	10	3	7	-0.24994269914557998	-0.30811704171314824
17	VEZF1	True	10	5	5	-0.008819839758436476	0.013877212392879867
17	EML5	True	10	1	6	-0.23292822157817278	-0.60160953073282
17	CITED2	True	10	4	6	-0.19017531629564255	-0.042588211087099384
18	USP34	True	9	4	5	-0.2476895221376214	-0.7744738653056166
18	VEZF1	True	9	1	8	-0.28967254246012164	-1.2694523054533937
18	EML5	True	9	0	2	0.0	-0.1258420500838224
18	CITED2	True	9	5	3	0.34017352498024955	-0.5088146459193701
21	USP34	False	1	0	1	-0.32103374277202423	-0.32103374277202423
21	VEZF1	False	1	0	1	-0.19691923206198325	-0.19691923206198325
21	EML5	False	1	1	0	0.050594707118492566	0.050594707118492566
21	CITED2	False	1	1	0	0.2226967559722164	0.2226967559722164
23	USP34	False	1	1	0	0.09404071599638542	0.09404071599638542
23	VEZF1	False	1	0	1	-0.2939421027619593	-0.2939421027619593
23	EML5	False	1	0	1	-0.1448846988963379	-0.1448846988963379
23	CITED2	False	1	0	1	-0.3867225476946272	-0.3867225476946272
25	USP34	True	7	3	4	-0.007848679684747673	-0.5742086041856298
25	VEZF1	True	7	5	2	0.34511049872298116	-0.6884455630977884
25	EML5	True	7	0	3	0.0	-0.22283474468971992
25	CITED2	True	7	4	2	0.01082804588186459	-0.8783449517458595
