patient	malignant_fraction_control	malignant_fraction_tamoxifen	malignant_fraction_change	cluster_composition_total_variation_distance
Tumor_01	0.00029994001199760045	0.0007209805335255948	0.0004210405215279943	0.011378041623110107
Tumor_02	0.37746478873239436	0.563076923076923	0.18561213434452867	0.17776814734561208
Tumor_03	0.5380116959064327	0.5266968325791855	-0.011314863327247182	0.03920686583225284
Tumor_04	0.0	0.014285714285714285	0.014285714285714285	0.19990539262062437
Tumor_05	0.008576998050682261	0.004293381037567084	-0.004283617013115177	0.8397423692405331
Tumor_06	0.001985440105890139	0.005552308591466978	0.0035668684855768395	0.6938874643935254
Tumor_07	0.2222222222222222	0.3273542600896861	0.10513203786746389	0.10054808171400101
Tumor_08	0.018763796909492272	0.02540650406504065	0.006642707155548377	0.03924379475582836
Tumor_09	0.025889967637540454	0.05982905982905983	0.033939092191519374	0.02237305178481648
Tumor_10	0.1466346153846154	0.007194244604316547	-0.13944037078029883	0.3828859988931932
