gene	track	metric	frozen_value	source_value	match
USP34	A_all_epithelial	log2fc	-0.0334650201061386	-0.0334650201061386	True
USP34	A_all_epithelial	p_value	0.697302371273304	0.697302371273304	True
USP34	A_all_epithelial	fdr	0.900549578140749	0.900549578140749	True
USP34	B_strict_malignant	log2fc	-0.180624008897835	-0.180624008897835	True
USP34	B_strict_malignant	p_value	0.315863817029613	0.315863817029613	True
USP34	B_strict_malignant	fdr	0.703086078272564	0.703086078272564	True
VEZF1	A_all_epithelial	log2fc	-0.0505827437413172	-0.0505827437413172	True
VEZF1	A_all_epithelial	p_value	0.667974993574959	0.667974993574959	True
VEZF1	A_all_epithelial	fdr	0.890005371824952	0.890005371824952	True
VEZF1	B_strict_malignant	log2fc	-0.436025202244726	-0.436025202244726	True
VEZF1	B_strict_malignant	p_value	0.0215208679721136	0.0215208679721136	True
VEZF1	B_strict_malignant	fdr	0.51885876990854	0.51885876990854	True
EML5	A_all_epithelial	log2fc	0.630181402620734	0.630181402620734	True
EML5	A_all_epithelial	p_value	0.0627800265218925	0.0627800265218925	True
EML5	A_all_epithelial	fdr	0.385544026046219	0.385544026046219	True
EML5	B_strict_malignant	not_tested			True
CITED2	A_all_epithelial	log2fc	0.19690414713124	0.19690414713124	True
CITED2	A_all_epithelial	p_value	0.070506161673923	0.070506161673923	True
CITED2	A_all_epithelial	fdr	0.402857156934197	0.402857156934197	True
CITED2	B_strict_malignant	log2fc	0.046714761965582	0.046714761965582	True
CITED2	B_strict_malignant	p_value	0.806113319999418	0.806113319999418	True
CITED2	B_strict_malignant	fdr	0.936726651731093	0.936726651731093	True
