patient	malignancy_status	condition	gene	n_cells	pseudobulk_raw_umi	pseudobulk_library_size	pseudobulk_normalized_expression	fraction_expressing	mean_normalized_per_cell	median_normalized_per_cell	mean_normalized_positive_cells_only	median_normalized_positive_cells_only
Tumor_01	all_epithelial	Control	USP34	3334	4243.0	78598253.0	5.7809239054075015	0.562387522495501	0.3661404071634631	0.305202792632836	0.6510464626575925	0.609220075100643
Tumor_01	all_epithelial	Control	VEZF1	3334	5282.0	78598253.0	6.091752960844486	0.6106778644271146	0.43266120232582106	0.4370361693015885	0.7084933440836382	0.6708901833617824
Tumor_01	all_epithelial	Control	EML5	3334	0.0	78598253.0	0.0	0.0	0.0	0.0		
Tumor_01	all_epithelial	Control	CITED2	3334	2160.0	78598253.0	4.831954583766357	0.2891421715656869	0.16941632399164128	0.0	0.5859274109835394	0.503094646393359
Tumor_01	all_epithelial	Tamoxifen	USP34	2774	4573.0	72071954.0	6.010119174544455	0.6438356164383562	0.4168027950935559	0.423746746219614	0.6473745540814804	0.6113810633353509
Tumor_01	all_epithelial	Tamoxifen	VEZF1	2774	5712.0	72071954.0	6.326503729410304	0.6737563085796684	0.46817598980524044	0.5018217878806039	0.694874369031427	0.655184352476055
Tumor_01	all_epithelial	Tamoxifen	EML5	2774	9.0	72071954.0	0.1697649554646606	0.0032444124008651765	0.0015597195967755508	0.0	0.48074024016170863	0.425174573117825
Tumor_01	all_epithelial	Tamoxifen	CITED2	2774	1894.0	72071954.0	4.769734352023845	0.32444124008651765	0.16844061203519037	0.0	0.5191713975395756	0.44807204178375504
Tumor_01	malignant	Control	USP34	1	1.0	7613.0	7.048260847097042	1.0	0.838779953426083	0.838779953426083	0.838779953426083	0.838779953426083
Tumor_01	malignant	Control	VEZF1	1	0.0	7613.0	0.0	0.0	0.0	0.0		
Tumor_01	malignant	Control	EML5	1	0.0	7613.0	0.0	0.0	0.0	0.0		
