patient	gene	library_size_Control	library_size_Tamoxifen	n_cells_Control	n_cells_Tamoxifen	normalized_expression_Control	normalized_expression_Tamoxifen	raw_umi_gene_Control	raw_umi_gene_Tamoxifen	log_fold_change_descriptive	direction_control_to_tam
Tumor_01	CITED2	78598253.0	72071954.0	3334.0	2774.0	4.831954583766357	4.769734352023845	2160.0	1894.0	-0.062220231742511345	decrease
Tumor_01	EML5	78598253.0	72071954.0	3334.0	2774.0	0.0	0.1697649554646606	0.0	9.0	0.1697649554646606	increase
Tumor_01	USP34	78598253.0	72071954.0	3334.0	2774.0	5.7809239054075015	6.010119174544455	4243.0	4573.0	0.22919526913695343	increase
Tumor_01	VEZF1	78598253.0	72071954.0	3334.0	2774.0	6.091752960844486	6.326503729410304	5282.0	5712.0	0.2347507685658181	increase
Tumor_02	CITED2	16310709.0	17837059.0	355.0	325.0	5.773654754273654	5.403215587973772	876.0	737.0	-0.3704391662998816	decrease
Tumor_02	EML5	16310709.0	17837059.0	355.0	325.0	0.633928425563507	0.22427390479798603	9.0	3.0	-0.409654520765521	decrease
Tumor_02	USP34	16310709.0	17837059.0	355.0	325.0	5.997822098584391	5.9475793719542525	1026.0	1083.0	-0.05024272663013818	decrease
Tumor_02	VEZF1	16310709.0	17837059.0	355.0	325.0	6.128728297345991	5.833066944510371	1125.0	999.0	-0.29566135283562023	decrease
Tumor_03	CITED2	25892967.0	34876259.0	513.0	1105.0	4.967099064326747	4.986800857542597	784.0	1071.0	0.01970179321584986	increase
Tumor_03	EML5	25892967.0	34876259.0	513.0	1105.0	0.7939291589336948	0.572829147147029	19.0	17.0	-0.22110001178666572	decrease
Tumor_03	USP34	25892967.0	34876259.0	513.0	1105.0	6.757697746339741	6.155365376219271	2776.0	2451.0	-0.6023323701204708	decrease
Tumor_03	VEZF1	25892967.0	34876259.0	513.0	1105.0	6.307548102535223	5.69989134676592	2025.0	1778.0	-0.6076567557693027	decrease
Tumor_04	CITED2	3009328.0	1612902.0	151.0	70.0	6.237166409064995	6.673274822315292	224.0	163.0	0.43610841325029615	increase
Tumor_04	EML5	3009328.0	1612902.0	151.0	70.0	0.9977623079579487	1.1634993392456268	3.0	2.0	0.16573703128767803	increase
Tumor_04	USP34	3009328.0	1612902.0	151.0	70.0	6.158814080096072	6.328406741763011	212.0	128.0	0.16959266166693965	increase
Tumor_04	VEZF1	3009328.0	1612902.0	151.0	70.0	5.353182550459557	6.404291147948404	120.0	135.0	1.051108597488847	increase
Tumor_05	CITED2	53574062.0	39075035.0	2565.0	2795.0	4.303080202975852	4.713338542488896	1004.0	986.0	0.41025833951304413	increase
Tumor_05	EML5	53574062.0	39075035.0	2565.0	2795.0	0.10388431600097521	0.29904074242319256	4.0	9.0	0.19515642642221737	increase
Tumor_05	USP34	53574062.0	39075035.0	2565.0	2795.0	5.732561420336933	5.79601861242326	2795.0	2132.0	0.06345719208632694	increase
Tumor_05	VEZF1	53574062.0	39075035.0	2565.0	2795.0	5.41171852674241	5.534455344412691	2227.0	1772.0	0.12273681767028055	increase
Tumor_06	CITED2	83844283.0	66776124.0	4533.0	3422.0	4.406272741724983	4.724009012414133	1694.0	1698.0	0.3177362706891502	increase
Tumor_06	EML5	83844283.0	66776124.0	4533.0	3422.0	0.3086374720756995	0.7939335032137208	20.0	49.0	0.4852960311380213	increase
Tumor_06	USP34	83844283.0	66776124.0	4533.0	3422.0	6.130694386635583	6.26875337583979	5791.0	5082.0	0.13805898920420656	increase
Tumor_06	VEZF1	83844283.0	66776124.0	4533.0	3422.0	5.650938365485628	5.789620263438901	4129.0	3627.0	0.13868189795327357	increase
Tumor_07	CITED2	15905488.0	25617186.0	360.0	446.0	4.881700622912129	5.0311071312519555	453.0	812.0	0.14940650833982616	increase
Tumor_07	EML5	15905488.0	25617186.0	360.0	446.0	0.7037331246901704	0.7343233285154729	10.0	17.0	0.03059020382530253	increase
Tumor_07	USP34	15905488.0	25617186.0	360.0	446.0	5.831764002198482	5.461300406222863	890.0	1103.0	-0.37046359597561906	decrease
Tumor_07	VEZF1	15905488.0	25617186.0	360.0	446.0	4.783022988979671	4.388709347748755	422.0	511.0	-0.3943136412309167	decrease
