patient	gene	library_size_Control	library_size_Tamoxifen	low_cell_count_warning_Control	low_cell_count_warning_Tamoxifen	n_cells_Control	n_cells_Tamoxifen	normalized_expression_Control	normalized_expression_Tamoxifen	raw_umi_gene_Control	raw_umi_gene_Tamoxifen	log_fold_change_descriptive	direction_control_to_tam
Tumor_01	CITED2	7613.0	23188.0	1.0	1.0	1.0	2.0	7.048260847097042	0.0	1.0	0.0	-7.048260847097042	decrease
Tumor_01	EML5	7613.0	23188.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	equal
Tumor_01	USP34	7613.0	23188.0	1.0	1.0	1.0	2.0	7.048260847097042	0.0	1.0	0.0	-7.048260847097042	decrease
Tumor_01	VEZF1	7613.0	23188.0	1.0	1.0	1.0	2.0	0.0	5.463549048481527	0.0	1.0	5.463549048481527	increase
Tumor_02	CITED2	8340565.0	11595504.0	0.0	0.0	134.0	183.0	5.222204632699854	4.867925383330942	303.0	327.0	-0.3542792493689122	decrease
Tumor_02	EML5	8340565.0	11595504.0	0.0	0.0	134.0	183.0	0.1633647026388567	0.11934332336456477	1.0	1.0	-0.04402137927429192	decrease
Tumor_02	USP34	8340565.0	11595504.0	0.0	0.0	134.0	183.0	5.7483061104730435	5.8941129350505275	440.0	678.0	0.14580682457748395	increase
Tumor_02	VEZF1	8340565.0	11595504.0	0.0	0.0	134.0	183.0	6.12804947429018	5.829944131592679	575.0	648.0	-0.2981053426975011	decrease
Tumor_03	CITED2	13687682.0	18908726.0	0.0	0.0	276.0	582.0	4.699660959631697	4.520267531140703	342.0	415.0	-0.17939342849099482	decrease
Tumor_03	EML5	13687682.0	18908726.0	0.0	0.0	276.0	582.0	0.5958938562745446	0.45438591305575954	7.0	7.0	-0.14150794321878507	decrease
Tumor_03	USP34	13687682.0	18908726.0	0.0	0.0	276.0	582.0	6.667813524561366	5.937570972879608	1378.0	1140.0	-0.7302425516817577	decrease
Tumor_03	VEZF1	13687682.0	18908726.0	0.0	0.0	276.0	582.0	6.451229791173501	5.517090892658665	1184.0	847.0	-0.9341388985148358	decrease
Tumor_04	CITED2	0.0	8247.0	1.0	1.0	0.0	1.0		6.933763990156877	0.0	1.0		not_comparable
Tumor_04	EML5	0.0	8247.0	1.0	1.0	0.0	1.0		0.0	0.0	0.0		not_comparable
Tumor_04	USP34	0.0	8247.0	1.0	1.0	0.0	1.0		7.927851598450571	0.0	2.0		not_comparable
Tumor_04	VEZF1	0.0	8247.0	1.0	1.0	0.0	1.0		8.924886291485297	0.0	4.0		not_comparable
Tumor_05	CITED2	197218.0	127283.0	1.0	1.0	22.0	12.0	6.359810998039161	5.019080714677183	16.0	4.0	-1.340730283361978	decrease
Tumor_05	EML5	197218.0	127283.0	1.0	1.0	22.0	12.0	0.0	3.1467380940091094	0.0	1.0	3.1467380940091094	increase
Tumor_05	USP34	197218.0	127283.0	1.0	1.0	22.0	12.0	6.747939890575858	5.807240560050194	21.0	7.0	-0.9406993305256641	decrease
Tumor_05	VEZF1	197218.0	127283.0	1.0	1.0	22.0	12.0	6.8144438313711255	5.807240560050194	22.0	7.0	-1.0072032713209316	decrease
Tumor_06	CITED2	115245.0	218152.0	1.0	1.0	9.0	19.0	4.756569564580698	3.345952624902562	3.0	2.0	-1.4106169396781354	decrease
Tumor_06	EML5	115245.0	218152.0	1.0	1.0	9.0	19.0	0.0	0.0	0.0	0.0	0.0	equal
Tumor_06	USP34	115245.0	218152.0	1.0	1.0	9.0	19.0	6.137858585924987	5.684357525503662	8.0	11.0	-0.453501060421325	decrease
Tumor_06	VEZF1	115245.0	218152.0	1.0	1.0	9.0	19.0	4.756569564580698	6.302452798104687	3.0	17.0	1.5458832335239894	increase
Tumor_07	CITED2	3397189.0	8697423.0	0.0	0.0	80.0	146.0	4.749736405832819	5.101952979245531	88.0	290.0	0.3522165734127114	increase
Tumor_07	EML5	3397189.0	8697423.0	0.0	0.0	80.0	146.0	0.3722400601287665	0.6552445870123899	1.0	5.0	0.2830045268836234	increase
Tumor_07	USP34	3397189.0	8697423.0	0.0	0.0	80.0	146.0	5.808526885130745	5.496686318968018	187.0	384.0	-0.3118405661627275	decrease
Tumor_07	VEZF1	3397189.0	8697423.0	0.0	0.0	80.0	146.0	4.79633051024205	4.408431925522873	91.0	176.0	-0.38789858471917693	decrease
Tumor_08	CITED2	226816.0	238429.0	1.0	1.0	17.0	25.0	3.2953880350985294	4.457502587861129	2.0	5.0	1.1621145527626	increase
Tumor_08	EML5	226816.0	238429.0	1.0	1.0	17.0	25.0	0.0	2.3768795343791074	0.0	1.0	2.3768795343791074	increase
Tumor_08	USP34	226816.0	238429.0	1.0	1.0	17.0	25.0	6.67812517449356	6.334287463225326	23.0	19.0	-0.34383771126823337	decrease
Tumor_08	VEZF1	226816.0	238429.0	1.0	1.0	17.0	25.0	7.470491327122485	6.887956297828165	40.0	28.0	-0.5825350292943199	decrease
Tumor_09	CITED2	1044714.0	2901857.0	1.0	0.0	48.0	119.0	5.461855591813548	6.054746794667598	45.0	190.0	0.5928912028540498	increase
Tumor_09	EML5	1044714.0	2901857.0	1.0	0.0	48.0	119.0	0.0	0.7563519707366174	0.0	2.0	0.7563519707366174	increase
Tumor_09	USP34	1044714.0	2901857.0	1.0	0.0	48.0	119.0	6.397056440074756	6.846303879876154	87.0	331.0	0.4492474398013977	increase
Tumor_09	VEZF1	1044714.0	2901857.0	1.0	0.0	48.0	119.0	6.329977133353316	6.719948627793873	83.0	303.0	0.389971494440557	increase
Tumor_10	CITED2	2239233.0	50518.0	0.0	1.0	61.0	2.0	5.958417308428455	5.916112909118428	137.0	3.0	-0.042304399310027385	decrease
Tumor_10	EML5	2239233.0	50518.0	0.0	1.0	61.0	2.0	1.2263509697464323	0.0	3.0	0.0	-1.2263509697464323	decrease
Tumor_10	USP34	2239233.0	50518.0	0.0	1.0	61.0	2.0	6.792582680727771	7.898081923535274	246.0	12.0	1.105499242807503	increase
Tumor_10	VEZF1	2239233.0	50518.0	0.0	1.0	61.0	2.0	6.6777055106588445	7.6362566197771296	227.0	10.0	0.958551109118285	increase
