group	n_usp34_high_cells	pct_of_all_usp34_high	n_total_tam_cells_in_cluster	pct_of_cluster_that_is_usp34_high	breakdown_by	n_total_tam_cells	pct_of_patient_tam_cells_that_are_usp34_high
1	222	9.775429326287979	1434.0	15.481171548117155	cluster		
2	9	0.3963011889035667	51.0	17.647058823529413	cluster		
3	270	11.889035667107	1417.0	19.054340155257588	cluster		
4	108	4.755614266842801	1305.0	8.275862068965518	cluster		
5	297	13.077939233817702	2514.0	11.813842482100238	cluster		
6	26	1.1448701012769704	203.0	12.807881773399014	cluster		
7	421	18.538088947600176	2336.0	18.022260273972602	cluster		
8	240	10.568031704095112	1221.0	19.656019656019655	cluster		
11	263	11.580801409070894	975.0	26.974358974358974	cluster		
14	132	5.812417437252312	696.0	18.96551724137931	cluster		
16	84	3.6988110964332894	779.0	10.783055198973042	cluster		
17	92	4.051078819903126	366.0	25.136612021857925	cluster		
18	64	2.8181417877586967	222.0	28.82882882882883	cluster		
21	14	0.6164685160722149	353.0	3.9660056657223794	cluster		
23	12	0.5284015852047557	203.0	5.911330049261084	cluster		
25	17	0.7485689123734038	113.0	15.044247787610619	cluster		
Tumor_01	337	14.839277851166887			patient	2774.0	12.148521989906273
Tumor_02	36	1.5852047556142668			patient	325.0	11.076923076923077
Tumor_03	142	6.252752091589608			patient	1105.0	12.850678733031675
Tumor_04	12	0.5284015852047557			patient	70.0	17.142857142857142
Tumor_05	339	14.927344782034346			patient	2795.0	12.128801431127012
Tumor_06	647	28.489652135623075			patient	3422.0	18.90707188778492
Tumor_07	32	1.4090708938793484			patient	446.0	7.174887892376682
Tumor_08	264	11.624834874504623			patient	984.0	26.829268292682926
Tumor_09	352	15.499779832672832			patient	1989.0	17.69733534439417
Tumor_10	110	4.84368119771026			patient	278.0	39.568345323741006
