gene_symbol	crispr_effect_size	crispr_fdr	crispr_is_sensitising	bulk_tamr_vs_mcf7_log2fc	bulk_tamr_vs_mcf7_fdr	bulk_evidence_class	sc_track_a_tested	sc_track_a_log2fc	sc_track_a_p_value	sc_track_a_candidate_set_bh_fdr	sc_track_a_direction	sc_track_a_n_patients_up	sc_track_a_n_patients_down	sc_track_b_tested	sc_track_b_log2fc	sc_track_b_p_value	sc_track_b_candidate_set_bh_fdr	sc_track_b_direction	sc_track_b_n_patients_up	sc_track_b_n_patients_down	sc_track_b_exploratory_n3	sc_track_b_n_patient_pairs	malignant_context_tested	malignant_context_mean_delta	malignant_context_p_value	malignant_context_bh_fdr	malignant_context_direction	malignant_context_n_patients	flag_crispr_sensitising_and_sc_track_a_same_direction_as_bulk	flag_sc_track_a_and_track_b_same_direction
USP34	-1.3912980676838431	0.0416851803622835	True	0.590437436807219	0.0073136129571408	PRIMARY_RESISTANCE_SUPPORT	True	-0.0334650201061386	0.697302371273304	0.755692917713756	down	5	5	True	-0.180624008897835	0.315863817029613	0.4077065378123413	down	1	2	True	3	True	-0.0664467499282825	0.625	0.8333333333333334	down_in_malignant	5	False	True
CTDNEP1	-1.3929700500469568	0.0691834175190324	True	-0.354663041745843	0.25349742818574	SECONDARY_CONTEXT_SUPPORT	True	0.15110673769838	0.106340177230712	0.638041063384272	up	7	3	True	0.304676723801525	0.0774339615916268	0.1858415078199043	up	3	0	True	3	True	-0.543768658872195	0.0625	0.3	down_in_malignant	5	False	True
EIF4ENIF1	-1.5506541534723943	0.0372575660229722	True	0.53145903933498	0.0529761966227399	SECONDARY_CONTEXT_SUPPORT	True	-0.0618984390937733	0.562927525960468	0.755692917713756	down	5	5	True	-0.259810148331114	0.22699538300837	0.340493074512555	down	0	3	True	3	True	-0.0125391825718382	0.8125	0.8863636363636364	down_in_malignant	5	False	True
HMGB1	-1.4740651006700034	0.0372575660229722	True	-0.0794061555047207	0.731817935481995	SECONDARY_CONTEXT_SUPPORT	True	-0.0697664035194113	0.488249127360714	0.755692917713756	down	5	5	True	0.164731106307106	0.418940494794767	0.451106746041953	up	1	2	True	3	True	-0.1783760418802217	0.125	0.3	down_in_malignant	5	True	False
KDM1A	-2.167335634799461	0.0003849877126404	True	0.146667919066447	0.493845720601604	SECONDARY_CONTEXT_SUPPORT	True	-0.215079883472444	0.0543061699862238	0.638041063384272	down	4	6	True	-0.362291502794021	0.0504392838528707	0.1858415078199043	down	0	3	True	3	True	0.0144707432357181	0.8125	0.8863636363636364	up_in_malignant	5	False	True
PET117	-1.8279505886266567	0.0419031835559097	True	-0.0587411607946384	0.783384004604082	SECONDARY_CONTEXT_SUPPORT	True	0.0463310730641482	0.755692917713756	0.755692917713756	up	5	5	True	0.432519344643182	0.0396736723456025	0.1858415078199043	up	2	1	True	3	True	0.4245110687008573	0.125	0.3	up_in_malignant	5	False	True
TADA2B	-2.0643649381530107	0.0145874633758381	True	0.0065434913994528	0.984583852830181	SECONDARY_CONTEXT_SUPPORT	True	0.0702306580392095	0.469688894293384	0.755692917713756	up	5	5	True	-0.154267537692414	0.451106746041953	0.451106746041953	down	1	2	True	3	True	0.145282223247619	0.4375	0.75	up_in_malignant	5	True	False
VEZF1	-1.602445388833546	0.0372575660229722	True	0.426552278550176	0.237500391027449	SECONDARY_CONTEXT_SUPPORT	True	-0.0505827437413172	0.667974993574959	0.755692917713756	down	4	6	True	-0.436025202244726	0.0215208679721136	0.1858415078199043	down	0	3	True	3	True	0.1531903100487578	1.0	1.0	up_in_malignant	5	False	True
TLK2	-1.848198303730188	0.0016758310698192	True	-0.151752544851276	0.674943903042664	NO_SIGNIFICANT_RNA_SUPPORT	True	-0.0362993225303796	0.651540954112414	0.755692917713756	down	3	7	True	-0.221502174721007	0.185792526203101	0.3185014734910302	down	0	3	True	3	True	0.3972531272665126	0.125	0.3	up_in_malignant	5	True	True
ICK	-1.2245539921905229	0.0372575660229722	True	0.106733026979587	0.663325990388584	NO_SIGNIFICANT_RNA_SUPPORT	True	-0.0894575161021647	0.331794850446173	0.755692917713756	down	4	6	True	-0.172517635891842	0.339755448176951	0.4077065378123413	down	0	3	True	3	True	0.1812095137276879	0.625	0.8333333333333334	up_in_malignant	5	False	True
SUPT4H1	-1.6837884606622353	0.0372575660229722	True	0.037335300465398	0.893464168113868	NO_SIGNIFICANT_RNA_SUPPORT	True	0.0698538693732563	0.494197014546449	0.755692917713756	up	6	4	True	0.277728602004246	0.147888913250191	0.295777826500382	up	2	1	True	3	True	0.1432527694098208	0.3125	0.625	up_in_malignant	5	True	True
TSR3	-1.6187529731582495	0.0679959978896869	True	-0.467160834528706	0.19102192420909	NO_SIGNIFICANT_RNA_SUPPORT	True	-0.134880623343638	0.310346813322426	0.755692917713756	down	5	5	True	0.356923934758475	0.0730870414055695	0.1858415078199043	up	2	1	True	3	True	0.4604842310901668	0.125	0.3	up_in_malignant	5	True	False
USP17L29	-2.1448239489713394	0.0280336431249791	True			RNA_UNAVAILABLE	False				not_tested	0	0	False				not_tested	0	0	True	3	True	0.0			unchanged	5		
