gene	track	tested	reason_not_tested	log2fc	avg_log_cpm	p_value	genomewide_fdr	candidate_set_bh_fdr	direction	n_patients_up	n_patients_down	n_patients_tested	direction_consistent_fraction
USP34	track_a_epithelial	True		-0.0334650201061386	6.22533592346096	0.697302371273304	0.900549578140749	0.755692917713756	down	5	5	10	0.5
CTDNEP1	track_a_epithelial	True		0.15110673769838	6.13469053483195	0.106340177230712	0.462797185542904	0.638041063384272	up	7	3	10	0.7
EIF4ENIF1	track_a_epithelial	True		-0.0618984390937733	3.66615275263906	0.562927525960468	0.839383757340375	0.755692917713756	down	5	5	10	0.5
HMGB1	track_a_epithelial	True		-0.0697664035194113	9.04723861046381	0.488249127360714	0.800435901224173	0.755692917713756	down	5	5	10	0.5
KDM1A	track_a_epithelial	True		-0.215079883472444	5.14163666227354	0.0543061699862238	0.369442163215661	0.638041063384272	down	4	6	10	0.6
PET117	track_a_epithelial	True		0.0463310730641482	4.41825059176473	0.755692917713756	0.922436902008411	0.755692917713756	up	5	5	10	0.5
TADA2B	track_a_epithelial	True		0.0702306580392095	3.92628874446664	0.469688894293384	0.789858424764366	0.755692917713756	up	5	5	10	0.5
VEZF1	track_a_epithelial	True		-0.0505827437413172	6.04866543748762	0.667974993574959	0.890005371824952	0.755692917713756	down	4	6	10	0.6
TLK2	track_a_epithelial	True		-0.0362993225303796	5.4842787321797	0.651540954112414	0.882198640375374	0.755692917713756	down	3	7	10	0.7
ICK	track_a_epithelial	True		-0.0894575161021647	4.25938669445805	0.331794850446173	0.699401614317978	0.755692917713756	down	4	6	10	0.6
SUPT4H1	track_a_epithelial	True		0.0698538693732563	6.46923600363488	0.494197014546449	0.803091952332355	0.755692917713756	up	6	4	10	0.6
TSR3	track_a_epithelial	True		-0.134880623343638	6.43241277742824	0.310346813322426	0.682338116517599	0.755692917713756	down	5	5	10	0.5
USP17L29	track_a_epithelial	False	filtered out by edgeR filterByExpr (too lowly expressed to test)						not_tested	0	0	0	
