gene	track	tested	reason_not_tested	log2fc	avg_log_cpm	p_value	genomewide_fdr	candidate_set_bh_fdr	direction	n_patients_up	n_patients_down	n_patients_tested	direction_consistent_fraction
USP34	track_b_malignant	True		-0.180624008897835	5.96606011665899	0.315863817029613	0.703086078272564	0.4077065378123413	down	1	2	3	0.6666666666666666
CTDNEP1	track_b_malignant	True		0.304676723801525	5.82423197690188	0.0774339615916268	0.560098840484709	0.18584150781990433	up	3	0	3	1.0
EIF4ENIF1	track_b_malignant	True		-0.259810148331114	3.54744555340552	0.22699538300837	0.647959512553079	0.340493074512555	down	0	3	3	1.0
HMGB1	track_b_malignant	True		0.164731106307106	8.88059221552484	0.418940494794767	0.763953154172748	0.45110674604195306	up	1	2	3	0.6666666666666666
KDM1A	track_b_malignant	True		-0.362291502794021	5.30199386480316	0.0504392838528707	0.546271051771107	0.18584150781990433	down	0	3	3	1.0
PET117	track_b_malignant	True		0.432519344643182	5.31666645337867	0.0396736723456025	0.531923452695452	0.18584150781990433	up	2	1	3	0.6666666666666666
TADA2B	track_b_malignant	True		-0.154267537692414	4.05168922349802	0.451106746041953	0.784486461726752	0.45110674604195306	down	1	2	3	0.6666666666666666
VEZF1	track_b_malignant	True		-0.436025202244726	5.66528197153232	0.0215208679721136	0.51885876990854	0.18584150781990433	down	0	3	3	1.0
TLK2	track_b_malignant	True		-0.221502174721007	5.65302569141995	0.185792526203101	0.628030081252529	0.31850147349103025	down	0	3	3	1.0
ICK	track_b_malignant	True		-0.172517635891842	4.64717400968132	0.339755448176951	0.717664144153142	0.4077065378123413	down	0	3	3	1.0
SUPT4H1	track_b_malignant	True		0.277728602004246	6.47301303358875	0.147888913250191	0.598419148974724	0.295777826500382	up	2	1	3	0.6666666666666666
TSR3	track_b_malignant	True		0.356923934758475	7.0178253138836	0.0730870414055695	0.555923915141495	0.18584150781990433	up	2	1	3	0.6666666666666666
USP17L29	track_b_malignant	False	filtered out by edgeR filterByExpr (too lowly expressed to test)						not_tested	0	0	0	
