sample_id	broad_cell_type	n_cells
Tumor_01_Control	b_plasma	32
Tumor_01_Tamoxifen	b_plasma	24
Tumor_02_Control	b_plasma	92
Tumor_02_Tamoxifen	b_plasma	83
Tumor_03_Control	b_plasma	38
Tumor_03_Tamoxifen	b_plasma	60
Tumor_04_Control	b_plasma	20
Tumor_04_Tamoxifen	b_plasma	13
Tumor_05_Control	b_plasma	13
Tumor_05_Tamoxifen	b_plasma	8
Tumor_06_Control	b_plasma	13
Tumor_06_Tamoxifen	b_plasma	6
Tumor_07_Control	b_plasma	252
Tumor_07_Tamoxifen	b_plasma	226
Tumor_08_Control	b_plasma	2
Tumor_09_Control	b_plasma	13
Tumor_09_Tamoxifen	b_plasma	14
Tumor_10_Control	b_plasma	70
Tumor_10_Tamoxifen	b_plasma	18
Tumor_01_Control	endothelial	57
Tumor_01_Tamoxifen	endothelial	43
Tumor_02_Control	endothelial	207
Tumor_02_Tamoxifen	endothelial	162
Tumor_03_Control	endothelial	64
Tumor_03_Tamoxifen	endothelial	105
Tumor_04_Control	endothelial	37
Tumor_04_Tamoxifen	endothelial	29
Tumor_05_Control	endothelial	13
Tumor_05_Tamoxifen	endothelial	8
Tumor_06_Control	endothelial	129
Tumor_06_Tamoxifen	endothelial	89
Tumor_07_Control	endothelial	91
Tumor_07_Tamoxifen	endothelial	114
Tumor_08_Control	endothelial	5
Tumor_08_Tamoxifen	endothelial	2
Tumor_09_Control	endothelial	65
Tumor_09_Tamoxifen	endothelial	98
Tumor_10_Control	endothelial	122
Tumor_10_Tamoxifen	endothelial	102
Tumor_01_Control	epithelial	3334
Tumor_01_Tamoxifen	epithelial	2774
Tumor_02_Control	epithelial	355
Tumor_02_Tamoxifen	epithelial	325
Tumor_03_Control	epithelial	513
Tumor_03_Tamoxifen	epithelial	1105
Tumor_04_Control	epithelial	151
Tumor_04_Tamoxifen	epithelial	70
Tumor_05_Control	epithelial	2565
Tumor_05_Tamoxifen	epithelial	2795
Tumor_06_Control	epithelial	4533
Tumor_06_Tamoxifen	epithelial	3422
Tumor_07_Control	epithelial	360
Tumor_07_Tamoxifen	epithelial	446
Tumor_08_Control	epithelial	906
Tumor_08_Tamoxifen	epithelial	984
Tumor_09_Control	epithelial	1854
Tumor_09_Tamoxifen	epithelial	1989
Tumor_10_Control	epithelial	416
Tumor_10_Tamoxifen	epithelial	278
Tumor_01_Control	fibroblast	485
Tumor_01_Tamoxifen	fibroblast	376
Tumor_02_Control	fibroblast	846
Tumor_02_Tamoxifen	fibroblast	632
Tumor_03_Control	fibroblast	702
Tumor_03_Tamoxifen	fibroblast	1217
Tumor_04_Control	fibroblast	630
Tumor_04_Tamoxifen	fibroblast	292
Tumor_05_Control	fibroblast	307
Tumor_05_Tamoxifen	fibroblast	185
Tumor_06_Control	fibroblast	147
Tumor_06_Tamoxifen	fibroblast	209
Tumor_07_Control	fibroblast	456
Tumor_07_Tamoxifen	fibroblast	489
Tumor_08_Control	fibroblast	135
Tumor_08_Tamoxifen	fibroblast	28
Tumor_09_Control	fibroblast	589
Tumor_09_Tamoxifen	fibroblast	704
Tumor_10_Control	fibroblast	231
Tumor_10_Tamoxifen	fibroblast	97
Tumor_01_Control	myeloid	123
Tumor_01_Tamoxifen	myeloid	106
Tumor_02_Control	myeloid	107
Tumor_02_Tamoxifen	myeloid	77
Tumor_03_Control	myeloid	194
Tumor_03_Tamoxifen	myeloid	301
Tumor_04_Control	myeloid	36
Tumor_04_Tamoxifen	myeloid	11
Tumor_05_Control	myeloid	70
Tumor_05_Tamoxifen	myeloid	58
Tumor_06_Control	myeloid	114
Tumor_06_Tamoxifen	myeloid	79
Tumor_07_Control	myeloid	371
Tumor_07_Tamoxifen	myeloid	390
Tumor_08_Control	myeloid	62
Tumor_08_Tamoxifen	myeloid	22
Tumor_09_Control	myeloid	108
Tumor_09_Tamoxifen	myeloid	108
Tumor_10_Control	myeloid	58
Tumor_10_Tamoxifen	myeloid	20
Tumor_01_Control	t_nk	59
Tumor_01_Tamoxifen	t_nk	21
Tumor_02_Control	t_nk	65
Tumor_02_Tamoxifen	t_nk	64
Tumor_03_Control	t_nk	86
Tumor_03_Tamoxifen	t_nk	50
Tumor_04_Control	t_nk	7
Tumor_04_Tamoxifen	t_nk	10
Tumor_05_Control	t_nk	10
Tumor_05_Tamoxifen	t_nk	5
Tumor_06_Control	t_nk	4
Tumor_06_Tamoxifen	t_nk	2
Tumor_07_Control	t_nk	58
Tumor_07_Tamoxifen	t_nk	73
Tumor_08_Control	t_nk	3
Tumor_09_Control	t_nk	13
Tumor_09_Tamoxifen	t_nk	12
Tumor_10_Control	t_nk	99
Tumor_10_Tamoxifen	t_nk	66
Tumor_01_Control	uncertain	18
Tumor_01_Tamoxifen	uncertain	13
Tumor_02_Control	uncertain	12
Tumor_02_Tamoxifen	uncertain	9
Tumor_03_Control	uncertain	199
Tumor_03_Tamoxifen	uncertain	139
Tumor_04_Control	uncertain	25
Tumor_04_Tamoxifen	uncertain	7
Tumor_05_Control	uncertain	30
Tumor_05_Tamoxifen	uncertain	14
Tumor_06_Control	uncertain	3
Tumor_06_Tamoxifen	uncertain	4
Tumor_07_Control	uncertain	21
Tumor_07_Tamoxifen	uncertain	25
Tumor_08_Control	uncertain	1
Tumor_09_Tamoxifen	uncertain	1
Tumor_10_Control	uncertain	21
Tumor_10_Tamoxifen	uncertain	5
