cluster	patient	condition	n_cells
0	Tumor_01	Control	297
1	Tumor_01	Control	1678
2	Tumor_01	Control	2
3	Tumor_01	Control	4
4	Tumor_01	Control	1561
5	Tumor_01	Control	1
6	Tumor_01	Control	3
7	Tumor_01	Control	1
8	Tumor_01	Control	13
9	Tumor_01	Control	92
10	Tumor_01	Control	104
12	Tumor_01	Control	57
13	Tumor_01	Control	19
14	Tumor_01	Control	1
15	Tumor_01	Control	73
17	Tumor_01	Control	20
18	Tumor_01	Control	40
19	Tumor_01	Control	25
20	Tumor_01	Control	57
22	Tumor_01	Control	18
24	Tumor_01	Control	7
25	Tumor_01	Control	10
26	Tumor_01	Control	19
27	Tumor_01	Control	4
28	Tumor_01	Control	2
0	Tumor_02	Control	79
1	Tumor_02	Control	1
3	Tumor_02	Control	110
8	Tumor_02	Control	47
9	Tumor_02	Control	409
10	Tumor_02	Control	82
12	Tumor_02	Control	207
13	Tumor_02	Control	279
14	Tumor_02	Control	1
15	Tumor_02	Control	79
17	Tumor_02	Control	25
18	Tumor_02	Control	9
19	Tumor_02	Control	19
20	Tumor_02	Control	58
22	Tumor_02	Control	12
23	Tumor_02	Control	160
24	Tumor_02	Control	73
25	Tumor_02	Control	2
26	Tumor_02	Control	25
28	Tumor_02	Control	7
0	Tumor_03	Control	490
2	Tumor_03	Control	3
3	Tumor_03	Control	41
5	Tumor_03	Control	2
8	Tumor_03	Control	53
9	Tumor_03	Control	32
10	Tumor_03	Control	175
12	Tumor_03	Control	64
13	Tumor_03	Control	18
14	Tumor_03	Control	12
15	Tumor_03	Control	161
16	Tumor_03	Control	348
17	Tumor_03	Control	43
18	Tumor_03	Control	5
19	Tumor_03	Control	33
20	Tumor_03	Control	78
22	Tumor_03	Control	199
24	Tumor_03	Control	5
25	Tumor_03	Control	6
26	Tumor_03	Control	19
27	Tumor_03	Control	1
28	Tumor_03	Control	8
0	Tumor_04	Control	457
1	Tumor_04	Control	54
2	Tumor_04	Control	5
3	Tumor_04	Control	19
7	Tumor_04	Control	2
8	Tumor_04	Control	20
9	Tumor_04	Control	25
10	Tumor_04	Control	35
12	Tumor_04	Control	37
13	Tumor_04	Control	55
14	Tumor_04	Control	1
15	Tumor_04	Control	93
17	Tumor_04	Control	47
18	Tumor_04	Control	3
19	Tumor_04	Control	11
20	Tumor_04	Control	6
22	Tumor_04	Control	25
24	Tumor_04	Control	9
26	Tumor_04	Control	1
28	Tumor_04	Control	1
0	Tumor_05	Control	140
1	Tumor_05	Control	4
2	Tumor_05	Control	2
3	Tumor_05	Control	20
5	Tumor_05	Control	175
6	Tumor_05	Control	2319
8	Tumor_05	Control	15
9	Tumor_05	Control	13
10	Tumor_05	Control	70
12	Tumor_05	Control	13
13	Tumor_05	Control	5
14	Tumor_05	Control	1
15	Tumor_05	Control	21
16	Tumor_05	Control	2
17	Tumor_05	Control	15
18	Tumor_05	Control	12
19	Tumor_05	Control	13
20	Tumor_05	Control	9
22	Tumor_05	Control	30
27	Tumor_05	Control	128
28	Tumor_05	Control	1
0	Tumor_06	Control	57
1	Tumor_06	Control	5
2	Tumor_06	Control	3045
3	Tumor_06	Control	502
5	Tumor_06	Control	2
