sample	n_matched_cells	n_shared_genes	infercnv_malignant_fraction	copykat_aneuploid_fraction	agreement_fraction
Tumor_01_Control	3334	6891	0.0002999400119976	0.9901019796040792	0.010197960407918417
Tumor_01_Tamoxifen	2774	7217	0.0007209805335255939	0.0	0.9992790194664743
Tumor_02_Control	355	8327	0.3774647887323944	0.4647887323943662	0.867605633802817
Tumor_02_Tamoxifen	325	8540	0.563076923076923	0.6215384615384615	0.9415384615384617
Tumor_03_Control	513	8222	0.5380116959064328	0.6374269005847953	0.7758284600389864
Tumor_03_Tamoxifen	1105	7498	0.5266968325791855	0.5556561085972851	0.8769230769230769
Tumor_04_Control	151	6517	0.0	1.0	0.0
Tumor_04_Tamoxifen	70	6722	0.014285714285714285	1.0	0.014285714285714285
Tumor_08_Control	906	7205	0.018763796909492276	0.9713024282560708	0.04746136865342163
Tumor_08_Tamoxifen	984	6967	0.02540650406504065	0.2987804878048781	0.6920731707317073
Tumor_10_Control	416	6947	0.1466346153846154	0.37019230769230765	0.7572115384615384
Tumor_10_Tamoxifen	278	6605	0.007194244604316546	0.07913669064748201	0.9136690647482014
