sample_id	cnv_score_threshold	n_cells	n_pass_score_only	fraction_pass_score_only
Tumor_01_Control	0.006	3334	40	0.01199760047990402
Tumor_01_Control	0.006500000000000001	3334	26	0.007798440311937612
Tumor_01_Control	0.007	3334	17	0.005098980203959208
Tumor_01_Control	0.0075	3334	10	0.002999400119976005
Tumor_01_Control	0.008	3334	8	0.0023995200959808036
Tumor_01_Control	0.0085	3334	4	0.0011997600479904018
Tumor_01_Control	0.009000000000000001	3334	2	0.0005998800239952009
Tumor_01_Control	0.0095	3334	1	0.00029994001199760045
Tumor_01_Control	0.01	3334	1	0.00029994001199760045
Tumor_01_Control	0.0105	3334	0	0.0
Tumor_01_Control	0.011	3334	0	0.0
Tumor_01_Control	0.0115	3334	0	0.0
Tumor_01_Control	0.012	3334	0	0.0
Tumor_01_Control	0.0125	3334	0	0.0
Tumor_01_Control	0.013000000000000001	3334	0	0.0
Tumor_01_Control	0.0135	3334	0	0.0
Tumor_01_Control	0.014	3334	0	0.0
Tumor_01_Tamoxifen	0.006	2774	102	0.03677000720980533
Tumor_01_Tamoxifen	0.006500000000000001	2774	61	0.02198990627253064
Tumor_01_Tamoxifen	0.007	2774	47	0.016943042537851477
Tumor_01_Tamoxifen	0.0075	2774	35	0.012617159336697908
Tumor_01_Tamoxifen	0.008	2774	25	0.009012256669069935
Tumor_01_Tamoxifen	0.0085	2774	16	0.005767844268204758
Tumor_01_Tamoxifen	0.009000000000000001	2774	10	0.003604902667627974
Tumor_01_Tamoxifen	0.0095	2774	5	0.001802451333813987
Tumor_01_Tamoxifen	0.01	2774	3	0.0010814708002883922
Tumor_01_Tamoxifen	0.0105	2774	2	0.0007209805335255948
Tumor_01_Tamoxifen	0.011	2774	2	0.0007209805335255948
Tumor_01_Tamoxifen	0.0115	2774	2	0.0007209805335255948
Tumor_01_Tamoxifen	0.012	2774	2	0.0007209805335255948
Tumor_01_Tamoxifen	0.0125	2774	2	0.0007209805335255948
Tumor_01_Tamoxifen	0.013000000000000001	2774	0	0.0
Tumor_01_Tamoxifen	0.0135	2774	0	0.0
Tumor_01_Tamoxifen	0.014	2774	0	0.0
Tumor_02_Control	0.006	355	161	0.4535211267605634
Tumor_02_Control	0.006500000000000001	355	158	0.4450704225352113
Tumor_02_Control	0.007	355	157	0.4422535211267606
Tumor_02_Control	0.0075	355	154	0.43380281690140843
Tumor_02_Control	0.008	355	152	0.428169014084507
Tumor_02_Control	0.0085	355	146	0.4112676056338028
Tumor_02_Control	0.009000000000000001	355	142	0.4
Tumor_02_Control	0.0095	355	139	0.39154929577464787
Tumor_02_Control	0.01	355	134	0.37746478873239436
Tumor_02_Control	0.0105	355	130	0.36619718309859156
Tumor_02_Control	0.011	355	125	0.352112676056338
Tumor_02_Control	0.0115	355	120	0.3380281690140845
Tumor_02_Control	0.012	355	115	0.323943661971831
Tumor_02_Control	0.0125	355	107	0.30140845070422534
Tumor_02_Control	0.013000000000000001	355	102	0.28732394366197184
Tumor_02_Control	0.0135	355	101	0.28450704225352114
