sample_id	patient	condition	threshold_group	n_cells	cnv_score_threshold	correlation_threshold	median_cnv_score	min_cnv_score	max_cnv_score	median_correlation	min_correlation	max_correlation	malignant_count	fails_cnv_score_only_count	fails_correlation_only_count	fails_both_count	passes_both_count	n_seed_cells	seed_mean_cnv_score	seed_margin_above_cnv_threshold	median_cnv_score_gap_below_threshold	median_correlation_gap_below_threshold
Tumor_01_Control	Tumor_01	Control	1	1678	0.01	0.21547352277722898	0.00270393018536795	0.000757160060508	0.008105158355125	0.3310381033545025	0.0584839667610816	0.513895436515869	0	1547	0	131	0	84	0.005180774092139624	-0.004819225907860376	0.00729606981463205	0.031019732741694978
Tumor_01_Control	Tumor_01	Control	17	20	0.01	0.2	0.0022100603428899003	0.0008408590941726	0.0043038529419766	0.1391908880174385	0.0802456214509078	0.706855887687345	0	3	0	17	0	2	0.0036370736689186503	-0.0063629263310813495	0.0077899396571101	0.063043303696069
Tumor_01_Control	Tumor_01	Control	18	40	0.01	0.2	0.0035899747924445	0.0011480383300282	0.0061044108470948	0.3541757816995585	0.0683940346372726	0.796278365909123	0	39	0	1	0	2	0.0059626382334834	-0.0040373617665166	0.0064100252075555	0.1316059653627274
Tumor_01_Control	Tumor_01	Control	25	10	0.01	0.21582572862258909	0.0019587968924101003	0.0013344474986123	0.0032701967786327	0.42974101584942304	0.288511575975033	0.776759733772256	0	10	0	0	0	2	0.0030213463599231003	-0.0069786536400769	0.0080412031075899	
Tumor_01_Control	Tumor_01	Control	4	1561	0.01	0.25888223530518706	0.0026733759399168	0.000516607228888	0.0100701692736004	0.38122573767133	0.0259295935113979	0.619657509685425	1	1463	0	97	1	78	0.0061090376217517025	-0.0038909623782482977	0.0073271278466750505	0.032179685387301066
Tumor_01_Control	Tumor_01	Control	8	13	0.01	0.2	0.0017891053563424	0.0004369560314142	0.0033861278295386	0.236462122941197	0.128681289071343	0.6780046658314	0	9	0	4	0	2	0.00319633894770095	-0.00680366105229905	0.0082108946436576	0.04230585272893052
Tumor_01_Control	Tumor_01	Control	whole_sample_pooled	12	0.01	0.2	0.00208924853058625	0.0012494687776028	0.0043999055820776	0.118645497247614	-0.0384573341614916	0.725731221642414	0	4	0	8	0	2	0.0038751460770824996	-0.006124853922917501	0.007910751469413752	0.13110332113566323
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	1	1416	0.01	0.2567963589142811	0.00334071265095085	0.0011093104819608	0.0129148227645909	0.36732732955651903	-0.0955617925198479	0.595569172466783	0	1307	1	108	0	71	0.006611352983323939	-0.0033886470166760614	0.0066594631081206	0.0339287321823441
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	18	18	0.01	0.2	0.004618278186071851	0.0020900966786093	0.0079161242342316	0.320424186780164	0.0547249335056222	0.798415354377483	0	17	0	1	0	2	0.0074641125333664	-0.0025358874666336004	0.00538172181392815	0.14527506649437782
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	25	12	0.01	0.2728306014762203	0.00285455361771755	0.0020229675962735	0.004234630457305	0.446252506168561	0.355647433891954	0.823033966667962	0	12	0	0	0	2	0.00411693386095675	-0.00588306613904325	0.00714544638228245	
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	4	1305	0.01	0.2874892229776651	0.003241591590664	0.0005771393799376	0.0129098848901354	0.4065494488683	0.0175031913439938	0.610380678251749	2	1226	0	77	2	65	0.007088177608642246	-0.002911822391357754	0.006760161700082701	0.038348119163146094
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	whole_sample_pooled	23	0.01	0.2	0.0026836106431647	0.0009471300483649	0.008706603051172	0.0864563495125536	-0.029753156180215	0.669297438143258	0	7	0	16	0	2	0.00797985007434595	-0.0020201499256540505	0.0073163893568353	0.13402602993548932
