sample_id	cnv_score_threshold	correlation_threshold	n_cells	malignant_count	malignant_fraction
Tumor_01_Control	0.0	0.2	3334	3185	0.9553089382123575
Tumor_01_Control	0.0	0.225	3334	3097	0.9289142171565686
Tumor_01_Control	0.0	0.25	3334	2958	0.8872225554889022
Tumor_01_Control	0.0	0.275	3334	2762	0.8284343131373725
Tumor_01_Control	0.0	0.30000000000000004	3334	2478	0.743251349730054
Tumor_01_Control	0.0	0.325	3334	2119	0.6355728854229155
Tumor_01_Control	0.0	0.35000000000000003	3334	1717	0.5149970005998801
Tumor_01_Control	0.0	0.375	3334	1270	0.3809238152369526
Tumor_01_Control	0.0	0.4	3334	851	0.255248950209958
Tumor_01_Control	0.005	0.2	3334	118	0.03539292141571686
Tumor_01_Control	0.005	0.225	3334	117	0.035092981403719255
Tumor_01_Control	0.005	0.25	3334	117	0.035092981403719255
Tumor_01_Control	0.005	0.275	3334	117	0.035092981403719255
Tumor_01_Control	0.005	0.30000000000000004	3334	115	0.034493101379724056
Tumor_01_Control	0.005	0.325	3334	114	0.03419316136772645
Tumor_01_Control	0.005	0.35000000000000003	3334	113	0.03389322135572886
Tumor_01_Control	0.005	0.375	3334	110	0.032993401319736056
Tumor_01_Control	0.005	0.4	3334	104	0.03119376124775045
Tumor_01_Control	0.01	0.2	3334	1	0.00029994001199760045
Tumor_01_Control	0.01	0.225	3334	1	0.00029994001199760045
Tumor_01_Control	0.01	0.25	3334	1	0.00029994001199760045
Tumor_01_Control	0.01	0.275	3334	1	0.00029994001199760045
Tumor_01_Control	0.01	0.30000000000000004	3334	1	0.00029994001199760045
Tumor_01_Control	0.01	0.325	3334	1	0.00029994001199760045
Tumor_01_Control	0.01	0.35000000000000003	3334	1	0.00029994001199760045
Tumor_01_Control	0.01	0.375	3334	1	0.00029994001199760045
Tumor_01_Control	0.01	0.4	3334	1	0.00029994001199760045
Tumor_01_Control	0.015	0.2	3334	0	0.0
Tumor_01_Control	0.015	0.225	3334	0	0.0
Tumor_01_Control	0.015	0.25	3334	0	0.0
Tumor_01_Control	0.015	0.275	3334	0	0.0
Tumor_01_Control	0.015	0.30000000000000004	3334	0	0.0
Tumor_01_Control	0.015	0.325	3334	0	0.0
Tumor_01_Control	0.015	0.35000000000000003	3334	0	0.0
Tumor_01_Control	0.015	0.375	3334	0	0.0
Tumor_01_Control	0.015	0.4	3334	0	0.0
Tumor_01_Control	0.02	0.2	3334	0	0.0
Tumor_01_Control	0.02	0.225	3334	0	0.0
Tumor_01_Control	0.02	0.25	3334	0	0.0
Tumor_01_Control	0.02	0.275	3334	0	0.0
Tumor_01_Control	0.02	0.30000000000000004	3334	0	0.0
