sample_id	status	n_concordant	n_discordant	n_compared	concordance_rate
Tumor_01_Control	ok	34	3300	3334	0.0101979604079184
Tumor_01_Tamoxifen	ok	2772	2	2774	0.999279019466474
Tumor_02_Control	ok	308	47	355	0.867605633802817
Tumor_02_Tamoxifen	ok	306	19	325	0.941538461538462
Tumor_03_Control	ok	398	115	513	0.775828460038986
Tumor_03_Tamoxifen	ok	969	136	1105	0.876923076923077
Tumor_04_Control	ok	0	151	151	0
Tumor_04_Tamoxifen	ok	1	69	70	0.0142857142857143
Tumor_05_Control	ok	1753	812	2565	0.683430799220273
Tumor_05_Tamoxifen	ok	2045	750	2795	0.731663685152057
Tumor_06_Control	ok	2160	2373	4533	0.476505625413633
Tumor_06_Tamoxifen	ok	790	2632	3422	0.230859146697838
Tumor_07_Control	ok	163	197	360	0.452777777777778
Tumor_07_Tamoxifen	ok	215	231	446	0.482062780269058
Tumor_08_Control	ok	43	863	906	0.0474613686534216
Tumor_08_Tamoxifen	ok	681	303	984	0.692073170731707
Tumor_09_Control	ok	1183	670	1853	0.638424177010254
Tumor_09_Tamoxifen	ok	1387	601	1988	0.697686116700201
Tumor_10_Control	ok	315	101	416	0.757211538461538
Tumor_10_Tamoxifen	ok	254	24	278	0.913669064748201
