sample_id	patient	condition	n_qc_passed_cells	n_epithelial_cells	n_primary_malignant	n_primary_nonmalignant_epithelial	malignant_fraction_of_epithelial
Tumor_01_Control	Tumor_01	Control	4108	3334	1	3333	0.0002999400119976
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	3357	2774	2	2772	0.000720980533525595
Tumor_02_Control	Tumor_02	Control	1684	355	134	221	0.377464788732394
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	1352	325	183	142	0.563076923076923
Tumor_03_Control	Tumor_03	Control	1796	513	276	237	0.538011695906433
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	2977	1105	582	523	0.526696832579186
Tumor_04_Control	Tumor_04	Control	906	151	0	151	0
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	432	70	1	69	0.0142857142857143
Tumor_05_Control	Tumor_05	Control	3008	2565	22	2543	0.00857699805068226
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	3073	2795	12	2783	0.00429338103756708
Tumor_06_Control	Tumor_06	Control	4943	4533	9	4524	0.00198544010589014
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	3811	3422	19	3403	0.00555230859146698
Tumor_07_Control	Tumor_07	Control	1609	360	80	280	0.222222222222222
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	1763	446	146	300	0.327354260089686
Tumor_08_Control	Tumor_08	Control	1114	906	17	889	0.0187637969094923
Tumor_08_Tamoxifen	Tumor_08	Tamoxifen	1036	984	25	959	0.0254065040650406
Tumor_09_Control	Tumor_09	Control	2642	1854	48	1806	0.0258899676375405
Tumor_09_Tamoxifen	Tumor_09	Tamoxifen	2926	1989	119	1870	0.0598290598290598
Tumor_10_Control	Tumor_10	Control	1017	416	61	355	0.146634615384615
Tumor_10_Tamoxifen	Tumor_10	Tamoxifen	586	278	2	276	0.00719424460431655
