sample_id	n_reference_cells	n_epithelial_cells	status	n_malignant	n_nonmalignant_epithelial
Tumor_01_Control	271	3334	ok	1	3333
Tumor_01_Tamoxifen	194	2774	ok	2	2772
Tumor_02_Control	471	355	ok	134	221
Tumor_02_Tamoxifen	386	325	ok	183	142
Tumor_03_Control	382	513	ok	276	237
Tumor_03_Tamoxifen	516	1105	ok	582	523
Tumor_04_Control	100	151	ok	0	151
Tumor_04_Tamoxifen	63	70	ok	1	69
Tumor_05_Control	106	2565	ok	22	2543
Tumor_05_Tamoxifen	79	2795	ok	12	2783
Tumor_06_Control	260	4533	ok	9	4524
Tumor_06_Tamoxifen	176	3422	ok	19	3403
Tumor_07_Control	772	360	ok	80	280
Tumor_07_Tamoxifen	803	446	ok	146	300
Tumor_08_Control	72	906	ok	17	889
Tumor_08_Tamoxifen	24	984	ok	25	959
Tumor_09_Control	199	1854	ok	48	1806
Tumor_09_Tamoxifen	232	1989	ok	119	1870
Tumor_10_Control	349	416	ok	61	355
Tumor_10_Tamoxifen	206	278	ok	2	276
