sample_id	patient	condition	pc	coordinate	variance_explained_fraction
Tumor_01_Control	Tumor_01	Control	PC1	21.45754025084448	0.27643095563226966
Tumor_01_Control	Tumor_01	Control	PC2	53.108588228161665	0.18404212207352638
Tumor_01_Control	Tumor_01	Control	PC3	-10.11073857973575	0.09843742107928984
Tumor_01_Control	Tumor_01	Control	PC4	6.999163912232497	0.0858769334995349
Tumor_01_Control	Tumor_01	Control	PC5	-22.49372093695498	0.07149985330585715
Tumor_01_Control	Tumor_01	Control	PC6	-8.82745248958629	0.06911430523598003
Tumor_01_Control	Tumor_01	Control	PC7	21.68934642479363	0.058768003021911853
Tumor_01_Control	Tumor_01	Control	PC8	-16.95010433557914	0.04432286151058951
Tumor_01_Control	Tumor_01	Control	PC9	-7.377548139880489	0.040859587808006546
Tumor_01_Control	Tumor_01	Control	PC10	-0.4441931930851245	0.024747256159159507
Tumor_01_Control	Tumor_01	Control	PC11	-2.970059018504243	0.015335122261083719
Tumor_01_Control	Tumor_01	Control	PC12	0.4890588156573757	0.007874333700359039
Tumor_01_Control	Tumor_01	Control	PC13	-3.837686369702783	0.005533073337777701
Tumor_01_Control	Tumor_01	Control	PC14	-1.3812507717123308	0.0041645278676772195
Tumor_01_Control	Tumor_01	Control	PC15	1.5902930924885514	0.0037752758488097653
Tumor_01_Control	Tumor_01	Control	PC16	-1.28648529793261	0.002879275290069296
Tumor_01_Control	Tumor_01	Control	PC17	-0.06090545147512974	0.002495059927684848
Tumor_01_Control	Tumor_01	Control	PC18	1.92122820996527	0.002097843106014032
Tumor_01_Control	Tumor_01	Control	PC19	8.779699072581419	0.0017461893343989024
Tumor_01_Control	Tumor_01	Control	PC20	4.162226778322713e-14	3.5201964713285813e-31
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC1	27.429256811136657	0.27643095563226966
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC2	54.352739118035764	0.18404212207352638
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC3	-8.854923147479102	0.09843742107928984
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC4	10.754944682337298	0.0858769334995349
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC5	-23.83524555885211	0.07149985330585715
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC6	-9.162920907080538	0.06911430523598003
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC7	18.051763757976	0.058768003021911853
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC8	-18.197316785839647	0.04432286151058951
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC9	-6.649743296900082	0.040859587808006546
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC10	-6.435715175075566	0.024747256159159507
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC11	-2.4529426433907777	0.015335122261083719
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC12	-1.7998993214734846	0.007874333700359039
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC13	3.908804675239734	0.005533073337777701
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC14	1.0600329753151096	0.0041645278676772195
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC15	-1.950500024288101	0.0037752758488097653
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC16	1.2122968942633998	0.002879275290069296
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC17	0.16018216650163503	0.002495059927684848
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC18	-1.8190160851683155	0.002097843106014032
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC19	-8.431906917893377	0.0017461893343989024
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	PC20	4.162226778322735e-14	3.5201964713285813e-31
Tumor_02_Control	Tumor_02	Control	PC1	-35.406238123031166	0.27643095563226966
Tumor_02_Control	Tumor_02	Control	PC2	-14.840503851241936	0.18404212207352638
Tumor_02_Control	Tumor_02	Control	PC3	-39.016680133865435	0.09843742107928984
