sample_id	patient	condition	n_contributing_cells	total_library_size	n_detected_genes
Tumor_01_Control	Tumor_01	Control	3334	78598253	22010
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	2774	72071954	21824
Tumor_02_Control	Tumor_02	Control	355	16310709	20471
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	325	17837059	20567
Tumor_03_Control	Tumor_03	Control	513	25892967	21903
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	1105	34876259	21348
Tumor_04_Control	Tumor_04	Control	151	3009328	16176
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	70	1612902	15117
Tumor_05_Control	Tumor_05	Control	2565	53574062	21652
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	2795	39075035	20679
Tumor_06_Control	Tumor_06	Control	4533	83844283	23061
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	3422	66776124	22409
Tumor_07_Control	Tumor_07	Control	360	15905488	20407
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	446	25617186	21019
Tumor_08_Control	Tumor_08	Control	906	15499689	21324
Tumor_08_Tamoxifen	Tumor_08	Tamoxifen	984	13399708	20843
Tumor_09_Control	Tumor_09	Control	1854	38232780	21997
Tumor_09_Tamoxifen	Tumor_09	Tamoxifen	1989	49099842	22150
Tumor_10_Control	Tumor_10	Control	416	10833242	21111
Tumor_10_Tamoxifen	Tumor_10	Tamoxifen	278	5250693	19137
