sample_id_1	sample_id_2	correlation
Tumor_01_Control	Tumor_01_Control	1.0
Tumor_01_Tamoxifen	Tumor_01_Control	0.9689226560477299
Tumor_02_Control	Tumor_01_Control	0.9370207281565169
Tumor_02_Tamoxifen	Tumor_01_Control	0.9359063049118396
Tumor_03_Control	Tumor_01_Control	0.9404255269311274
Tumor_03_Tamoxifen	Tumor_01_Control	0.9436696182513719
Tumor_04_Control	Tumor_01_Control	0.907855529659035
Tumor_04_Tamoxifen	Tumor_01_Control	0.8867669324799088
Tumor_05_Control	Tumor_01_Control	0.9467281950081068
Tumor_05_Tamoxifen	Tumor_01_Control	0.9349141112167463
Tumor_06_Control	Tumor_01_Control	0.9489583611559932
Tumor_06_Tamoxifen	Tumor_01_Control	0.9443257098345236
Tumor_07_Control	Tumor_01_Control	0.9351950755347375
Tumor_07_Tamoxifen	Tumor_01_Control	0.9374006233752414
Tumor_08_Control	Tumor_01_Control	0.9343965794103789
Tumor_08_Tamoxifen	Tumor_01_Control	0.9333210625814905
Tumor_09_Control	Tumor_01_Control	0.9382668814281768
Tumor_09_Tamoxifen	Tumor_01_Control	0.9409900320559539
Tumor_10_Control	Tumor_01_Control	0.9201815188125321
Tumor_10_Tamoxifen	Tumor_01_Control	0.9130448352444348
Tumor_01_Control	Tumor_01_Tamoxifen	0.9689226560477299
Tumor_01_Tamoxifen	Tumor_01_Tamoxifen	1.0
Tumor_02_Control	Tumor_01_Tamoxifen	0.9348758275938599
Tumor_02_Tamoxifen	Tumor_01_Tamoxifen	0.9350516801883901
Tumor_03_Control	Tumor_01_Tamoxifen	0.9403210430623984
Tumor_03_Tamoxifen	Tumor_01_Tamoxifen	0.9405416670452363
Tumor_04_Control	Tumor_01_Tamoxifen	0.9072951203720545
Tumor_04_Tamoxifen	Tumor_01_Tamoxifen	0.890116858287835
Tumor_05_Control	Tumor_01_Tamoxifen	0.9474520547825439
Tumor_05_Tamoxifen	Tumor_01_Tamoxifen	0.9382270586521039
Tumor_06_Control	Tumor_01_Tamoxifen	0.948075630520978
Tumor_06_Tamoxifen	Tumor_01_Tamoxifen	0.9452891646886903
Tumor_07_Control	Tumor_01_Tamoxifen	0.9315084301779791
Tumor_07_Tamoxifen	Tumor_01_Tamoxifen	0.930608507904056
Tumor_08_Control	Tumor_01_Tamoxifen	0.9344498795406291
Tumor_08_Tamoxifen	Tumor_01_Tamoxifen	0.9315264735605677
Tumor_09_Control	Tumor_01_Tamoxifen	0.937032320257275
Tumor_09_Tamoxifen	Tumor_01_Tamoxifen	0.9392151241454652
Tumor_10_Control	Tumor_01_Tamoxifen	0.9226066070571255
Tumor_10_Tamoxifen	Tumor_01_Tamoxifen	0.9148295722575566
Tumor_01_Control	Tumor_02_Control	0.9370207281565169
Tumor_01_Tamoxifen	Tumor_02_Control	0.9348758275938599
Tumor_02_Control	Tumor_02_Control	1.0
Tumor_02_Tamoxifen	Tumor_02_Control	0.9582549054016386
Tumor_03_Control	Tumor_02_Control	0.9329534719058415
Tumor_03_Tamoxifen	Tumor_02_Control	0.9383932528983218
Tumor_04_Control	Tumor_02_Control	0.9095008025520724
Tumor_04_Tamoxifen	Tumor_02_Control	0.8901106453265558
Tumor_05_Control	Tumor_02_Control	0.9248388717259978
Tumor_05_Tamoxifen	Tumor_02_Control	0.9146174319326034
Tumor_06_Control	Tumor_02_Control	0.9370839128158204
Tumor_06_Tamoxifen	Tumor_02_Control	0.9332190592170945
Tumor_07_Control	Tumor_02_Control	0.9348136248756959
Tumor_07_Tamoxifen	Tumor_02_Control	0.9362141464480874
Tumor_08_Control	Tumor_02_Control	0.9284498960486962
Tumor_08_Tamoxifen	Tumor_02_Control	0.9300137930716285
Tumor_09_Control	Tumor_02_Control	0.9423877440000834
Tumor_09_Tamoxifen	Tumor_02_Control	0.9435905117713177
Tumor_10_Control	Tumor_02_Control	0.9152394867830954
Tumor_10_Tamoxifen	Tumor_02_Control	0.9133073968075128
Tumor_01_Control	Tumor_02_Tamoxifen	0.9359063049118396
Tumor_01_Tamoxifen	Tumor_02_Tamoxifen	0.9350516801883901
Tumor_02_Control	Tumor_02_Tamoxifen	0.9582549054016386
Tumor_02_Tamoxifen	Tumor_02_Tamoxifen	1.0
Tumor_03_Control	Tumor_02_Tamoxifen	0.9313510206491259
Tumor_03_Tamoxifen	Tumor_02_Tamoxifen	0.9365898772537348
Tumor_04_Control	Tumor_02_Tamoxifen	0.9072034755825023
Tumor_04_Tamoxifen	Tumor_02_Tamoxifen	0.8879919052050548
Tumor_05_Control	Tumor_02_Tamoxifen	0.9224639313388734
Tumor_05_Tamoxifen	Tumor_02_Tamoxifen	0.9141095559423753
Tumor_06_Control	Tumor_02_Tamoxifen	0.9350729708799007
Tumor_06_Tamoxifen	Tumor_02_Tamoxifen	0.932630610513439
Tumor_07_Control	Tumor_02_Tamoxifen	0.9338747477559753
Tumor_07_Tamoxifen	Tumor_02_Tamoxifen	0.936346748604752
Tumor_08_Control	Tumor_02_Tamoxifen	0.9265955372485755
Tumor_08_Tamoxifen	Tumor_02_Tamoxifen	0.9297992162618731
Tumor_09_Control	Tumor_02_Tamoxifen	0.9393082395356307
Tumor_09_Tamoxifen	Tumor_02_Tamoxifen	0.9410600136794863
Tumor_10_Control	Tumor_02_Tamoxifen	0.9124907019591498
Tumor_10_Tamoxifen	Tumor_02_Tamoxifen	0.9107089453328993
Tumor_01_Control	Tumor_03_Control	0.9404255269311274
Tumor_01_Tamoxifen	Tumor_03_Control	0.9403210430623984
Tumor_02_Control	Tumor_03_Control	0.9329534719058415
Tumor_02_Tamoxifen	Tumor_03_Control	0.9313510206491259
Tumor_03_Control	Tumor_03_Control	1.0
Tumor_03_Tamoxifen	Tumor_03_Control	0.9601646108083541
Tumor_04_Control	Tumor_03_Control	0.905383655247789
Tumor_04_Tamoxifen	Tumor_03_Control	0.8880759235536444
Tumor_05_Control	Tumor_03_Control	0.9347737869477505
Tumor_05_Tamoxifen	Tumor_03_Control	0.9260941704179624
Tumor_06_Control	Tumor_03_Control	0.9430538247512555
Tumor_06_Tamoxifen	Tumor_03_Control	0.9417220674594932
Tumor_07_Control	Tumor_03_Control	0.9330795590247386
Tumor_07_Tamoxifen	Tumor_03_Control	0.9328412945603127
Tumor_08_Control	Tumor_03_Control	0.9365391141117609
Tumor_08_Tamoxifen	Tumor_03_Control	0.935788905262244
Tumor_09_Control	Tumor_03_Control	0.943121702366968
Tumor_09_Tamoxifen	Tumor_03_Control	0.9437469393998644
Tumor_10_Control	Tumor_03_Control	0.9270005048935868
Tumor_10_Tamoxifen	Tumor_03_Control	0.9234716219367143
Tumor_01_Control	Tumor_03_Tamoxifen	0.9436696182513719
Tumor_01_Tamoxifen	Tumor_03_Tamoxifen	0.9405416670452363
Tumor_02_Control	Tumor_03_Tamoxifen	0.9383932528983218
Tumor_02_Tamoxifen	Tumor_03_Tamoxifen	0.9365898772537348
Tumor_03_Control	Tumor_03_Tamoxifen	0.9601646108083541
Tumor_03_Tamoxifen	Tumor_03_Tamoxifen	1.0
Tumor_04_Control	Tumor_03_Tamoxifen	0.909948326560088
Tumor_04_Tamoxifen	Tumor_03_Tamoxifen	0.8873055265313434
Tumor_05_Control	Tumor_03_Tamoxifen	0.9330688349813371
Tumor_05_Tamoxifen	Tumor_03_Tamoxifen	0.9234626706137796
Tumor_06_Control	Tumor_03_Tamoxifen	0.9449046007634649
Tumor_06_Tamoxifen	Tumor_03_Tamoxifen	0.9420592193387991
Tumor_07_Control	Tumor_03_Tamoxifen	0.9363702944157052
Tumor_07_Tamoxifen	Tumor_03_Tamoxifen	0.9403896862140253
Tumor_08_Control	Tumor_03_Tamoxifen	0.9357273088905372
Tumor_08_Tamoxifen	Tumor_03_Tamoxifen	0.9378660152856192
Tumor_09_Control	Tumor_03_Tamoxifen	0.9451032735637374
Tumor_09_Tamoxifen	Tumor_03_Tamoxifen	0.9469673654177093
Tumor_10_Control	Tumor_03_Tamoxifen	0.9225845606155302
Tumor_10_Tamoxifen	Tumor_03_Tamoxifen	0.9201114298334803
Tumor_01_Control	Tumor_04_Control	0.907855529659035
Tumor_01_Tamoxifen	Tumor_04_Control	0.9072951203720545
Tumor_02_Control	Tumor_04_Control	0.9095008025520724
Tumor_02_Tamoxifen	Tumor_04_Control	0.9072034755825023
Tumor_03_Control	Tumor_04_Control	0.905383655247789
Tumor_03_Tamoxifen	Tumor_04_Control	0.909948326560088
Tumor_04_Control	Tumor_04_Control	1.0
Tumor_04_Tamoxifen	Tumor_04_Control	0.9212791263725127
Tumor_05_Control	Tumor_04_Control	0.9057906404339439
Tumor_05_Tamoxifen	Tumor_04_Control	0.9050424083231841
Tumor_06_Control	Tumor_04_Control	0.9060440025315355
Tumor_06_Tamoxifen	Tumor_04_Control	0.9079087435462312
Tumor_07_Control	Tumor_04_Control	0.9033158913577407
Tumor_07_Tamoxifen	Tumor_04_Control	0.9012837980861886
Tumor_08_Control	Tumor_04_Control	0.8982620463495765
Tumor_08_Tamoxifen	Tumor_04_Control	0.8997099590833415
Tumor_09_Control	Tumor_04_Control	0.9072898358779204
Tumor_09_Tamoxifen	Tumor_04_Control	0.908019403003459
Tumor_10_Control	Tumor_04_Control	0.9017578407109262
Tumor_10_Tamoxifen	Tumor_04_Control	0.9068902144272372
Tumor_01_Control	Tumor_04_Tamoxifen	0.8867669324799088
Tumor_01_Tamoxifen	Tumor_04_Tamoxifen	0.890116858287835
Tumor_02_Control	Tumor_04_Tamoxifen	0.8901106453265558
Tumor_02_Tamoxifen	Tumor_04_Tamoxifen	0.8879919052050548
Tumor_03_Control	Tumor_04_Tamoxifen	0.8880759235536444
Tumor_03_Tamoxifen	Tumor_04_Tamoxifen	0.8873055265313434
Tumor_04_Control	Tumor_04_Tamoxifen	0.9212791263725127
Tumor_04_Tamoxifen	Tumor_04_Tamoxifen	1.0
Tumor_05_Control	Tumor_04_Tamoxifen	0.8868105573463678
Tumor_05_Tamoxifen	Tumor_04_Tamoxifen	0.8951256052709634
Tumor_06_Control	Tumor_04_Tamoxifen	0.8851581011519034
Tumor_06_Tamoxifen	Tumor_04_Tamoxifen	0.8919477624692124
Tumor_07_Control	Tumor_04_Tamoxifen	0.8839675927802342
Tumor_07_Tamoxifen	Tumor_04_Tamoxifen	0.877898846545429
Tumor_08_Control	Tumor_04_Tamoxifen	0.8816140614913646
Tumor_08_Tamoxifen	Tumor_04_Tamoxifen	0.8816431636127618
Tumor_09_Control	Tumor_04_Tamoxifen	0.8881163929599981
Tumor_09_Tamoxifen	Tumor_04_Tamoxifen	0.8896204557869594
Tumor_10_Control	Tumor_04_Tamoxifen	0.8956539042938974
Tumor_10_Tamoxifen	Tumor_04_Tamoxifen	0.9026143890639274
Tumor_01_Control	Tumor_05_Control	0.9467281950081068
Tumor_01_Tamoxifen	Tumor_05_Control	0.9474520547825439
Tumor_02_Control	Tumor_05_Control	0.9248388717259978
Tumor_02_Tamoxifen	Tumor_05_Control	0.9224639313388734
Tumor_03_Control	Tumor_05_Control	0.9347737869477505
Tumor_03_Tamoxifen	Tumor_05_Control	0.9330688349813371
Tumor_04_Control	Tumor_05_Control	0.9057906404339439
Tumor_04_Tamoxifen	Tumor_05_Control	0.8868105573463678
Tumor_05_Control	Tumor_05_Control	1.0
Tumor_05_Tamoxifen	Tumor_05_Control	0.950760149102613
Tumor_06_Control	Tumor_05_Control	0.9433205411910113
Tumor_06_Tamoxifen	Tumor_05_Control	0.9402573300968865
Tumor_07_Control	Tumor_05_Control	0.9264678280015979
Tumor_07_Tamoxifen	Tumor_05_Control	0.9260739914144891
Tumor_08_Control	Tumor_05_Control	0.92437507984615
Tumor_08_Tamoxifen	Tumor_05_Control	0.9197347649235901
Tumor_09_Control	Tumor_05_Control	0.9274073972790017
Tumor_09_Tamoxifen	Tumor_05_Control	0.9309476985457056
Tumor_10_Control	Tumor_05_Control	0.9244196343903954
Tumor_10_Tamoxifen	Tumor_05_Control	0.914429486731356
Tumor_01_Control	Tumor_05_Tamoxifen	0.9349141112167463
Tumor_01_Tamoxifen	Tumor_05_Tamoxifen	0.9382270586521039
Tumor_02_Control	Tumor_05_Tamoxifen	0.9146174319326034
Tumor_02_Tamoxifen	Tumor_05_Tamoxifen	0.9141095559423753
Tumor_03_Control	Tumor_05_Tamoxifen	0.9260941704179624
Tumor_03_Tamoxifen	Tumor_05_Tamoxifen	0.9234626706137796
Tumor_04_Control	Tumor_05_Tamoxifen	0.9050424083231841
Tumor_04_Tamoxifen	Tumor_05_Tamoxifen	0.8951256052709634
Tumor_05_Control	Tumor_05_Tamoxifen	0.950760149102613
Tumor_05_Tamoxifen	Tumor_05_Tamoxifen	1.0
Tumor_06_Control	Tumor_05_Tamoxifen	0.9319855730259842
Tumor_06_Tamoxifen	Tumor_05_Tamoxifen	0.9383364548693409
Tumor_07_Control	Tumor_05_Tamoxifen	0.9156801617844227
Tumor_07_Tamoxifen	Tumor_05_Tamoxifen	0.9130248927172938
Tumor_08_Control	Tumor_05_Tamoxifen	0.9165738137217555
