sample_id	patient	condition	pc	coordinate	variance_explained_fraction
Tumor_02_Control	Tumor_02	Control	PC1	77.50642370275098	0.6065330186009498
Tumor_02_Control	Tumor_02	Control	PC2	-29.539054401243693	0.34590634313643254
Tumor_02_Control	Tumor_02	Control	PC3	-1.43781255842403	0.019966437442491512
Tumor_02_Control	Tumor_02	Control	PC4	-10.466277909784742	0.014006665214215272
Tumor_02_Control	Tumor_02	Control	PC5	-10.909544524186582	0.013587535605910764
Tumor_02_Control	Tumor_02	Control	PC6	2.872532058434483e-14	1.4172651694498872e-31
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC1	71.34791302418472	0.6065330186009498
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC2	-29.258020840066276	0.34590634313643254
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC3	0.9445404185344369	0.019966437442491512
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC4	10.879097383041493	0.014006665214215272
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC5	11.508918333492044	0.013587535605910764
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	PC6	2.872532058434473e-14	1.4172651694498872e-31
Tumor_03_Control	Tumor_03	Control	PC1	-72.83124182508348	0.6065330186009498
Tumor_03_Control	Tumor_03	Control	PC2	-35.188416535385315	0.34590634313643254
Tumor_03_Control	Tumor_03	Control	PC3	-5.255299872392448	0.019966437442491512
Tumor_03_Control	Tumor_03	Control	PC4	-10.739536888981677	0.014006665214215272
Tumor_03_Control	Tumor_03	Control	PC5	9.868665655377539	0.013587535605910764
Tumor_03_Control	Tumor_03	Control	PC6	2.8725320584344794e-14	1.4172651694498872e-31
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC1	-68.98479465468456	0.6065330186009498
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC2	-32.8013112431448	0.34590634313643254
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC3	5.39576762532019	0.019966437442491512
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC4	10.741763312938938	0.014006665214215272
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC5	-10.720133989359221	0.013587535605910764
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	PC6	2.8725320584344757e-14	1.4172651694498872e-31
Tumor_07_Control	Tumor_07	Control	PC1	-4.4926276078596175	0.6065330186009498
Tumor_07_Control	Tumor_07	Control	PC2	64.65732841557325	0.34590634313643254
Tumor_07_Control	Tumor_07	Control	PC3	-17.68030207551041	0.019966437442491512
Tumor_07_Control	Tumor_07	Control	PC4	3.7027905523835156	0.014006665214215272
Tumor_07_Control	Tumor_07	Control	PC5	-2.200954387465431	0.013587535605910764
Tumor_07_Control	Tumor_07	Control	PC6	2.872532058434476e-14	1.4172651694498872e-31
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC1	-2.5456726393080555	0.6065330186009498
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC2	62.12947460426693	0.34590634313643254
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC3	18.033106462472286	0.019966437442491512
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC4	-4.117836449597474	0.014006665214215272
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC5	2.4530489121416696	0.013587535605910764
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	PC6	2.872532058434475e-14	1.4172651694498872e-31
