sample_id	GSM	patient	condition	n_cells_raw	n_fail_ncount_rna	n_fail_nfeature_rna	n_fail_percent_mt	n_cells_post_qc	n_doublets_removed	n_cells_final	doublet_detection_error
Tumor_01_Control	GSM7845552	Tumor_01	Control	7463	2990	3216	56	4230	122	4108	NA
Tumor_01_Tamoxifen	GSM7845553	Tumor_01	Tamoxifen	5192	1634	1744	58	3438	81	3357	NA
Tumor_02_Control	GSM7845554	Tumor_02	Control	5901	4047	4174	319	1704	20	1684	NA
Tumor_02_Tamoxifen	GSM7845555	Tumor_02	Tamoxifen	4511	3036	3133	568	1365	13	1352	NA
Tumor_03_Control	GSM7845556	Tumor_03	Control	4820	2912	2940	127	1819	23	1796	NA
Tumor_03_Tamoxifen	GSM7845557	Tumor_03	Tamoxifen	8413	4982	5346	183	3044	67	2977	NA
Tumor_04_Control	GSM7845558	Tumor_04	Control	1994	948	1081	7	912	6	906	NA
Tumor_04_Tamoxifen	GSM7845559	Tumor_04	Tamoxifen	922	411	488	52	433	1	432	NA
Tumor_05_Control	GSM7845560	Tumor_05	Control	4705	1428	1608	27	3073	65	3008	NA
Tumor_05_Tamoxifen	GSM7845561	Tumor_05	Tamoxifen	5035	1400	1892	52	3139	66	3073	NA
Tumor_06_Control	GSM7845562	Tumor_06	Control	7441	1998	2283	166	5128	185	4943	NA
Tumor_06_Tamoxifen	GSM7845563	Tumor_06	Tamoxifen	6417	2214	2493	723	3917	106	3811	NA
Tumor_07_Control	GSM7845564	Tumor_07	Control	7456	5682	5802	447	1627	18	1609	NA
Tumor_07_Tamoxifen	GSM7845565	Tumor_07	Tamoxifen	6958	5038	5146	475	1786	23	1763	NA
Tumor_08_Control	GSM7845566	Tumor_08	Control	3059	1876	1906	33	1122	8	1114	NA
Tumor_08_Tamoxifen	GSM7845567	Tumor_08	Tamoxifen	2931	1870	1792	9	1044	8	1036	NA
Tumor_09_Control	GSM7845568	Tumor_09	Control	5995	3030	3286	424	2694	52	2642	NA
Tumor_09_Tamoxifen	GSM7845569	Tumor_09	Tamoxifen	5857	2615	2844	833	2990	64	2926	NA
Tumor_10_Control	GSM7845570	Tumor_10	Control	4963	3727	3918	490	1024	7	1017	NA
Tumor_10_Tamoxifen	GSM7845571	Tumor_10	Tamoxifen	3685	2945	3044	262	589	3	586	NA
