GSM	srx	biosample	subject	sample_type	patient	condition	paired_patient	h5_filename	file_size_bytes	sha256	primary_analysis
GSM7845546	SRX20211384	SAMN33549175	Normal_01	normal_tissue	Normal_01	Control	Normal_01	GSM7845546_Normal_01_Control.h5	17680739	5922184358e9762f3fd1212521b0a05ecc7f5de7c6393b297ee870e50632f66a	False
GSM7845547	SRX20211385	SAMN33549164	Normal_01	normal_tissue	Normal_01	Tamoxifen	Normal_01	GSM7845547_Normal_01_Tamoxifen.h5	19105012	5757fff2ac05c07e73f64e8c7a15fbc984e1d6df6d4b95ecc663225e59995713	False
GSM7845548	SRX20211386	SAMN33549162	Normal_02	normal_tissue	Normal_02	Control	Normal_02	GSM7845548_Normal_02_Control.h5	27390356	5a7b07cb98f5cb45a3141f11a6f398e2de71a976c399e308c4495830dbff18f7	False
GSM7845549	SRX20211387	SAMN33549151	Normal_02	normal_tissue	Normal_02	Tamoxifen	Normal_02	GSM7845549_Normal_02_Tamoxifen.h5	14034687	19338131dc1d5d2068fb70a84de68d49c05e46bce4420eda9ba41d9e9232ee0d	False
GSM7845550	SRX20211388	SAMN33549156	T47D	cell_line	T47D	Control	T47D	GSM7845550_T47D_Control.h5	16035589	7d96386bc5db60c5c2f3890bbc7765cf3f5eb0a99ab821ed41ef34a9f4df4af4	False
GSM7845551	SRX20211389	SAMN33549154	T47D	cell_line	T47D	Tamoxifen	T47D	GSM7845551_T47D_Tamoxifen.h5	21979043	90531aeea8f5434714c036e767a7c60e3eb4341acc3c8031e29330be8f939f66	False
GSM7845552	SRX20211390	SAMN33549170	Tumor_01	tumor	Tumor_01	Control	Tumor_01	GSM7845552_Tumor_01_Control.h5	28793931	5642617b4ea032f4d4e8e459d7215fdf730db4bae036c4233c65df9b399e9b1a	True
GSM7845553	SRX20211391	SAMN33549173	Tumor_01	tumor	Tumor_01	Tamoxifen	Tumor_01	GSM7845553_Tumor_01_Tamoxifen.h5	23737096	1f97b4fcdb362a6c3ed92b672d573f70c46c94c33559f282c9325e9cb07f9594	True
GSM7845554	SRX20211392	SAMN33549155	Tumor_02	tumor	Tumor_02	Control	Tumor_02	GSM7845554_Tumor_02_Control.h5	18395287	3e1cd034f022f82f7eb72ddd5fb9bf7e3ed73bb6b531615759392dc702e79e91	True
GSM7845555	SRX20211393	SAMN33549163	Tumor_02	tumor	Tumor_02	Tamoxifen	Tumor_02	GSM7845555_Tumor_02_Tamoxifen.h5	14961807	d52e5ab097dbb5093250343cfc6e2f86084cb0d9db5ff660952f00b9273c3414	True
GSM7845556	SRX20211394	SAMN33549171	Tumor_03	tumor	Tumor_03	Control	Tumor_03	GSM7845556_Tumor_03_Control.h5	16926533	7f1c4a8ac1f5574a9770fd764f1917ed3b6f52f0b45759613a6ea767783f6aaf	True
GSM7845557	SRX20211395	SAMN33549152	Tumor_03	tumor	Tumor_03	Tamoxifen	Tumor_03	GSM7845557_Tumor_03_Tamoxifen.h5	25368549	41a436e3bff3a138c1afa96f9b7884dfe97ba1303b3f11a3841473e3f7bfe764	True
GSM7845558	SRX20211396	SAMN33549160	Tumor_04	tumor	Tumor_04	Control	Tumor_04	GSM7845558_Tumor_04_Control.h5	6710396	2e50b80c5a7cb2ae9c7a27a418d4d9256953569e447a49dabfa0101f841d0ffc	True
GSM7845559	SRX20211397	SAMN33549158	Tumor_04	tumor	Tumor_04	Tamoxifen	Tumor_04	GSM7845559_Tumor_04_Tamoxifen.h5	3270890	59f4224a8a49589886d96c25fe6c572dc04c9c2123ea985f26fd4c3a6fb03e76	True
