candidate	evidence_level	n_claims	n_supporting	n_contradicting	claim_ids	breast_cancer_specific_count	tamoxifen_specific_count
CITED2	1	1	0	0	CITED2-01	1	1
CITED2	2	5	5	0	CITED2-02;CITED2-03;CITED2-04;CITED2-05;CITED2-08	5	1
CITED2	3	9	6	2	CITED2-06;CITED2-07;CITED2-09;CITED2-10;CITED2-11;CITED2-12;CITED2-13;CITED2-14;CITED2-15	0	0
EML5	4	3	0	0	EML5-01;EML5-02;EML5-05-BREAST-NULL	1	0
EML5	5	2	0	0	EML5-03-ANNOTATION;EML5-04-INTERACTOME	0	0
USP34	2	3	2	1	USP34-02;USP34-03;USP34-08-PATHWAY-CONTEXT	2	1
USP34	3	4	3	0	USP34-01;USP34-04;USP34-05;USP34-06	0	0
USP34	4	1	0	0	USP34-07	0	0
VEZF1	3	9	5	0	VEZF1-01;VEZF1-02;VEZF1-03;VEZF1-04;VEZF1-05;VEZF1-06;VEZF1-07;VEZF1-08;VEZF1-09	0	0
VEZF1	4	1	0	0	VEZF1-11-BREAST-NULL	1	0
VEZF1	5	1	0	0	VEZF1-10-DMTN-NULL	0	0
