gene_symbol	crispr_effect_size	crispr_fdr	crispr_direction
KDM1A	-2.167335634799461	0.0003849877126404	sensitising_knockout
USP17L29	-2.1448239489713394	0.0280336431249791	sensitising_knockout
TADA2B	-2.0643649381530107	0.0145874633758381	sensitising_knockout
TLK2	-1.848198303730188	0.0016758310698192	sensitising_knockout
PET117	-1.8279505886266567	0.0419031835559097	sensitising_knockout
SUPT4H1	-1.6837884606622353	0.0372575660229722	sensitising_knockout
TSR3	-1.6187529731582495	0.0679959978896869	sensitising_knockout
VEZF1	-1.602445388833546	0.0372575660229722	sensitising_knockout
EIF4ENIF1	-1.5506541534723943	0.0372575660229722	sensitising_knockout
HMGB1	-1.4740651006700034	0.0372575660229722	sensitising_knockout
CTDNEP1	-1.3929700500469568	0.0691834175190324	sensitising_knockout
USP34	-1.3912980676838431	0.0416851803622835	sensitising_knockout
ICK	-1.2245539921905229	0.0372575660229722	sensitising_knockout
CUX1	1.2655384098421134	0.044987385842584	tolerance_associated_knockout
TSC1	1.2814671009362222	0.0829395294976029	tolerance_associated_knockout
RASA2	1.2969414819378675	0.0419031835559097	tolerance_associated_knockout
DPP9	1.3751072314321586	0.0416851803622835	tolerance_associated_knockout
LZTR1	1.4583532397139498	0.0124208335090964	tolerance_associated_knockout
SOX2	1.5125795984924384	0.012231538169301	tolerance_associated_knockout
TFAP2C	1.5406554782432211	0.0482149029216125	tolerance_associated_knockout
PTPN3	1.6135574502712569	0.0679959978896869	tolerance_associated_knockout
KMT2C	1.683754395316134	0.0052539443921356	tolerance_associated_knockout
SPRED2	1.6872268467811598	0.0783442627744789	tolerance_associated_knockout
ILK	2.1731202681634	0.0783442627744789	tolerance_associated_knockout
KDM6A	2.259563025014412	0.0416851803622835	tolerance_associated_knockout
CSK	2.8930076779394955	1.980969177858585e-06	tolerance_associated_knockout
NF1	3.201469104004488	1.980969177858585e-06	tolerance_associated_knockout
PTEN	3.3317870701317656	2.2317000159876773e-07	tolerance_associated_knockout
