gene_id	gene_symbol	log2fc	se	moderated_t	p_value	fdr	ave_expr	contrast	direction	crispr_direction	evidence_class	is_gate1_hit
ENSG00000196208	GREB1	-7.14538036307953	0.159282462339783	-44.8598060208093	3.92575843413264e-13	5.825040364566021e-09	3.3130920715995	TAMR_vs_MCF7	down			False
ENSG00000169429	CXCL8	4.74801435376446	0.116007707737185	40.9284386906522	1.00315222941887e-12	7.4423863900586105e-09	1.61720929602444	TAMR_vs_MCF7	up			False
ENSG00000174827	PDZK1	-6.40231141223457	0.17421171373267	-36.7501775572852	3.01433560057142e-12	8.6203189384681e-09	2.97130485492053	TAMR_vs_MCF7	down			False
ENSG00000137573	SULF1	-4.968387215047	0.133309407295183	-37.2695919654467	2.6118716835589897e-12	8.6203189384681e-09	2.57775169136568	TAMR_vs_MCF7	down			False
ENSG00000116701	NCF2	4.89173146818772	0.134651759546495	36.3287600894559	3.39101326767257e-12	8.6203189384681e-09	2.13700468009487	TAMR_vs_MCF7	up			False
ENSG00000113083	LOX	4.80263819051348	0.13575272551853	35.377839908326	4.4453198836416e-12	8.6203189384681e-09	1.67493704732951	TAMR_vs_MCF7	up			False
ENSG00000008311	AASS	4.72329084316331	0.13409363002663	35.223827129039	4.6476985784974296e-12	8.6203189384681e-09	1.93212320112148	TAMR_vs_MCF7	up			False
ENSG00000197959	DNM3	4.14026929801834	0.116716400915536	35.4729006852648	4.32524108626339e-12	8.6203189384681e-09	1.45589264575797	TAMR_vs_MCF7	up			False
ENSG00000151892	GFRA1	-5.16472990661696	0.151232984932085	-34.1508164302669	6.372370525148589e-12	1.05059148724616e-08	3.75599369271192	TAMR_vs_MCF7	down			False
ENSG00000172602	RND1	5.42149798511865	0.162665256586134	33.3291699708959	8.16867297209575e-12	1.21206769559957e-08	3.24666030523011	TAMR_vs_MCF7	up			False
ENSG00000075213	SEMA3A	-3.85137094223862	0.119003335223677	-32.3635546432346	1.1022795125426699e-11	1.48687485519165e-08	1.28379031407954	TAMR_vs_MCF7	down			False
ENSG00000144063	MALL	4.69384647100205	0.15367665915743	30.5436524761615	1.9873685385503097e-11	2.21943946035512e-08	1.99345875753187	TAMR_vs_MCF7	up			False
ENSG00000235123	DSCAM-AS1	-4.60881658668856	0.152701981374261	-30.18177331565	2.2436711083250297e-11	2.21943946035512e-08	8.59363419263974	TAMR_vs_MCF7	down			False
ENSG00000143153	ATP1B1	4.45693401288882	0.146302416250629	30.4638441873283	2.04100369767512e-11	2.21943946035512e-08	6.16999544517671	TAMR_vs_MCF7	up			False
ENSG00000174640	SLCO2A1	4.16108018097689	0.137745045148195	30.2085652264307	2.2235033638977298e-11	2.21943946035512e-08	1.78634011123291	TAMR_vs_MCF7	up			False
