gene_symbol	contrast	log2fc	fdr	crispr_direction	evidence_class
PTEN	TAMR_vs_MCF7	-0.39072867283774	0.0738932933249503	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
PTEN	TAMR_vs_FASR	-0.111825044584299	0.547248692939314	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
CSK	TAMR_vs_MCF7	0.320365895079171	0.229948458536039	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
CSK	TAMR_vs_FASR	1.19067011799513	0.0003860768522978	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
NF1	TAMR_vs_MCF7	0.401298410976755	0.241892052255367	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
NF1	TAMR_vs_FASR	1.04225674599884	0.0040559800221732	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
KDM1A	TAMR_vs_MCF7	0.146667919066447	0.493845720601604	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
KDM1A	TAMR_vs_FASR	0.766020062077172	0.0013534280744467	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
TLK2	TAMR_vs_MCF7	-0.151752544851276	0.674943903042664	sensitising_knockout	NO_SIGNIFICANT_RNA_SUPPORT
TLK2	TAMR_vs_FASR	0.482742539005659	0.106369921946388	sensitising_knockout	NO_SIGNIFICANT_RNA_SUPPORT
KMT2C	TAMR_vs_MCF7	0.0353127981755366	0.925860041774026	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
KMT2C	TAMR_vs_FASR	0.239277493735555	0.366349273844174	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
SOX2	TAMR_vs_MCF7	0.689938479322989	0.009274260760025	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
SOX2	TAMR_vs_FASR	-1.39377691575381	5.3882062872673e-05	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
LZTR1	TAMR_vs_MCF7	1.11048033871916	0.0151008717779807	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
LZTR1	TAMR_vs_FASR	-0.116106183698546	0.752902083374587	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
TADA2B	TAMR_vs_MCF7	0.0065434913994528	0.984583852830181	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
TADA2B	TAMR_vs_FASR	1.49326556920082	3.85518916059116e-05	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
USP17L29	TAMR_vs_MCF7			sensitising_knockout	RNA_UNAVAILABLE
USP17L29	TAMR_vs_FASR			sensitising_knockout	RNA_UNAVAILABLE
EIF4ENIF1	TAMR_vs_MCF7	0.53145903933498	0.0529761966227399	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
EIF4ENIF1	TAMR_vs_FASR	1.20505283442699	0.0003365029185869	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
HMGB1	TAMR_vs_MCF7	-0.0794061555047207	0.731817935481995	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
HMGB1	TAMR_vs_FASR	1.05475404542941	0.0001938243914095	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
ICK	TAMR_vs_MCF7	0.106733026979587	0.663325990388584	sensitising_knockout	NO_SIGNIFICANT_RNA_SUPPORT
ICK	TAMR_vs_FASR	0.159263852234927	0.423799941945005	sensitising_knockout	NO_SIGNIFICANT_RNA_SUPPORT
SUPT4H1	TAMR_vs_MCF7	0.037335300465398	0.893464168113868	sensitising_knockout	NO_SIGNIFICANT_RNA_SUPPORT
SUPT4H1	TAMR_vs_FASR	0.37378435412768	0.0738408348576565	sensitising_knockout	NO_SIGNIFICANT_RNA_SUPPORT
VEZF1	TAMR_vs_MCF7	0.426552278550176	0.237500391027449	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
VEZF1	TAMR_vs_FASR	1.74439416761153	0.0002282310194573	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
DPP9	TAMR_vs_MCF7	-1.04265717095817	0.0021070783203592	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
DPP9	TAMR_vs_FASR	0.676227309284662	0.011976425706191	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
KDM6A	TAMR_vs_MCF7	0.146645780508053	0.562375182137919	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
KDM6A	TAMR_vs_FASR	0.540107592718189	0.0207509351634455	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
USP34	TAMR_vs_MCF7	0.590437436807219	0.0073136129571408	sensitising_knockout	PRIMARY_RESISTANCE_SUPPORT
USP34	TAMR_vs_FASR	0.0195025681205152	0.911804815437693	sensitising_knockout	PRIMARY_RESISTANCE_SUPPORT
PET117	TAMR_vs_MCF7	-0.0587411607946384	0.783384004604082	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
PET117	TAMR_vs_FASR	0.350248005764482	0.046406480750034	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
RASA2	TAMR_vs_MCF7	0.0429116506321199	0.887661109172614	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
RASA2	TAMR_vs_FASR	-0.0771099320565356	0.73459294427115	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
CUX1	TAMR_vs_MCF7	-0.899390794469496	0.0007915850161576	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
CUX1	TAMR_vs_FASR	-0.580034589771422	0.005540506700525	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
TFAP2C	TAMR_vs_MCF7	-1.09359983284206	0.0009588641192333	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
TFAP2C	TAMR_vs_FASR	-0.463199077740875	0.0454848684305003	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
PTPN3	TAMR_vs_MCF7	-0.0998815631979553	0.668967577840779	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
PTPN3	TAMR_vs_FASR	0.443349480495833	0.0306643174549468	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
TSR3	TAMR_vs_MCF7	-0.467160834528706	0.19102192420909	sensitising_knockout	NO_SIGNIFICANT_RNA_SUPPORT
TSR3	TAMR_vs_FASR	-0.574859650108749	0.0726153468271878	sensitising_knockout	NO_SIGNIFICANT_RNA_SUPPORT
CTDNEP1	TAMR_vs_MCF7	-0.354663041745843	0.25349742818574	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
CTDNEP1	TAMR_vs_FASR	0.88464025425656	0.0057909543819809	sensitising_knockout	SECONDARY_CONTEXT_SUPPORT
ILK	TAMR_vs_MCF7	-0.11155383502537	0.630057583961334	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
ILK	TAMR_vs_FASR	-0.0511507652469909	0.795684612241108	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
SPRED2	TAMR_vs_MCF7	0.405154932775937	0.123396149990115	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
SPRED2	TAMR_vs_FASR	2.38307063443568	2.74271876187842e-06	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
TSC1	TAMR_vs_MCF7	-0.282165443386706	0.30361982250427	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
TSC1	TAMR_vs_FASR	-0.208456133486715	0.376922215376714	tolerance_associated_knockout	not_applicable_not_a_sensitising_knockout
