gene	n_guides	effect_size	se	p_value	fdr	rank_by_effect	rank_by_fdr
KDM1A	4	-2.1673356347994606	0.25421898635992957	8.061303724868798e-08	0.00038498771264042166	1	1
USP17L29	4	-2.1448239489713394	0.3683039795210282	1.4674995092382967e-05	0.028033643124979184	2	4
TADA2B	4	-2.0643649381530107	0.3336115013396296	6.8725943769325934e-06	0.014587463375838149	3	3
TLK2	4	-1.8481983037301877	0.24354877054016874	4.3863033811946755e-07	0.0016758310698192377	4	2
PET117	4	-1.8279505886266572	0.34420355255946566	4.3870788416384545e-05	0.0419031835559097	5	11
SUPT4H1	4	-1.6837884606622353	0.30527647094965527	2.8217361523605968e-05	0.03725756602297225	6	5
TSR3	4	-1.6187529731582497	0.32254943060348323	8.291733910908465e-05	0.0679959978896869	7	12
VEZF1	4	-1.6024453888335461	0.28754791555485265	2.4970007416788175e-05	0.03725756602297225	8	6
EIF4ENIF1	4	-1.5506541534723945	0.28113385712138034	2.8211529650492784e-05	0.03725756602297225	9	8
HMGB1	4	-1.4740651006700034	0.2649943858265333	2.5518082462345876e-05	0.03725756602297225	10	7
CTDNEP1	4	-1.3929700500469568	0.27979298663795105	9.053999047143436e-05	0.06918341751903241	11	13
USP34	4	-1.3912980676838433	0.25948255676381454	3.927829380312541e-05	0.041685180362283594	12	10
ICK	4	-1.2245539921905229	0.22269641614348112	2.9255273535286798e-05	0.03725756602297225	13	9
