gene	crispr_effect	crispr_p	crispr_fdr	rank_by_effect	rank_by_fdr	gse118713_log2fc	gse118713_fdr	gse111151_log2fc	gse111151_fdr	gse240112_log2fc	gse240112_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	in_depmap	median_chronos_er_luminal	frac_strongly_dependent_er_luminal	n_lines	tcga_tumor_vs_normal_log2diff	tcga_p	tcga_fdr	tcga_n_paired	n_strong_consensus_pathways	gdsc_n_tests	gdsc_n_fdr_sig_rows	gdsc_n_fdr_sig_unique_compounds	gdsc_best_drug	gdsc_best_rho	gdsc_best_fdr	n_chronic_datasets_fdr05	n_chronic_datasets_testable
KDM1A	-2.1673356347994606	8.061303724868798e-08	0.00038498771264042166	1	1	0.146667919066447	0.493845720601604	0.0713993613378379	0.905930650706976	0.191941386609262	0.59163963287314	-0.215079883472444	0.369442163215661	True	-0.1373286765645884	0.0	11												0	3
USP17L29	-2.1448239489713394	1.4674995092382967e-05	0.028033643124979184	2	4									False			0												0	0
TADA2B	-2.0643649381530107	6.8725943769325934e-06	0.014587463375838149	3	3	0.0065434913994528	0.984583852830181	0.0560617398417958	0.922008042963833	0.427658434315663	0.380115251679473	0.0702306580392095	0.789858424764366	True	-0.2496438982304066	0.2727272727272727	11												0	3
TLK2	-1.8481983037301877	4.3863033811946755e-07	0.0016758310698192377	4	2	-0.151752544851276	0.674943903042664	0.0727893622757189	0.839733945674166	0.0570763695102118	0.882577720157556	-0.0362993225303796	0.882198640375374	True	-0.808316859222911	0.8181818181818182	11												0	3
PET117	-1.8279505886266572	4.3870788416384545e-05	0.0419031835559097	5	11	-0.0587411607946384	0.783384004604082	0.0180744802898094	0.982753570306189	-0.246376118564829	0.570163539426128	0.0463310730641482	0.922436902008411	True	-0.4572596817227923	0.5454545454545454	11												0	3
SUPT4H1	-1.6837884606622353	2.8217361523605968e-05	0.03725756602297225	6	5	0.037335300465398	0.893464168113868	0.0183645827810597	0.977955507540752	1.00349742270902	0.0765239610374908	0.0698538693732563	0.803091952332355	True	-0.5779634325201091	0.9090909090909091	11												0	3
TSR3	-1.6187529731582497	8.291733910908465e-05	0.0679959978896869	7	12	-0.467160834528706	0.19102192420909	0.0940236720029586	0.883155989074822	-0.426897318866676	0.379225116913949	-0.134880623343638	0.682338116517599	True	-0.0508512661930706	0.0	11												0	3
VEZF1	-1.6024453888335461	2.4970007416788175e-05	0.03725756602297225	8	6	0.426552278550176	0.237500391027449	-0.238235372712826	0.607594477564463	1.14940832913316	0.0194899399382215	-0.0505827437413172	0.890005371824952	True	-0.1991159267834618	0.2727272727272727	11	0.0112364095312662	0.8994551103081146	0.8994551103081146	113.0	2.0	1278.0	0.0	0.0	Paclitaxel	0.500395256916996	0.1323710505544696	1	3
EIF4ENIF1	-1.5506541534723945	2.8211529650492784e-05	0.03725756602297225	9	8	0.53145903933498	0.0529761966227399	-0.128950200396878	0.72170580070892	0.0629475872692003	0.863278728164698	-0.0618984390937733	0.839383757340375	True	-0.2018269109531551	0.09090909090909091	11												0	3
HMGB1	-1.4740651006700034	2.5518082462345876e-05	0.03725756602297225	10	7	-0.0794061555047207	0.731817935481995	-0.130515412318803	0.80271652586053	-0.154623744509501	0.820887420028315	-0.0697664035194113	0.800435901224173	True	-0.8594583884392317	0.8181818181818182	11												0	3
CTDNEP1	-1.3929700500469568	9.053999047143436e-05	0.06918341751903241	11	13	-0.354663041745843	0.25349742818574	-0.0440235942969099	0.946275269708185	-0.121467789229156	0.796356321458072	0.15110673769838	0.462797185542904	True	-0.2746548146878373	0.36363636363636365	11												0	3
USP34	-1.3912980676838433	3.927829380312541e-05	0.041685180362283594	12	10	0.590437436807219	0.0073136129571408	0.161522475648414	0.632236473760328	0.400106644327525	0.22750138874853	-0.0334650201061386	0.900549578140749	True	-0.0628523287643584	0.0	11	-0.1376476460494664	0.1444629461362465	0.2101279216527221	113.0	4.0	1278.0	9.0	8.0	AZD7762	-0.5932346723044397	0.007779654213222	1	3
ICK	-1.2245539921905229	2.9255273535286798e-05	0.03725756602297225	13	9	0.106733026979587	0.663325990388584	-0.168093978284892	0.697681709271967	0.358028755494179	0.44062569101796	-0.0894575161021647	0.699401614317978	False			0												0	3
