gene	left_out_dataset	n_chronic_fdr05_full	n_chronic_fdr05_after_exclusion	still_corroborated
KDM1A	gse118713	0	0	False
KDM1A	gse240112	0	0	False
KDM1A	gse111151	0	0	False
USP17L29	gse118713	0	0	False
USP17L29	gse240112	0	0	False
USP17L29	gse111151	0	0	False
TADA2B	gse118713	0	0	False
TADA2B	gse240112	0	0	False
TADA2B	gse111151	0	0	False
TLK2	gse118713	0	0	False
TLK2	gse240112	0	0	False
TLK2	gse111151	0	0	False
PET117	gse118713	0	0	False
PET117	gse240112	0	0	False
PET117	gse111151	0	0	False
SUPT4H1	gse118713	0	0	False
SUPT4H1	gse240112	0	0	False
SUPT4H1	gse111151	0	0	False
TSR3	gse118713	0	0	False
TSR3	gse240112	0	0	False
TSR3	gse111151	0	0	False
VEZF1	gse118713	1	1	True
VEZF1	gse240112	1	0	False
VEZF1	gse111151	1	1	True
EIF4ENIF1	gse118713	0	0	False
EIF4ENIF1	gse240112	0	0	False
EIF4ENIF1	gse111151	0	0	False
HMGB1	gse118713	0	0	False
HMGB1	gse240112	0	0	False
HMGB1	gse111151	0	0	False
CTDNEP1	gse118713	0	0	False
CTDNEP1	gse240112	0	0	False
CTDNEP1	gse111151	0	0	False
USP34	gse118713	1	0	False
USP34	gse240112	1	1	True
USP34	gse111151	1	1	True
ICK	gse118713	0	0	False
ICK	gse240112	0	0	False
ICK	gse111151	0	0	False
