model_id	cell_line	subtype_features	gene	chronos_gene_effect	dependency_probability	strongly_dependent
ACH-000352	HCC1428	luminal ER, PR+	KDM1A	-0.1672815892017215	0.1081550210991603	False
ACH-000352	HCC1428	luminal ER, PR+	TLK2	-0.9539289044256652	0.9906778707772148	True
ACH-000352	HCC1428	luminal ER, PR+	USP34	-0.0163045085795754	0.0252925156958502	False
ACH-000352	HCC1428	luminal ER, PR+	VEZF1	-0.0472256554027442	0.0348892723249396	False
ACH-000876	MDAMB415	luminal ER+, HER2+	KDM1A	-0.2010348674038571	0.11434186697881	False
ACH-000876	MDAMB415	luminal ER+, HER2+	TLK2	-0.4461027876245466	0.433464304075446	False
ACH-000876	MDAMB415	luminal ER+, HER2+	USP34	-0.230810971108107	0.1405519511927407	False
ACH-000876	MDAMB415	luminal ER+, HER2+	VEZF1	-0.0153269562321679	0.0280934155885577	False
ACH-000019	MCF7	ER+	KDM1A	-0.0924510534781002	0.0344335894909911	False
ACH-000019	MCF7	ER+	TLK2	-1.3294552077794195	0.9889040906664676	True
ACH-000019	MCF7	ER+	USP34	-0.3473411759665308	0.1868025507547728	False
ACH-000019	MCF7	ER+	VEZF1	-0.8051181418136758	0.8041999889986334	True
ACH-000028	KPL1	ER+	KDM1A	-0.2133130980108626	0.1210389001353146	False
ACH-000028	KPL1	ER+	TLK2	-0.7879966431404823	0.9104645503831998	True
ACH-000028	KPL1	ER+	USP34	-0.1722619152824681	0.0864894713260977	False
ACH-000028	KPL1	ER+	VEZF1	-0.4686614537389615	0.5206946237978576	True
ACH-000934	MDAMB361	luminal ER+, HER2+	KDM1A	0.1049603378023153	0.0272170059412455	False
ACH-000934	MDAMB361	luminal ER+, HER2+	TLK2	-1.0826573769587613	0.9798259837488176	True
ACH-000934	MDAMB361	luminal ER+, HER2+	USP34	0.0996112976501647	0.0279100234275555	False
ACH-000934	MDAMB361	luminal ER+, HER2+	VEZF1	-0.0463666960412953	0.0640903041158701	False
ACH-000147	T47D	luminal ER, PR+	KDM1A	-0.1322982314281529	0.0892570556676961	False
ACH-000147	T47D	luminal ER, PR+	TLK2	-0.7750647063993671	0.9287229423878204	True
ACH-000147	T47D	luminal ER, PR+	USP34	-0.0446688514174287	0.0369733601980529	False
ACH-000147	T47D	luminal ER, PR+	VEZF1	-0.2838868482541202	0.2792558997081807	False
ACH-000783	CAMA1	luminal ER+, PR+, HER2+	KDM1A	-0.1373286765645884	0.1012478916927927	False
ACH-000783	CAMA1	luminal ER+, PR+, HER2+	TLK2	-0.8903507910999917	0.8947094041821301	True
ACH-000783	CAMA1	luminal ER+, PR+, HER2+	USP34	-0.0106871665623584	0.0420383915118072	False
ACH-000783	CAMA1	luminal ER+, PR+, HER2+	VEZF1	0.024688104374052	0.0325337373295844	False
ACH-001683	UACC3133	ER+, HER2+	KDM1A	-0.031923745683317	0.0296742681182181	False
ACH-001683	UACC3133	ER+, HER2+	TLK2	-0.2420233506959898	0.1610323837864835	False
ACH-001683	UACC3133	ER+, HER2+	USP34	-0.3440254339730287	0.2995497791080196	False
ACH-001683	UACC3133	ER+, HER2+	VEZF1	-0.7439285317925651	0.874322586890053	True
ACH-000097	ZR751	luminal ER, PR+	KDM1A	-0.3810836280578664	0.4131971261768413	False
ACH-000097	ZR751	luminal ER, PR+	TLK2	-0.8415883804467473	0.945559293341542	True
ACH-000097	ZR751	luminal ER, PR+	USP34	-0.1233554467876887	0.0724557282581404	False
ACH-000097	ZR751	luminal ER, PR+	VEZF1	-0.3075447904352655	0.2849495552599018	False
ACH-000330	EFM19	luminal ER+, PR+, HER2+	KDM1A	-0.3973110096073939	0.3464808607709361	False
ACH-000330	EFM19	luminal ER+, PR+, HER2+	TLK2	-0.808316859222911	0.8935043151736786	True
ACH-000330	EFM19	luminal ER+, PR+, HER2+	USP34	-0.0628523287643584	0.0367219931416911	False
ACH-000330	EFM19	luminal ER+, PR+, HER2+	VEZF1	-0.1991159267834618	0.106456436696166	False
ACH-001819	MFM223	luminal ER, PR+	KDM1A	-0.1318012016421131	0.107880850756228	False
ACH-001819	MFM223	luminal ER, PR+	TLK2	-0.4259746713241428	0.5194114149582347	True
ACH-001819	MFM223	luminal ER, PR+	USP34	-0.0536778356819634	0.0562949551663598	False
ACH-001819	MFM223	luminal ER, PR+	VEZF1	-0.0408150842140215	0.0501580357060655	False
