partner_gene	hop_distance	interaction_type	database_source	resistance_pattern	crispr_direction	number_consensus_pathways	human_tumor_support	connects_usp34_to_pathway
MKLN1	1	functional_association	STRING	consistent_up_(1/3_significant)	nonsignificant_tolerance_direction	4	False	
RPS27A	1	physical_PPI	STRING	no_significant_resistance_dataset	nonsignificant_sensitising_direction	3	False	REACTOME_DEUBIQUITINATION;REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION;REACTOME_SIGNALING_BY_WNT;REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT;REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES;GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_POSITIVE_REGULATION_OF_SIGNALING;GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY;GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION;GOBP_PROTEIN_DEUBIQUITINATION;GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION;GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL;GOBP_PROTEOLYSIS;GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY;GOBP_WNT_SIGNALING_PATHWAY
UBB	1	physical_PPI	STRING	no_significant_resistance_dataset	nonsignificant_tolerance_direction	3	False	REACTOME_DEUBIQUITINATION;REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION;REACTOME_SIGNALING_BY_WNT;REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT;REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES;GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_POSITIVE_REGULATION_OF_SIGNALING;GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY;GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION;GOBP_PROTEIN_DEUBIQUITINATION;GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION;GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL;GOBP_PROTEOLYSIS;GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY;GOBP_WNT_SIGNALING_PATHWAY
UBA52	1	physical_PPI	STRING	no_significant_resistance_dataset	nonsignificant_tolerance_direction	3	False	REACTOME_DEUBIQUITINATION;REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION;REACTOME_SIGNALING_BY_WNT;REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT;REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES;GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_POSITIVE_REGULATION_OF_SIGNALING;GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY;GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION;GOBP_PROTEIN_DEUBIQUITINATION;GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION;GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL;GOBP_PROTEOLYSIS;GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY;GOBP_WNT_SIGNALING_PATHWAY
USP9X	1	functional_association	STRING	no_significant_resistance_dataset	nonsignificant_sensitising_direction	0	False	
TRIP12	1	functional_association	STRING	no_significant_resistance_dataset	nonsignificant_sensitising_direction	0	False	
ASH1L	1	functional_association	STRING	no_significant_resistance_dataset	nonsignificant_tolerance_direction	0	False	
SMG1	1	functional_association	STRING	no_significant_resistance_dataset	nonsignificant_sensitising_direction	0	False	
H7C0V5_HUMAN	1	functional_association	STRING	no_significant_resistance_dataset	not_tested	0	False	
UBC	1	physical_PPI	STRING	no_significant_resistance_dataset	nonsignificant_tolerance_direction	0	False	REACTOME_DEUBIQUITINATION;REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION;REACTOME_SIGNALING_BY_WNT;REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT;REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES;GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_POSITIVE_REGULATION_OF_SIGNALING;GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY;GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION;GOBP_PROTEIN_DEUBIQUITINATION;GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION;GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL;GOBP_PROTEOLYSIS;GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY;GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY;GOBP_WNT_SIGNALING_PATHWAY
