target	path_length_edges	path_rank	n_equally_short_paths	path	edge_index_in_path	source_gene	target_gene	interaction_type	database_source	confidence	pathway	evidence_notes
CTNNB1	2	1	3	USP34 -> RPS27A -> CTNNB1	1	USP34	RPS27A	physical_PPI	STRING	0.961		combined_score=0.961; escore=0.926; dscore=0.400; STRING network_type=physical membership=True
CTNNB1	2	1	3	USP34 -> RPS27A -> CTNNB1	2	RPS27A	CTNNB1	functional_association	STRING	0.735		combined_score=0.735; escore=0.381; dscore=0.500; STRING network_type=physical membership=False
CTNNB1	2	2	3	USP34 -> USP9X -> CTNNB1	1	USP34	USP9X	functional_association	STRING	0.793		combined_score=0.793; escore=0.438; dscore=0.000; STRING network_type=physical membership=False
CTNNB1	2	2	3	USP34 -> USP9X -> CTNNB1	2	USP9X	CTNNB1	functional_association	STRING	0.88		combined_score=0.880; escore=0.822; dscore=0.000; STRING network_type=physical membership=False
CTNNB1	2	3	3	USP34 -> UBB -> CTNNB1	1	USP34	UBB	physical_PPI	STRING	0.954		combined_score=0.954; escore=0.922; dscore=0.400; STRING network_type=physical membership=True
CTNNB1	2	3	3	USP34 -> UBB -> CTNNB1	2	UBB	CTNNB1	functional_association	STRING	0.763		combined_score=0.763; escore=0.111; dscore=0.500; STRING network_type=physical membership=False
PTEN	2	1	2	USP34 -> RPS27A -> PTEN	1	USP34	RPS27A	physical_PPI	STRING	0.961		combined_score=0.961; escore=0.926; dscore=0.400; STRING network_type=physical membership=True
PTEN	2	1	2	USP34 -> RPS27A -> PTEN	2	RPS27A	PTEN	functional_association	STRING	0.752		combined_score=0.752; escore=0.467; dscore=0.500; STRING network_type=physical membership=False
PTEN	2	2	2	USP34 -> UBC -> PTEN	1	USP34	UBC	physical_PPI	STRING	0.982		combined_score=0.982; escore=0.969; dscore=0.400; STRING network_type=physical membership=True
PTEN	2	2	2	USP34 -> UBC -> PTEN	2	UBC	PTEN	functional_association	STRING	0.714		combined_score=0.714; escore=0.354; dscore=0.500; STRING network_type=physical membership=False
EP300	2	1	1	USP34 -> UBC -> EP300	1	USP34	UBC	physical_PPI	STRING	0.982		combined_score=0.982; escore=0.969; dscore=0.400; STRING network_type=physical membership=True
EP300	2	1	1	USP34 -> UBC -> EP300	2	UBC	EP300	functional_association	STRING	0.791		combined_score=0.791; escore=0.510; dscore=0.500; STRING network_type=physical membership=False
SOX2	2	1	1	USP34 -> USP9X -> SOX2	1	USP34	USP9X	functional_association	STRING	0.793		combined_score=0.793; escore=0.438; dscore=0.000; STRING network_type=physical membership=False
SOX2	2	1	1	USP34 -> USP9X -> SOX2	2	USP9X	SOX2	functional_association	STRING	0.747		combined_score=0.747; escore=0.510; dscore=0.000; STRING network_type=physical membership=False
