candidate	collection	pathway	candidate_is_member	candidate_is_leading_edge_datasets	interactor_genes_in_pathway	resistance_consensus_class	gse118713_NES	gse118713_FDR	gse240112_NES	gse240112_FDR	gse111151_NES	gse111151_FDR	gse245601_NES	gse245601_FDR
USP34	reactome	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	False		RPS27A;UBA52;UBB;UBC	MIXED	-0.7938160415402602	1.0	-1.4816008178372015	0.2337953962792146	1.0452191893047331	0.6036948927969165	1.0397407531540828	0.6791499404917999
USP34	reactome	REACTOME_ABC_TRANSPORTER_DISORDERS	False		RPS27A;UBA52;UBB;UBC	LOW_EVIDENCE	-0.937632497017322	0.9312400326733828	-1.547302535626054	0.2024997059189828	-0.9880826169043648	0.6670548298856384	1.173202835016069	0.4679769503890106
USP34	reactome	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	False		RPS27A;UBA52;UBB;UBC	MIXED	-0.905360145862238	0.9331007743200748	1.0723045692371007	0.8128205128205128	1.3983063221249652	0.2267187934503459	1.417124814380914	0.2402168197454878
USP34	reactome	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	False		RPS27A	MIXED	0.9799260315659036	0.860576923076923	1.202317894962991	0.6214698246171779	-2.025722919177321	0.0007831520357551	1.3919105480431042	0.2399290237488845
USP34	reactome	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	False		RPS27A;UBA52;UBB;UBC	MIXED	1.5036326642921305	0.1556589029943354	-1.2801095970439182	0.4323955669224212	1.5419484131572738	0.0452275141076345	1.1114287768928623	0.5483630952380952
USP34	reactome	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	False		RPS27A;UBA52;UBB;UBC	LOW_EVIDENCE	-1.0425521606053707	0.7458333333333333	-1.4655598247854236	0.1796609139974173	-0.7860716862514141	0.9910209985020154	-1.1889479118424238	0.3447456956263606
USP34	reactome	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	False		RPS27A;UBA52;UBB;UBC	LOW_EVIDENCE	-1.241168307658002	0.5693550745832114	-0.9469300774171272	0.9924685276409414	-1.4879429267532192	0.1170059571449893	0.7508949418719324	0.950693948520508
USP34	reactome	REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	False		RPS27A;UBA52;UBB;UBC	LOW_EVIDENCE	-1.1437787655195093	0.6793559516963773	-0.9837398821237412	0.9432297504572004	-1.4685755349706038	0.1619159038351378	0.8613888310902267	0.8579965850882185
USP34	reactome	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	False		RPS27A;UBA52;UBB;UBC	SINGLE_DATASET	-0.8895830455693093	0.9862028600006596	-1.173962454855298	0.6214698246171779	-1.573956895818001	0.0382201344016065	0.5759212364230947	1.0
USP34	reactome	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	False		RPS27A;UBA52;UBB;UBC	SINGLE_DATASET	-1.0498154243462778	0.7458333333333333	-1.277414538202852	0.432095327431553	-1.6326981724254956	0.0132936861566309	-0.5165836797014183	1.0
USP34	reactome	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	False		RPS27A;UBA52;UBB;UBC	SINGLE_DATASET	0.6903370692879299	1.0	1.0336638339353217	0.8286739807666261	1.5918720680836855	0.0010872550423	2.46178322718064	3.3896010402596703e-19
USP34	reactome	REACTOME_ASSEMBLY_OF_THE_HIV_VIRION	False		RPS27A;UBA52;UBB;UBC	LOW_EVIDENCE	0.8833734568419283	0.9450456006578456	1.2090494645996182	0.6713088797994459	0.7471489683497562	0.9231802911534154	1.5658918700647548	0.1806998877392124
