gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
PTEN	14.744632823886663	3.3317870701317656	1.1682458336322448e-11	2.2317000159876773e-07	effect_size/se (Wald z)
CSK	12.385593985288832	2.8930076779394955	2.2005773402918175e-10	1.980969177858585e-06	effect_size/se (Wald z)
NF1	12.128957280160652	3.201469104004488	3.1109812770642067e-10	1.980969177858585e-06	effect_size/se (Wald z)
KMT2C	6.897302678911688	1.683754395316134	1.6501945428892681e-06	0.005253944392135615	effect_size/se (Wald z)
SOX2	6.397004301548215	1.5125795984924384	4.4820586915723774e-06	0.012231538169301018	effect_size/se (Wald z)
LZTR1	6.323861013788364	1.4583532397139498	5.201626345221791e-06	0.012420833509096485	effect_size/se (Wald z)
KDM6A	5.405569501414678	2.259563025014412	3.574163466644781e-05	0.041685180362283594	effect_size/se (Wald z)
DPP9	5.38799169731928	1.3751072314321586	3.712159796876289e-05	0.041685180362283594	effect_size/se (Wald z)
RASA2	5.330454089683816	1.2969414819378677	4.2032356836587575e-05	0.0419031835559097	effect_size/se (Wald z)
CUX1	5.2553931082270635	1.2655384098421134	4.9454803051576474e-05	0.04498738584258406	effect_size/se (Wald z)
TFAP2C	5.202107459668691	1.5406554782432211	5.5526768794193315e-05	0.0482149029216125	effect_size/se (Wald z)
PTPN3	5.005037089263905	1.6135574502712569	8.542657956093207e-05	0.0679959978896869	effect_size/se (Wald z)
SPRED2	4.901922329283242	1.6872268467811598	0.00010718338069095832	0.07834426277447899	effect_size/se (Wald z)
ILK	4.887158527908756	2.1731202681634	0.00011073104197827216	0.07834426277447899	effect_size/se (Wald z)
TSC1	4.844874255457128	1.2814671009362222	0.00012156765041788631	0.08293952949760293	effect_size/se (Wald z)
TIPARP	4.723419061477054	1.1260406665820897	0.00015909131896518408	0.10130404887306373	effect_size/se (Wald z)
KCTD5	4.604104687508311	1.2488462817636785	0.0002074412417513825	0.11277536133878589	effect_size/se (Wald z)
SLC30A1	4.578182853543965	1.3764921244002135	0.0002197816236458335	0.11277536133878589	effect_size/se (Wald z)
MBTPS2	4.568989890135818	1.1614302745015106	0.0002243345930416094	0.11277536133878589	effect_size/se (Wald z)
FIBP	4.475279283298532	1.2809082172705288	0.0002765687497509313	0.13546904683312924	effect_size/se (Wald z)
PTRH1	4.388945454726147	1.2805378515442827	0.0003355452082330231	0.15261714554465333	effect_size/se (Wald z)
NANS	4.286373194836126	1.079443305758888	0.0004223772309072336	0.1754059183048018	effect_size/se (Wald z)
CDR1	4.231080644853828	1.5083647448065207	0.0004782561682905618	0.18975879151925373	effect_size/se (Wald z)
SMARCD1	4.221718730027872	1.481030068996299	0.0004884294371374605	0.18975879151925373	effect_size/se (Wald z)
G6PD	4.203836666246337	1.212505619799881	0.000508470894699629	0.18975879151925373	effect_size/se (Wald z)
TMEM53	4.196836823677578	0.9566415256551322	0.0005165396617809346	0.18975879151925373	effect_size/se (Wald z)
SENP3	4.168980314201829	1.3475758725940432	0.0005499474181094611	0.19821972694613274	effect_size/se (Wald z)
STK11	4.098839451692099	1.7544001986486881	0.000644014053363805	0.21812013952876327	effect_size/se (Wald z)
TAF4	4.0941631780386585	1.2736798999637902	0.0006508322228518823	0.21812013952876327	effect_size/se (Wald z)
PBRM1	4.079832679883514	1.313084266455431	0.0006721813951214073	0.22139105501731451	effect_size/se (Wald z)
SPEN	4.064180334401093	0.9751941388545617	0.0006963041200523303	0.22534906770442334	effect_size/se (Wald z)
ATRN	4.051041219558747	1.0266843483270325	0.0007172231796701487	0.22534906770442334	effect_size/se (Wald z)
C9orf153	3.9975055941279973	0.9700335787561132	0.0008091812842159299	0.23649591505025955	effect_size/se (Wald z)
CLDN3	3.9747240651955567	1.2355908563456897	0.0008518146220105414	0.23649591505025955	effect_size/se (Wald z)
FGF12	3.957732944547316	1.0748195131000138	0.0008850703210914843	0.23649591505025955	effect_size/se (Wald z)
ARIH2	3.955167841003726	1.0189916023289385	0.0008902025718697961	0.23649591505025955	effect_size/se (Wald z)
PPIP5K2	3.955017349323652	0.9612903208593533	0.0008905045987849664	0.23649591505025955	effect_size/se (Wald z)
RIC1	3.9545899497456665	1.4076756925662233	0.000891362921196602	0.23649591505025955	effect_size/se (Wald z)
NR2F2	3.9264274516103645	1.243319890515716	0.0009497837920910856	0.2451854024367028	effect_size/se (Wald z)
CLASRP	3.920019867155226	1.1321622106222202	0.0009636021041629904	0.24543587994434143	effect_size/se (Wald z)
UBXN10	3.903061232899591	1.2143668084055133	0.0010011525344563283	0.2459445453513707	effect_size/se (Wald z)
TSC2	3.8468282001440524	0.8569709608267981	0.001136450839779991	0.2584478618132996	effect_size/se (Wald z)
PDCD1LG2	3.8368639386893344	1.0690793217702748	0.001162263436165927	0.26120845201267884	effect_size/se (Wald z)
SFXN2	3.8214547736382007	1.4594979764028357	0.0015889386002791754	0.294220831937354	effect_size/se (Wald z)
NEIL3	3.792044646130381	1.0810646258016776	0.0012857967061897155	0.27598398290272064	effect_size/se (Wald z)
ENDOG	3.766732162499742	1.150872747893093	0.0013612631600044662	0.2859674335694762	effect_size/se (Wald z)
RDX	3.7549002488721586	1.1609318870176528	0.0013980370166112675	0.29029022965570694	effect_size/se (Wald z)
RARB	3.7382322212418932	1.1235124478131153	0.001451526463803583	0.29174488956753286	effect_size/se (Wald z)
TMEM239	3.7274914793445197	1.0196307948386458	0.0014870693351463791	0.29174488956753286	effect_size/se (Wald z)
CHD6	3.7006097052967886	1.0052383292880176	0.001579868158658758	0.294220831937354	effect_size/se (Wald z)
KLF4	3.7000200675976975	1.1323716701214952	0.0015819669444611852	0.294220831937354	effect_size/se (Wald z)
NRP1	3.6550409484313535	0.9079901595016739	0.0017505147569972534	0.3048506951521143	effect_size/se (Wald z)
NR6A1	3.6161334176115325	0.9807879670580082	0.0019106247644538692	0.3173796945683675	effect_size/se (Wald z)
