candidate	bridge_gene	bridge_relationship	bridges_candidate_to	classification	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_significant_fdr05	crispr_nominal_p05	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_direction	gse118713_significant_fdr05	gse118713_nominal_p05	gse240112_log2fc	gse240112_p	gse240112_fdr	gse240112_direction	gse240112_significant_fdr05	gse240112_nominal_p05	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_direction	gse111151_significant_fdr05	gse111151_nominal_p05	gse245601_track_a_log2fc	gse245601_track_a_p	gse245601_track_a_fdr	gse245601_track_a_direction	gse245601_track_a_significant_fdr05	gse245601_track_a_nominal_p05	gse245601_acute_note	resistance_direction_consistency	resistance_pattern_frozen
USP34	USP9X	2-hop_intermediate	CTNNB1,SOX2	B_PARTIAL_SUPPORT	-0.1876216761628777	0.53114362071019	0.9135531170853076	nonsignificant_sensitising_direction	False	False	0.543309336115212	0.0415419486952372	0.105910555797239	up	False	True	-0.173988170576846	0.416263152839232	0.558818196293536	down	False	False	-0.118948974014152	0.489957977086222	0.822687722196707	down	False	False	-0.176041890731658	0.0552428849872435	0.371312193206053	down	False	False	ACUTE 12h response -- not resistance evidence, not counted in classification	mixed	no_significant_resistance_dataset
USP34	RPS27A	2-hop_intermediate	CTNNB1,PTEN	C_NETWORK_ONLY_GENERIC_BRIDGE	-0.7450982898956067	0.2850997948139625	0.8270560220965696	nonsignificant_sensitising_direction	False	False	0.323544562467569	0.0626497116493461	0.144254073101191	up	False	False	0.644670935235638	0.182153567020084	0.310491715201749	up	False	False	-0.0903867295363118	0.490695109717425	0.823113332890811	down	False	False	0.0058003693585594	0.95772468526076	0.98740754078825	up	False	False	ACUTE 12h response -- not resistance evidence, not counted in classification	mixed	no_significant_resistance_dataset
USP34	UBC	2-hop_intermediate	EP300,PTEN	C_NETWORK_ONLY_GENERIC_BRIDGE	0.5829411177645234	0.1064138521047516	0.7616616496167914	nonsignificant_tolerance_direction	False	False	0.238027514085486	0.0947376415587461	0.196764330667508	up	False	False	0.351455348330551	0.369904589234337	0.513723850358758	up	False	False	0.0662392763160752	0.69846440975438	0.910936153178264	up	False	False	0.331808606019197	0.0112216710906358	0.207964763232786	up	False	True	ACUTE 12h response -- not resistance evidence, not counted in classification	consistent	no_significant_resistance_dataset
USP34	UBB	2-hop_intermediate	CTNNB1	B_PARTIAL_SUPPORT	1.1700339231670442	0.0153722750967491	0.5850133063510367	nonsignificant_tolerance_direction	False	True	0.104573123623551	0.536220184919581	0.674217024306139	up	False	False	-0.624491856307978	0.0931671771770563	0.191723589170161	down	False	False	-0.176655498061126	0.356370744074357	0.744843685120876	down	False	False	0.327814895579253	0.0359661660932951	0.312976985737832	up	False	True	ACUTE 12h response -- not resistance evidence, not counted in classification	mixed	no_significant_resistance_dataset
CITED2	EP300	1-hop_direct_partner	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES (STRONG_CONSENSUS leading-edge, gse240112)	A_DATA_SUPPORTED_BRIDGE	-0.5643086933317267	0.017723220289923944	0.6009826181172715	nonsignificant_sensitising_direction	False	True	0.102286244397691	0.673157459822166	0.78425803932485	up	False	False	0.65590510190885	0.0113937736682411	0.0421615383852104	up	True	True	0.0844410079597948	0.570314730619178	0.857510120715073	up	False	False	-0.059754915740188	0.570610436523837	0.842311852421359	down	False	False	ACUTE 12h response -- not resistance evidence, not counted in classification	consistent	consistent_up_(1/3_significant)
CITED2	CREBBP	1-hop_direct_partner	no STRONG_CONSENSUS Hallmark/Reactome leading-edge pathway found for CREBBP in any resistance dataset	C_NETWORK_ONLY_GENERIC_BRIDGE	-0.10729812572839137	0.7308473692049541	0.9578157168180561	nonsignificant_sensitising_direction	False	False	-0.313638920865462	0.183466395333397	0.319352989531893	down	False	False	-0.0173784828691921	0.938153000322543	0.963081916881724	down	False	False	0.108607173210642	0.509494787673678	0.83133779654177	up	False	False	-0.0428092674679337	0.662938183512157	0.886987488614421	down	False	False	ACUTE 12h response -- not resistance evidence, not counted in classification	mixed	no_significant_resistance_dataset
CITED2	TFAP2C	1-hop_direct_partner	HALLMARK_ESTROGEN_RESPONSE_EARLY/LATE (STRONG_CONSENSUS leading-edge, gse118713+gse111151)	A_DATA_SUPPORTED_BRIDGE	1.5406554782432211	5.5526768794193315e-05	0.0482149029216125	tolerance_associated_KO	True	True	-1.09359983284206	9.30568358421875e-05	0.0009588641192333	down	True	True	-0.231167140057674	0.316849193739134	0.460880649003454	down	False	False	-0.541646684135955	0.0390840962961491	0.376029940461807	down	False	True	-0.420914341193197	0.0054231292608551	0.161767538996686	down	False	True	ACUTE 12h response -- not resistance evidence, not counted in classification	consistent	consistent_down_(1/3_significant)
CITED2	HIF1A	1-hop_direct_partner	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES + HALLMARK_INFLAMMATORY_RESPONSE (STRONG_CONSENSUS leading-edge, gse111151/gse240112)	A_DATA_SUPPORTED_BRIDGE	0.0887308591190914	0.7795773338199731	0.9654441649938414	nonsignificant_tolerance_direction	False	False	0.828242331087186	0.0101054667191163	0.0366703143013568	up	True	True	0.967752553503101	0.0070108026958878	0.0293158774857775	up	True	True	0.441257026094293	0.0553669715603524	0.416092518520692	up	False	False	-0.202331711216874	0.0695917146599692	0.400954661301576	down	False	False	ACUTE 12h response -- not resistance evidence, not counted in classification	consistent	consistent_up_(2/3_significant)
CITED2	TP53	1-hop_direct_partner	HALLMARK_E2F_TARGETS + REACTOME_CELL_CYCLE_MITOTIC/CHECKPOINTS (STRONG_CONSENSUS leading-edge, all 3 resistance datasets)	A_DATA_SUPPORTED_BRIDGE	0.462313385551977	0.24395552101941492	0.8121550190740409	nonsignificant_tolerance_direction	False	False	-0.764390437265734	0.0006967790962311	0.0046845528907465	down	True	True	-0.804493516183301	0.0060901009746114	0.02635706452798	down	True	True	-0.400699043887594	0.221778878959527	0.640743280574782	down	False	False	0.118523832145241	0.330269524159061	0.698127176476088	up	False	False	ACUTE 12h response -- not resistance evidence, not counted in classification	consistent	consistent_down_(2/3_significant)
VEZF1	DMTN	1-hop_direct_partner_pathway_co_membership	HALLMARK_HEME_METABOLISM (STRONG_CONSENSUS; both VEZF1 and DMTN are independently leading-edge)	A_DATA_SUPPORTED_BRIDGE	-0.24280271673182607	0.4954292258155851	0.9006536946538933	nonsignificant_sensitising_direction	False	False	1.31603372622559	1.59958912803338e-05	0.0002412063361967	up	True	True	2.5352715301594	7.54628086770702e-06	0.000206019057526	up	True	True	1.24053270326457	0.032035725285049	0.351061357260381	up	False	True	-0.27677568590462	0.210679566748934	0.591184612654145	down	False	False	ACUTE 12h response -- not resistance evidence, not counted in classification	consistent	consistent_up_(2/3_significant)
EML5	NONE	not_applicable	EML5 has zero network neighbors (Part 2); no bridge gene exists to audit	D_NOT_ASSESSABLE																																	
