gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
SALL4	6.65304390085938	2.43862302108193	2.22308515769746e-07	0.0059511891118263	sign(log2fc)*-log10(p_value)
EPAS1	5.354475244065473	1.54018987568339	4.42104317273188e-06	0.0163651497737581	sign(log2fc)*-log10(p_value)
RP11-116O11.1	5.2192075160899565	7.00734373934561	6.03660117489836e-06	0.0163651497737581	sign(log2fc)*-log10(p_value)
AC005307.3	5.172035777121929	5.48006152690098	6.72921218839955e-06	0.0163651497737581	sign(log2fc)*-log10(p_value)
RP11-412H8.2	4.928839356096819	8.56351621786351	1.1780416461342e-05	0.0201872161585671	sign(log2fc)*-log10(p_value)
LAMB3	4.840697870550721	1.73734283578094	1.4431189496036e-05	0.0215374992764131	sign(log2fc)*-log10(p_value)
MAGEA1	4.8347249285581215	2.74580808660749	1.46310357486041e-05	0.0215374992764131	sign(log2fc)*-log10(p_value)
DMRTA1	4.7338917077283025	2.31285987676122	1.84547553514192e-05	0.0252996241112606	sign(log2fc)*-log10(p_value)
GNAI1	4.504255251292763	1.93774960313968	3.1314447148577e-05	0.0375140708627848	sign(log2fc)*-log10(p_value)
ANXA8L1	4.483630335937089	2.35810061153882	3.28374681124384e-05	0.0375140708627848	sign(log2fc)*-log10(p_value)
GABBR2	4.429702447156373	2.8974768927314	3.71789870242308e-05	0.0390633924740031	sign(log2fc)*-log10(p_value)
GAGE2A	4.368094519512167	4.03885202126898	4.28455261580608e-05	0.0390633924740031	sign(log2fc)*-log10(p_value)
HLA-DQB1	4.367118500577563	1.95897568565374	4.29419240447451e-05	0.0390633924740031	sign(log2fc)*-log10(p_value)
BPIFB1	4.354904121212715	2.88072318676593	4.41667943210335e-05	0.0390633924740031	sign(log2fc)*-log10(p_value)
TMEM132B	4.311906615153403	2.70519438369562	4.87633332947005e-05	0.0406987755929605	sign(log2fc)*-log10(p_value)
SCARNA7	4.15904636664387	1.01989952874067	6.93351777649911e-05	0.0463666318039153	sign(log2fc)*-log10(p_value)
FAM105A	4.123620793466049	1.88676704372463	7.52279464143052e-05	0.049109519875891	sign(log2fc)*-log10(p_value)
RP3-471C18.2	4.102505576082185	2.51126978723246	7.89758709303881e-05	0.0503572192830089	sign(log2fc)*-log10(p_value)
KCNK15	4.0780626111438	1.70457586457041	8.35482560127787e-05	0.0520619564399629	sign(log2fc)*-log10(p_value)
GRID1	4.022629690810504	4.34119130430593	9.49227494641775e-05	0.0578353765513071	sign(log2fc)*-log10(p_value)
FGB	3.96602973532877	2.5599017692629	0.0001081359910078	0.0606965811981473	sign(log2fc)*-log10(p_value)
