gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
INSIG1	4.55566836300224	1.33301105683592	2.78183672975489e-05	0.210530512865296	sign(log2fc)*-log10(p_value)
IL33	3.6809974084738837	2.53307293496544	0.0002084503321728	0.421434038647359	sign(log2fc)*-log10(p_value)
FADS1	3.5880861010984457	1.62114729185883	0.0002581748295112	0.421434038647359	sign(log2fc)*-log10(p_value)
MVD	3.426495529436065	1.13079153543634	0.0003745454025319	0.421434038647359	sign(log2fc)*-log10(p_value)
CLEC2B	3.4158078774465763	1.52370678730485	0.0003838770268896	0.421434038647359	sign(log2fc)*-log10(p_value)
NCF2	3.33254543494066	0.860681669081777	0.0004650017261563	0.421434038647359	sign(log2fc)*-log10(p_value)
DNAJB9	3.3118851615356775	0.750568620923537	0.0004876574220339	0.421434038647359	sign(log2fc)*-log10(p_value)
HLA-DPA1	3.264462283909063	1.00517894240062	0.0005439233664269	0.421434038647359	sign(log2fc)*-log10(p_value)
LARP6	3.260832141284938	0.77034916152658	0.0005484889198472	0.421434038647359	sign(log2fc)*-log10(p_value)
HMOX1	3.208004645115535	0.891137875502771	0.0006194344497106	0.421434038647359	sign(log2fc)*-log10(p_value)
STARD4	3.2073978655412723	2.78407442394277	0.0006203005046074	0.421434038647359	sign(log2fc)*-log10(p_value)
DHCR7	3.1942016738724965	1.07944150367195	0.0006394378299816	0.421434038647359	sign(log2fc)*-log10(p_value)
FADS2	3.1607793109299145	1.82536011204939	0.0006905906420309	0.421434038647359	sign(log2fc)*-log10(p_value)
SFN	3.154455482515325	0.979461394670078	0.0007007200066963	0.421434038647359	sign(log2fc)*-log10(p_value)
COL9A3	3.1535623684498915	1.06425485451665	0.0007021624998771	0.421434038647359	sign(log2fc)*-log10(p_value)
SLC22A18AS	3.122499396632524	0.836149336591369	0.0007542244436946	0.421434038647359	sign(log2fc)*-log10(p_value)
ERG28	3.090167680121232	0.820091431554613	0.0008125167447098	0.421434038647359	sign(log2fc)*-log10(p_value)
IL24	3.081696526215679	1.06641608726386	0.0008285209105284	0.421434038647359	sign(log2fc)*-log10(p_value)
HLA-DQA2	3.070353314816557	2.54425515481112	0.000850445887134	0.421434038647359	sign(log2fc)*-log10(p_value)
CXCL3	3.0627626140607807	1.70318646100225	0.0008654408406242	0.421434038647359	sign(log2fc)*-log10(p_value)
SCD	3.0488060535816066	1.45468979360769	0.0008937045035175	0.421434038647359	sign(log2fc)*-log10(p_value)
MICA	3.017735624419757	0.694546579472284	0.0009599848418314	0.421434038647359	sign(log2fc)*-log10(p_value)
MT2A	2.9915362115301822	0.845045017775129	0.0010196797354716	0.421434038647359	sign(log2fc)*-log10(p_value)
EBP	2.990413410258109	0.886999653034858	0.0010223193705721	0.421434038647359	sign(log2fc)*-log10(p_value)
TMEM158	2.9856486961397173	0.952832544393047	0.0010335971516995	0.421434038647359	sign(log2fc)*-log10(p_value)
IDI1	2.9195861474113634	0.897485477324421	0.0012034106554763	0.430342111278591	sign(log2fc)*-log10(p_value)
GOLT1A	2.909533710631383	0.736629430095253	0.0012315903840132	0.430342111278591	sign(log2fc)*-log10(p_value)
FADS3	2.9090839281916407	0.686369734856536	0.0012328665565211	0.430342111278591	sign(log2fc)*-log10(p_value)
CBR3	2.9059833857092037	0.672376347333276	0.0012416998089261	0.430342111278591	sign(log2fc)*-log10(p_value)
BBC3	2.8707155464756164	0.668230219285498	0.0013467421523256	0.431598967989904	sign(log2fc)*-log10(p_value)
LPIN1	2.8341622850613235	0.784695516352488	0.0014650003044343	0.431598967989904	sign(log2fc)*-log10(p_value)
FDPS	2.82821454039618	0.920875498735674	0.0014852017750469	0.431598967989904	sign(log2fc)*-log10(p_value)
BEX3	2.8212073557825006	0.788429729473924	0.0015093593319438	0.431598967989904	sign(log2fc)*-log10(p_value)
CD74	2.8055485248459604	0.769023103564231	0.0015647734732689	0.431598967989904	sign(log2fc)*-log10(p_value)
PID1	2.8000930580668952	1.29233337574846	0.0015845536272521	0.431598967989904	sign(log2fc)*-log10(p_value)
C2CD4B	2.7950133594354964	1.01264973740423	0.0016031960736371	0.431598967989904	sign(log2fc)*-log10(p_value)
