dataset	collection	pathway	NES	nom_pvalue	fdr	gene_set_size_in_data	n_leading_edge	leading_edge_genes
crispr	hallmark	HALLMARK_MYC_TARGETS_V2	-1.9038970234017025	0.00012175587203296925	0.0020292645338828206	57	21	RRP12;CDK4;DDX18;HSPD1;GNL3;FARSA;MYC;RRP9;EXOSC5;IPO4;MAP3K6;TMEM97;BYSL;SLC29A2;NOC4L;PLK4;SRM;AIMP2;MCM4;NOP56;WDR43
crispr	hallmark	HALLMARK_MYC_TARGETS_V1	-1.8366395084458575	2.598304929109754e-06	0.0001299152464554877	192	64	SYNCRIP;RFC4;MCM6;PSMD8;SERBP1;KPNA2;PSMB3;CDK4;NDUFAB1;PTGES3;DDX18;XRCC6;HSPD1;NCBP1;XPO1;PSMC4;CCNA2;GNL3;HDDC2;SRSF1;ILF2;SNRPD1;NHP2;PWP1;MYC;HNRNPA1;RRP9;SNRPA1;PSMB2;KPNB1;SNRPA;CCT7;PSMA7;SRM;SSBP1;HNRNPR;AIMP2;TYMS;RSL1D1;RPLP0;NME1;MCM4;CNBP;RNPS1;SSB;DDX21;PPIA;RPS3;NOP56;HNRNPC;CYC1;TCP1;YWHAQ;RPL18;IFRD1;RPS6;RANBP1;PHB2;SRSF3;EIF3J;RRM1;HNRNPA3;PRPF31;TUFM
crispr	hallmark	HALLMARK_E2F_TARGETS	-1.7050659424085965	2.268210893137383e-05	0.0005670527232843458	195	61	SYNCRIP;SPC25;EED;KIF22;MCM6;GINS4;KPNA2;CDK4;XRCC6;XPO1;CDCA3;RPA1;DDX39A;SRSF1;TFRC;DNMT1;MMS22L;PNN;MYBL2;MYC;LUC7L3;IPO7;POLD3;DCLRE1B;TUBB;RPA3;BRCA1;SMC6;PHF5A;TIMELESS;NASP;SPAG5;MCM3;RNASEH2A;PPM1D;TMPO;AURKB;CHEK2;RRM2;PLK4;ILF3;HMGA1;KIF2C;NME1;POLE4;LIG1;CHEK1;MCM4;RAD51AP1;NUP153;TIPIN;NOP56;LMNB1;RAD50;RFC1;RACGAP1;RANBP1;TOP2A;PSIP1;PAICS;ASF1A
crispr	hallmark	HALLMARK_DNA_REPAIR	-1.6481385061846598	0.0002894648459035548	0.003618310573794435	147	54	SUPT4H1;RFC4;CSTF3;BRF2;POLR1C;AAAS;NELFB;SF3A3;POLD4;SRSF6;GPX4;NT5C3A;POLD3;RPA3;ERCC4;SNAPC4;CANT1;MRPL40;RNMT;ERCC1;GTF2H1;RFC5;UMPS;CLP1;EDF1;BCAP31;NME3;TYMS;POLR2K;POLB;NME1;POLR2D;POLE4;LIG1;VPS28;SDCBP;ERCC2;COX17;RAE1;GUK1;POLH;POLA1;ALYREF;NELFE;DDB1;MPG;POLR1D;PNP;SMAD5;TAF10;HPRT1;POLD1;CMPK2;POLR2F
crispr	hallmark	HALLMARK_UV_RESPONSE_DN	1.6062232168685961	0.0012264085973461385	0.008760061409615275	138	36	PTEN;RASA2;ATRN;NRP1;DLG1;GCNT1;ADD3;SFMBT1;KALRN;PRDM2;ABCC1;SCN8A;CAP2;SMAD3;SYNJ2;PTGFR;SDC2;PIAS3;NFKB1;MAP1B;CELF2;IGF1R;PDGFRB;CDKN1B;PLCB4;INSIG1;RXRA;PEX14;SCAF8;GRK5;NR3C1;MGLL;TGFBR3;EFEMP1;LTBP1;SCHIP1
crispr	hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.6032700014803327	0.0005602127075920629	0.0056021270759206284	184	67	MDH2;SDHA;NDUFB2;NDUFAB1;COX7A2;COX6B1;MFN2;NDUFB4;NDUFV1;DLD;COX15;COX11;ATP6V1C1;SDHB;NDUFB7;NDUFA2;UQCRB;GPX4;RHOT1;PHYH;COX7B;ABCB7;LRPPRC;ATP6V0C;NDUFS8;NDUFV2;GRPEL1;UQCRFS1;ACO2;TIMM10;TOMM22;NDUFB5;NDUFS3;NDUFA9;OXA1L;NDUFC2;COX17;PDHB;NDUFB1;PMPCA;ATP6V1E1;NDUFC1;ECHS1;MRPL35;IDH3G;CYC1;UQCRC1;SLC25A12;MRPS12;PHB2;ACADVL;IDH3B;GPI;NDUFA8;MRPS11;ATP6AP1;AFG3L2;FH;OAT;POLR2F;ETFB;UQCR11;SLC25A11;MRPL11;NDUFS7;SLC25A3;IDH2
crispr	hallmark	HALLMARK_APICAL_JUNCTION	1.554292558877852	0.000886477772551334	0.0073873147712611165	191	39	PTEN;NF1;TSC1;THBS3;TIAL1;DLG1;TRO;B4GALT1;MMP9;ADAM9;ICAM4;CD34;VCL;CLDN4;PTPRC;SKAP2;MMP2;TGFBI;NLGN3;CLDN18;PARVA;CRAT;ACTN1;JAM3;LAMB3;NFASC;INSIG1;CD274;ITGA9;KCNH2;RSU1;CERCAM;CLDN11;SDC3;CTNND1;ITGB1;CDH1;ADAM15;AMH
crispr	hallmark	HALLMARK_COAGULATION	1.486887068931039	0.005284401132074598	0.0293577840670811	136	36	PLEK;MMP9;GDA;ADAM9;MASP2;RAPGEF3;DUSP6;GNB2;LRP1;USP11;PEF1;PROS1;F11;ITIH1;PDGFB;PROC;CAPN2;MMP2;CTSV;CFH;CAPN5;C8B;LAMP2;RABIF;APOC3;TIMP1;F13B;ACOX2;FGA;DPP4;PREP;MMP1;CFI;C8A;TFPI2;MMP10
crispr	hallmark	HALLMARK_G2M_CHECKPOINT	-1.4760763723285533	0.002820011227832164	0.017625070173951027	188	46	SYNCRIP;CCNF;HIRA;KIF22;MCM6;CUL4A;TRAIP;KPNA2;CDK4;CDC27;KATNA1;XPO1;CCNA2;E2F4;DDX39A;PRMT5;SRSF1;SNRPD1;MYBL2;MYC;PAFAH1B1;KPNB1;NASP;MCM3;NDC80;DR1;TOP1;PRC1;HSPA8;TMPO;AURKB;MAPK14;E2F3;PLK4;ILF3;HMGA1;CCND1;KIF2C;KIF23;LIG3;MEIS1;ORC5;CHEK1;RPS6KA5;CBX1;TLE3
crispr	hallmark	HALLMARK_KRAS_SIGNALING_DN	1.4394174494167258	0.006865034660485064	0.03432517330242532	193	70	NR6A1;SMPX;KMT2D;MTHFR;CLSTN3;TFF2;C5;TNNI3;TGM1;ITGB1BP2;SKIL;KLHDC8A;MX1;CD207;PTGFR;EDAR;CHRNG;SLC16A7;SNCB;BTG2;FGF22;CACNA1F;EPHA5;IL12B;SPRR3;IDUA;SLC5A5;MYO15A;WNT16;MAST3;LFNG;NR4A2;KCND1;ZBTB16;EFHD1;MSH5;FGF16;CAMK1D;COL2A1;SSTR4;TG;SERPINA10;FGFR3;EDN1;EGF;CELSR2;CD40LG;NPHS1;KCNN1;ATP6V1B1;ARPP21;OXT;SLC6A14;KLK7;CCR8;ADRA2C;IRS4;CPA2;FSHB;ASB7;SGK1;SLC6A3;SCGB1A1;CAPN9;SLC12A3;GDNF;IFI44L;ENTPD7;GAMT;THNSL2
