dataset	collection	pathway	NES	nom_pvalue	fdr	gene_set_size_in_data	n_leading_edge	leading_edge_genes
gse118713	hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY	-2.8818068987343652	1.3583985770190504e-28	6.656153027393347e-27	186	96	GREB1;PDZK1;GFRA1;MUC1;BCL2;HSPB8;KRT13;CXCL12;MICB;EGR3;JAK2;PTGES;LRIG1;MPPED2;FLNB;NPY1R;TTC39A;SIAH2;MYBL1;P2RY2;ITPK1;MYOF;SEMA3B;KRT18;THSD4;CA12;OVOL2;CLIC3;RHOBTB3;ABAT;ARL3;SLC7A2;KRT8;TFF3;STC2;ANXA9;TPD52L1;TFF1;TOB1;NBL1;MAST4;PGR;ZNF185;SULT2B1;UGCG;MYB;PEX11A;NRIP1;OLFM1;ELOVL2;FRK;MED13L;CYP26B1;SLC24A3;RET;KRT19;TMPRSS3;SVIL;SNX24;SLC16A1;TMEM164;AMFR;ASB13;TFAP2C;SFN;DLC1;KCNK5;ADCY1;ALDH3B1;IGFBP4;ELOVL5;KRT15;ABCA3;WFS1;TIPARP;ADCY9;OLFML3;ABHD2;IL17RB;CHPT1;XBP1;RBBP8;MAPT;ELF3;CISH;PDLIM3;CELSR2;PODXL;GLA;SH3BP5;CBFA2T3;IGF1R;REEP1;SLC39A6;SLC7A5;INHBB
gse118713	hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE	-2.6700182522451352	1.950254042859946e-20	4.778122405006868e-19	184	94	PDZK1;SCUBE2;BCL2;ASCL1;HSPB8;KRT13;PCP4;CXCL12;MICB;EGR3;JAK2;PTGES;SERPINA3;FLNB;NPY1R;SIAH2;GPER1;ITPK1;MYOF;SEMA3B;CA12;OVOL2;CLIC3;ARL3;TH;TFF3;PLAC1;ANXA9;TPD52L1;TFF1;TOB1;NBL1;PGR;SULT2B1;CKB;ASS1;IGSF1;MYB;NRIP1;ST6GALNAC2;OLFM1;CAV1;CXCL14;FRK;CYP26B1;SLC24A3;RET;KRT19;TMPRSS3;SLC16A1;RNASEH2A;AMFR;EMP2;TFAP2C;DCXR;SFN;KCNK5;ALDH3B1;CD9;IGFBP4;ELOVL5;ACOX2;TSPAN13;ABCA3;WFS1;IMPA2;ABHD2;IL17RB;CHPT1;XBP1;RBBP8;MAPT;CISH;PDLIM3;CELSR2;SGK1;DUSP2;JAK1;MAPK13;GLA;PLK4;HPRT1;SLC7A5;UNC13B;DLG5;RABEP1;KIF20A;GINS2;SNX10;SLC26A2;XRCC3;TPBG;TOP2A;PRLR
gse118713	hallmark	HALLMARK_TGF_BETA_SIGNALING	2.1799980025854717	6.104285347579374e-07	4.985166367189822e-06	51	23	BMP2;SERPINE1;PMEPA1;BCAR3;FURIN;IFNGR2;SLC20A1;SMAD3;ACVR1;SPTBN1;WWTR1;TGFB1;FNTA;JUNB;ID2;MAP3K7;CTNNB1;ARID4B;BMPR2;HIPK2;APC;SKIL;SMAD6
gse118713	hallmark	HALLMARK_E2F_TARGETS	-2.156077441969795	1.2573444331427776e-10	2.0536625741332033e-09	195	102	CHEK2;ANP32E;STMN1;EZH2;SPC24;RPA3;SHMT1;RNASEH2A;AURKB;SMC4;TCF19;CDC25B;CDK1;POLE;CCP110;CDKN2C;GINS3;TK1;HELLS;CENPM;TP53;CIT;DDX39A;PRIM2;MCM2;ASF1B;CDKN1B;POLA2;DSCC1;ESPL1;DNMT1;PLK4;CDCA3;SMC3;PCNA;KIF22;KPNA2;ASF1A;NUDT21;TIMELESS;STAG1;MCM5;EED;UBE2S;TOP2A;GINS1;SPC25;MKI67;AURKA;TIPIN;CBX5;ATAD2;CDCA8;RAD51AP1;LIG1;CKS2;HMMR;BARD1;SUV39H1;RPA1;CDKN3;MYBL2;WDR90;UNG;RRM2;BIRC5;HMGB2;UBE2T;MLH1;DCTPP1;MXD3;CHEK1;PLK1;RBBP7;POLD3;CTCF;KIF4A;DCLRE1B;CCNB2;PAICS;DIAPH3;LMNB1;NCAPD2;RACGAP1;DUT;ORC6;TMPO;MCM3;PTTG1;RAD51C;MELK;RPA2;MSH2;TACC3;CENPE;DEPDC1;RFC3;ILF3;CDC25A;CDC20;NUP107;BUB1B
gse118713	hallmark	HALLMARK_KRAS_SIGNALING_UP	2.045592574340776	9.632904623367071e-07	6.74303323635695e-06	101	36	MALL;PLEK2;SATB1;SOX9;BMP2;SLPI;ETV4;DUSP6;BTC;MMP9;ETV5;LIF;ITGB2;TRIB2;GLRX;ZNF277;MMD;CROT;F2RL1;GFPT2;CPE;MAP7;IGFBP3;TFPI;ANKH;SPRY2;SCN1B;ANGPTL4;ID2;MMP11;AMMECR1;ACE;SNAP25;TRIB1;BTBD3;EPHB2
gse118713	hallmark	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.0047683872809823	1.7187628708551778e-07	2.003764262913621e-06	159	58	BMP2;FOSL1;SAT1;TSC22D1;TNFAIP8;SERPINE1;F3;BTG3;PMEPA1;DRAM1;EDN1;TNC;ETS2;LIF;NFKBIA;IFNGR2;IER5;TANK;MAFF;MARCKS;F2RL1;AREG;LAMB3;BHLHE40;SMAD3;JAG1;FJX1;GFPT2;PHLDA1;SERPINB8;GEM;PTGER4;PNRC1;MAP2K3;TRIP10;RELB;EFNA1;EGR2;CLCF1;B4GALT1;NR4A2;JUNB;VEGFA;CEBPB;IL18;MXD1;PTPRE;ID2;CD44;PFKFB3;PHLDA2;NFE2L2;TRIB1;ATP2B1;CDKN1A;NAMPT;BTG2;SPHK1
gse118713	hallmark	HALLMARK_COAGULATION	1.9896373920255774	2.2157488910595333e-05	0.00012063521740213014	74	27	ANG;FN1;CAPN2;RAPGEF3;TIMP1;DUSP6;MMP9;SERPINE1;F3;ANXA1;FURIN;CTSH;PROS1;BMP1;MAFF;CTSO;THBD;MMP11;KLF7;FYN;HTRA1;CTSV;GSN;LGMN;A2M;LRP1;GNG12
gse118713	hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.9779876141756056	1.574361448343013e-06	9.642963871100954e-06	116	39	CXCL8;LOX;TPM2;SERPINE2;FN1;CTHRC1;TIMP1;SAT1;SERPINE1;TGFBI;PMEPA1;WNT5A;TNC;VEGFC;ITGAV;MATN3;BMP1;LAMC2;LAMA3;AREG;FSTL1;MGP;PLOD2;DKK1;GEM;IGFBP3;TGFB1;LAMC1;COL1A1;PMP22;ITGA5;MATN2;COL3A1;TNFRSF12A;SNTB1;VEGFA;ID2;ITGB5;CD44
gse118713	hallmark	HALLMARK_G2M_CHECKPOINT	-1.9252830299616253	2.044657411136348e-07	2.003764262913621e-06	187	98	STMN1;EZH2;EFNA5;NDC80;KIF23;KIF11;PBK;AURKB;ATF5;SMC4;CDC25B;CDK1;POLE;CDKN2C;CUL1;SLC38A1;SAP30;FANCC;DDX39A;PRIM2;E2F1;MCM2;CDKN1B;BUB3;POLA2;TFDP1;UBE2C;ESPL1;PLK4;POLQ;E2F2;SLC7A5;RBM14;KIF22;KPNA2;TRAIP;KIF20B;NUMA1;GINS2;RBL1;STAG1;MCM5;UBE2S;TOP2A;CDC7;MKI67;AURKA;TPX2;SMC2;NEK2;TTK;CKS2;HMMR;BARD1;SUV39H1;CDKN3;MYBL2;BIRC5;PAFAH1B1;CCND1;CHEK1;CUL4A;RAD23B;PLK1;NUSAP1;CDC6;CTCF;KIF4A;CCNB2;LMNB1;HMGN2;KIF15;PRC1;CHAF1A;STIL;RACGAP1;CCNF;ORC6;TMPO;TNPO2;MCM3;PTTG1;RPA2;TACC3;HOXC10;CENPE;CCNA2;ILF3;CDC25A;PML;CDC20;INCENP;CENPF;RAD54L;FBXO5;CHMP1A;ODF2;MAD2L1
gse118713	hallmark	HALLMARK_INFLAMMATORY_RESPONSE	1.8649064512731608	5.826090920382667e-05	0.0002854784550987507	97	29	CXCL8;LPAR1;TIMP1;SERPINE1;F3;EDN1;LIF;NFKBIA;IFNGR2;AHR;LYN;SELL;TNFSF15;PTGER4;SGMS2;ITGA5;SCN1B;SRI;IL18;MXD1;PTPRE;ACVR2A;ATP2B1;CDKN1A;NAMPT;BTG2;IL4R;SPHK1;RNF144B
gse118713	hallmark	HALLMARK_ANGIOGENESIS	1.82399570238897	0.0016720651383983751	0.00630239936780926	22	10	SLCO2A1;TIMP1;TNFRSF21;ITGAV;FSTL1;JAG1;COL3A1;VEGFA;THBD;VTN
gse118713	hallmark	HALLMARK_COMPLEMENT	1.7363928925490746	0.00015635964002162965	0.0006965111237327139	125	33	DOCK4;ANG;CP;FN1;TIMP1;DUSP6;SERPINE1;F3;CASP4;MMP13;F5;S100A9;CTSH;LYN;MAFF;CTSO;LGALS3;XPNPEP1;CTSC;CTSL;CEBPB;GPD2;ATOX1;DOCK9;CASP3;PRKCD;KCNIP3;FYN;ME1;CTSV;LGMN;SRC;LRP1
gse118713	hallmark	HALLMARK_UV_RESPONSE_DN	1.6285191560279795	0.0010954899841128423	0.004473250768460773	117	30	PPARG;LPAR1;ANXA2;SERPINE1;IGFBP5;RND3;F3;GCNT1;TGFBR2;ADD3;MAP1B;BHLHE40;ATXN1;SMAD3;TFPI;KCNMA1;LAMC1;COL1A1;RUNX1;PMP22;COL3A1;PIK3R3;SRI;SYNE1;ACVR2A;AMPH;FYN;ATP2B1;ERBB2;PRKCA
gse118713	hallmark	HALLMARK_IL2_STAT5_SIGNALING	1.521395229677348	0.0029992441505836687	0.01049735452704284	136	41	SPRY4;DHRS3;BMP2;ETV4;TNFRSF21;SOCS2;FURIN;LIF;AHR;CCNE1;ITGAV;SELL;MAFF;SH3BGRL2;BHLHE40;GABARAPL1;PHLDA1;TTC39B;ALCAM;IFNGR1;NDRG1;GLIPR2;RRAGD;ODC1;CKAP4;MYO1E;PRNP;MXD1;ARL4A;AGER;PNP;BATF;CASP3;CD44;ENPP1;COCH;PRKCH;NOP2;BMPR2;IL4R;SWAP70
gse118713	hallmark	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1.4941490151627583	0.04742286849256489	0.09682168983898665	43	20	NQO1;GLRX;MBP;TXNRD1;SRXN1;STK25;G6PD;JUNB;TXNRD2;PRNP;ATOX1;PRDX6;HMOX2;GCLC;EGLN2;PDLIM1;ABCC1;GSR;FTL;MSRA
gse118713	hallmark	HALLMARK_APOPTOSIS	1.486887535333331	0.007433927276687145	0.024284162437178007	126	34	SATB1;BMP2;TIMP1;SAT1;PAK1;F2R;BTG3;CASP4;ANXA1;BMF;LEF1;NEDD9;SLC20A1;BID;BIK;DDIT3;LGALS3;BCL10;CCNA1;ANKH;IFNGR1;TNFRSF12A;IL18;CASP3;CD44;CTNNB1;SC5D;PSEN2;DNAJC3;GSN;CDKN1A;CASP8;BTG2;ERBB2
gse118713	hallmark	HALLMARK_ANDROGEN_RESPONSE	1.4670086174532797	0.028359269458230207	0.06948021017266401	88	29	SAT1;TSC22D1;TNFAIP8;ABCC4;PMEPA1;ITGAV;ELL2;MAF;ACSL3;MAP7;RAB4A;CDK6;CDC14B;DBI;ANKH;NDRG1;B4GALT1;RPS6KA3;UAP1;HMGCS1;TPD52;UBE2J1;MERTK;SRP19;HOMER2;STK39;ACTN1;XRCC5;ALDH1A3
gse118713	hallmark	HALLMARK_APICAL_SURFACE	-1.4523705111248948	0.06479481641468683	0.1175905927525798	25	5	GATA3;AFAP1L2;GSTM3;RTN4RL1;EFNA5
gse118713	hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE	-1.416361288469055	0.022285507742613637	0.05747315154674043	78	17	IRF7;IFI30;CD47;GBP2;TXNIP;BST2;UBE2L6;IFI35;PSMB9;IFIH1;GMPR;IFITM3;LGALS3BP;HERC6;OASL;IFITM2;ISG15
gse118713	hallmark	HALLMARK_MTORC1_SIGNALING	1.4013942595405522	0.008725243088310543	0.026721056957951038	188	49	TUBA4A;IGFBP5;EGLN3;SLC6A6;ITGB2;GLRX;ADD3;IFRD1;BHLHE40;PITPNB;SLC7A11;ACSL3;SRD5A1;TES;DDIT3;PLOD2;TXNRD1;CORO1A;IDH1;MAP2K3;G6PD;CTSC;PIK3R3;HSPE1;STARD4;DDIT4;PNP;PDK1;HSP90B1;HSPA4;LDHA;HMGCS1;SC5D;ME1;ASNS;MLLT11;CDKN1A;MTHFD2L;ACTR3;CCNG1;NAMPT;BTG2;LGMN;ATP6V1D;PGM1;GCLC;HSPD1;FADS2;RAB1A
gse118713	hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	-1.3976459346361438	0.012447555942826146	0.03390543130960551	141	32	IRF7;JAK2;SECTM1;IFI30;ST8SIA4;SOCS1;TNFAIP2;TXNIP;BST2;SOCS3;UBE2L6;IFI35;SSPN;BTG1;OAS3;CD274;C1R;SOD2;EIF4E3;PSMB9;IFIH1;HLA-DRB1;PFKP;IFITM3;LGALS3BP;ISOC1;HERC6;OASL;SAMHD1;IFITM2;ISG15;NOD1
gse118713	hallmark	HALLMARK_SPERMATOGENESIS	-1.3947652393307755	0.045877940556527746	0.09682168983898665	68	26	GSTM3;NPY5R;EZH2;YBX2;CNIH2;CDK1;MLLT10;STRBP;DMC1;PEBP1;ALOX15;GFI1;AURKA;NEK2;TTK;CDKN3;PSMG1;LPIN1;HSPA2;PARP2;RFC4;CCNB2;TOPBP1;MLF1;CCT6B;PHF7
gse118713	hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING	1.392638099330692	0.06272401433691756	0.1175905927525798	49	18	PDGFC;TNFRSF21;IFNGR2;MYD88;TGFB1;IL13RA1;IFNGR1;IRF9;TNFRSF12A;CD44;IL17RA;IL4R;A2M;TNFRSF1A;OSMR;IL10RB;STAT3;IL6ST
gse118713	hallmark	HALLMARK_P53_PATHWAY	1.3735082397578076	0.01245505639944692	0.03390543130960551	176	44	FGF13;BMP2;GPX2;SAT1;TSC22D1;UPP1;F2R;DRAM1;LIF;IER5;CDKN2B;KIF13B;TSPYL2;SLC7A11;PERP;DDIT3;CYFIP2;STEAP3;ZFP36L1;S100A10;TGFB1;RAP2B;STOM;NDRG1;PLK3;CDKN2A;FBXW7;CSRNP2;DDIT4;MXD1;PTPRE;EPS8L2;GM2A;CDKN1A;ANKRA2;CCNG1;BTG2;MXD4;SPHK1;LDHB;ABHD4;RCHY1;GADD45A;TRAF4
gse118713	hallmark	HALLMARK_ALLOGRAFT_REJECTION	1.342438128802658	0.05374592833876222	0.10534201954397394	88	23	TIMP1;MMP9;F2R;GCNT1;LIF;IFNGR2;ITGB2;EGFR;LYN;BCL10;TGFB1;IFNGR1;CDKN2A;IL18;MAP3K7;ELF4;ACVR2A;FLNA;TPD52;IKBKB;UBE2D1;IL4R;IL11
gse118713	hallmark	HALLMARK_APICAL_JUNCTION	1.3370656215865706	0.04472843450479233	0.09682168983898665	129	30	MMP9;TGFBI;EPB41L2;SIRPA;AMIGO2;SPEG;EGFR;BMP1;LAMC2;LAMA3;PCDH1;LAMB3;LDLRAP1;ITGA3;VASP;NF2;PIK3R3;SHC1;B4GALT1;SORBS3;ZYX;CNN2;ITGA10;SDC3;CLDN15;CDK8;SRC;ACTN1;ARPC2;LIMA1
gse118713	hallmark	HALLMARK_GLYCOLYSIS	1.3218542815825867	0.03924646781789639	0.09157509157509158	177	44	ANG;SOX9;PYGL;TGFBI;ME2;HDLBP;EGLN3;HS6ST2;GLRX;EGFR;BIK;MXI1;GPC4;PLOD2;CHPF;IGFBP3;IL13RA1;IDH1;HOMER1;RRAGD;G6PD;B3GNT3;B4GALT1;VEGFA;DDIT4;ANGPTL4;LDHA;GNPDA1;CD44;SRD5A3;QSOX1;SDC3;COG2;ME1;SLC25A13;EXT1;FUT8;RPE;MERTK;GYS1;MPI;PKM;GCLC;PYGB
gse118713	hallmark	HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.305973566006977	0.10638297872340426	0.16815374056280027	35	9	HEY1;WNT6;LEF1;JAG1;AXIN2;DKK1;CTNNB1;DLL1;PSEN2
gse118713	hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.2888847859799364	0.1018363939899833	0.16633277685030606	69	16	PPARG;FABP5;ANTXR2;ERRFI1;JAG1;LGALS3;TP53INP1;GLDC;PNRC1;ALCAM;TNFRSF12A;ACSS2;STARD4;CTNNB1;HMGCS1;SC5D
gse118713	hallmark	HALLMARK_NOTCH_SIGNALING	1.2867240110378106	0.16087751371115175	0.238878732480195	28	8	WNT5A;DTX4;JAG1;LFNG;DLL1;PSEN2;PRKCA;DTX2
gse118713	hallmark	HALLMARK_HEME_METABOLISM	1.2681667590709091	0.07301587301587302	0.1277777777777778	153	59	SPTB;TSPAN5;SDCBP;ELL2;LMO2;MPP1;DMTN;SEC14L1;SLC7A11;MXI1;BACH1;TNS1;MAP2K3;CAST;MFHAS1;RAP1GAP;HTRA2;KLF3;ASNS;SLC22A4;BTG2;DCUN1D1;CIR1;NARF;FBXO7;GCLC;RNF19A;TMCC2;LRP10;CTSB;NR3C1;XPO7;KHNYN;YPEL5;KDM7A;NFE2;FBXO34;SLC6A8;RIOK3;ATG4A;RBM5;P4HA2;MARK3;SMOX;SLC11A2;CCND3;TRAK2;MBOAT2;TMEM9B;BLVRA;SLC25A37;UCP2;TFRC;FBXO9;RNF123;MOSPD1;VEZF1;TOP1;BNIP3L
