dataset	collection	pathway	NES	nom_pvalue	fdr	gene_set_size_in_data	n_leading_edge	leading_edge_genes
gse245601_track_b	hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2.8081294506379435	3.3684336303125277e-15	1.684216815156264e-13	65	36	MVD;STARD4;DHCR7;FADS2;SCD;EBP;IDI1;FDPS;LDLR;LSS;NSDHL;MVK;TRIB3;SQLE;ACAT2;FDFT1;SREBF2;PLAUR;ACSS2;HSD17B7;TM7SF2;FASN;PCYT2;TMEM97;HMGCR;ETHE1;ANXA5;HMGCS1;PMVK;CD9;FBXO6;SC5D;LGMN;MAL2;ECH1;PDK3
gse245601_track_b	hallmark	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	2.2346769052894064	6.111408310141033e-07	5.09284025845086e-06	46	26	GPX3;GLRX;FTL;HMOX2;PRDX6;GPX4;SELENOS;NDUFA6;PRNP;MSRA;LAMTOR5;JUNB;SOD2;PRDX4;SOD1;CDKN2D;G6PD;PRDX1;STK25;PDLIM1;GLRX2;CAT;MGST1;PRDX2;ATOX1;TXN
gse245601_track_b	hallmark	HALLMARK_MTORC1_SIGNALING	2.199551250639592	4.434519923805403e-11	1.1086299809513508e-09	189	60	INSIG1;FADS1;STARD4;DHCR7;FADS2;SCD;EBP;IDI1;LDLR;DDIT3;TRIB3;SQLE;DDIT4;SLC6A6;RDH11;GLRX;NUPR1;SERP1;TM7SF2;SDF2L1;DHCR24;SHMT2;TMEM97;HMGCR;SLC7A11;CDKN1A;GOT1;HMGCS1;IDH1;SSR1;HPRT1;STC1;SLC2A1;CD9;UBE2D3;TUBG1;ERO1A;FKBP2;SC5D;PNP;LGMN;EEF1E1;SQSTM1;YKT6;ATP6V1D;CORO1A;QDPR;EDEM1;MLLT11;CTSC;PGM1;GLA;RIT1;G6PD;NFKBIB;SRD5A1;SLC7A5;SLC1A4;PRDX1;GAPDH
gse245601_track_b	hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.00449662041103	5.1289332491684974e-08	6.411166561460622e-07	160	46	PRRX1;CXCL1;CTHRC1;TIMP1;ECM1;SLC6A8;GLIPR1;BASP1;FSTL3;LGALS1;PLAUR;TGFB1;EMP3;PDLIM4;TIMP3;PMP22;IL6;ENO2;GEM;NNMT;SAT1;MMP1;CXCL8;CAPG;MMP2;MMP3;PCOLCE;FGF2;PRSS2;SGCB;MMP14;CD59;COL4A2;ITGA5;VIM;TFPI2;CD44;COL6A2;DAB2;ID2;PPIB;COL16A1;VEGFC;DCN;SERPINE2;MYLK
gse245601_track_b	hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.957253635504348	1.6396775212652372e-07	1.6396775212652372e-06	199	114	MRPS11;CYB5R3;SLC25A11;ISCA1;ATP5PO;HTRA2;IDH1;GPX4;ACAA1;HSD17B10;MRPL34;BAX;ATP6V1F;POLR2F;NDUFA6;SURF1;MRPS15;COX7A2L;ECI1;MGST3;CYCS;ATP6V1G1;ISCU;NDUFS7;UQCRFS1;SLC25A4;ECH1;NDUFC2;NDUFB8;NDUFV1;NDUFA7;FXN;NDUFA8;ATP6V1D;COX5A;ATP6V0E1;ATP6AP1;MRPS12;ACO2;TIMM13;ETFB;MPC1;NDUFB6;NDUFA2;IDH3G;CYC1;ATP5MC3;NDUFS8;NDUFAB1;ATP5F1D;NDUFB7;ATP6V0B;SLC25A3;ATP6V1E1;TIMM9;TOMM22;DECR1;ATP5MC2;ATP5PD;MRPL35;UQCRH;HCCS;ATP5MF;GRPEL1;PHB2;COX4I1;COX6B1;COX6A1;TIMM10;MDH2;SDHD;NDUFA9;TIMM17A;COX8A;NDUFC1;NDUFV2;UQCR11;SLC25A5;COX5B;MRPL15;SDHB;MRPL11;COX7A2;NDUFB2;NDUFS6;COX17;SDHC;NDUFA5;CYB5A;NDUFA1;ATP5MC1;MDH1;MRPS30;ATP5PF;UQCR10;ATP5MG;COX7B;NDUFA4;SLC25A6;UQCRB;TIMM8B;ATP5F1C;NDUFB5;NDUFS4;COX11;NDUFB4;UQCRC1;SUCLA2;VDAC2;TIMM50;OXA1L;VDAC3;COX7C;ACADVL
gse245601_track_b	hallmark	HALLMARK_COAGULATION	1.9520701463608943	3.286753407854726e-05	9.267752412883443e-05	83	29	C3;CFD;TIMP1;MMP7;DUSP14;TIMP3;MMP1;MMP2;HPN;CSRP1;MMP3;SERPING1;MAFF;PEF1;RABIF;CD9;MMP14;ANG;ISCU;CASP9;S100A1;LGMN;SERPINA1;MMP11;MMP10;TFPI2;SH2B2;RAPGEF3;MSRB2
gse245601_track_b	hallmark	HALLMARK_MITOTIC_SPINDLE	-1.9476115516363073	3.382183390994971e-08	5.636972318324951e-07	192	59	LRPPRC;VCL;PCNT;CENPF;HOOK3;ALMS1;ECT2;ARHGEF12;RASA1;NET1;FGD6;KNTC1;TUBGCP5;DLG1;CKAP5;SOS1;KIFAP3;LMNB1;CD2AP;KIF23;FARP1;RAB3GAP1;CENPJ;SORBS2;PALLD;NIN;TIAM1;CLIP1;KIF20B;RICTOR;BUB1;ARFGEF1;TUBGCP2;FBXO5;APC;STK38L;NUMA1;OPHN1;NF1;LATS1;SMC4;TPX2;INCENP;AURKA;PDLIM5;SMC1A;TRIO;CEP250;SPTAN1;RACGAP1;CEP192;ITSN1;BCL2L11;MYO1E;WASF1;TLK1;KIF2C;RABGAP1;MYH9
gse245601_track_b	hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.8882673337344915	1.9627037550412014e-06	1.401931253600858e-05	165	61	MT2A;CD74;UPP1;IFIT2;CCL5;SLAMF7;HLA-DQA1;HLA-DRB1;IFI35;IRF7;RBCK1;GCH1;IL6;CASP4;ISG20;CDKN1A;OASL;BTG1;BPGM;SERPING1;ISG15;SOCS3;UBE2L6;PSMB9;CCL2;ARID5B;PNP;OAS3;CXCL11;IL15RA;IFNAR2;PSMA2;LYSMD2;SOD2;PSMB2;B2M;IFI27;CD40;CXCL10;MX2;NFKBIA;USP18;HLA-B;BST2;HLA-A;PSME2;TNFAIP6;PTPN6;RSAD2;VAMP8;ICAM1;MX1;HELZ2;LY6E;IFIT3;PSME1;HLA-DMA;C1R;IFITM3;MVP;SRI
gse245601_track_b	hallmark	HALLMARK_XENOBIOTIC_METABOLISM	1.870080954981745	4.480032679827929e-06	2.4889070443488494e-05	143	49	HMOX1;MT2A;UPP1;SLC6A6;TDO2;DDT;SSR3;GCH1;SHMT2;TMEM97;ARPP19;GSTO1;SLC35B1;DDAH2;ARG2;CYP27A1;DHRS7;IDH1;DCXR;NINJ1;TPST1;HES6;HPRT1;EPHA2;ALDH2;ACP1;APOE;ECH1;ID2;PINK1;PYCR1;ACO2;DHRS1;PMM1;BLVRB;EPHX1;TNFRSF1A;ASL;CDA;NFS1;SPINT2;PTS;CBR1;SERTAD1;PGRMC1;CAT;CYFIP2;SLC12A4;BCAR1
gse245601_track_b	hallmark	HALLMARK_MYOGENESIS	1.8388173274045418	1.563234974169238e-05	6.222469265936261e-05	129	49	SCD;LPIN1;FDPS;GPX3;CFD;CRYAB;SLC6A8;SOD3;FABP3;TGFB1;IGFBP7;SPHK1;CDKN1A;OCEL1;GABARAPL2;MAPK12;AK1;FGF2;HDAC5;FKBP1B;PDLIM7;TNNT1;PRNP;COL4A2;CKB;FST;COL6A2;FXYD1;KIFC3;KCNH2;ATP6AP1;RIT1;PSEN2;MYLK;ENO3;HBEGF;TPM2;MYL6B;TPD52L1;MB;SORBS3;SMTN;MYO1C;SH3BGR;MEF2D;CHRNB1;CNN3;MYBPH;PICK1
