collection	pathway	resistance_consensus_class	resistance_median_NES	resistance_datasets_FDR05	gse245601_NES	gse245601_fdr	crispr_NES	crispr_fdr	candidates_connected	convergence_category
go_bp	GOBP_RESPONSE_TO_INSULIN	SINGLE_DATASET	1.2678782114523452	1	1.5185644328461367	0.0106094120281716	0.969032003717364	0.7980233503780831		ACUTE_RESPONSE
reactome	REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	SINGLE_DATASET	-1.1293146330582502	1	-1.7240366644813867	0.0257847701914771	-1.0654834558414628	0.5608887622845748		ACUTE_RESPONSE
go_bp	GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	SINGLE_DATASET	1.2672525084191173	1	1.5718755008228469	0.0314130145810689	0.9322242604874444	0.8444161021150033		ACUTE_RESPONSE
go_bp	GOBP_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	SINGLE_DATASET	1.1271428393945628	1	1.8933767271627455	3.3989460533955344e-08	1.079246891646508	0.6322897444522337		ACUTE_RESPONSE
go_bp	GOBP_EPITHELIAL_CELL_DEVELOPMENT	SINGLE_DATASET	1.2495807045326492	1	-1.5331739129451076	0.0224717301159287	1.1444999051068614	0.5784691746467164	VEZF1	ACUTE_RESPONSE
hallmark	HALLMARK_MTORC1_SIGNALING	SINGLE_DATASET	1.057168960502049	1	2.4968828566808186	1.1289786557097172e-16	-1.3235058913443	0.052434461564466		ACUTE_RESPONSE
go_bp	GOBP_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS	SINGLE_DATASET	1.2521073837296433	1	-1.7513972292994875	0.0314130145810689	1.0526975724461158	0.7041496240674322		ACUTE_RESPONSE
go_bp	GOBP_GLYCOSYLATION	SINGLE_DATASET	1.01004917124273	1	1.586856556514859	0.0087463707988886	1.2173057810624917	0.4516200498476876		ACUTE_RESPONSE
go_bp	GOBP_PROTEIN_MATURATION	SINGLE_DATASET	1.2011134221979596	1	1.3617107189974744	0.0486709900981264				ACUTE_RESPONSE
go_bp	GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY	SINGLE_DATASET	-0.9974449657469704	1	-1.797752626781682	0.0289914592884026	-0.7399233239068701	0.9156258765379688		ACUTE_RESPONSE
go_bp	GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	SINGLE_DATASET	0.9257342709196305	1	2.369980465399732	1.3360373829825504e-14	0.9331626868999552	0.8450714487021419		ACUTE_RESPONSE
go_bp	GOBP_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	SINGLE_DATASET	1.3612548189175435	1	2.495874989310946	1.959013947714237e-07	1.1628228172184376	0.626617297750454		ACUTE_RESPONSE
go_bp	GOBP_NEGATIVE_REGULATION_OF_GROWTH	SINGLE_DATASET	1.0936380505743544	1	1.5892685663744388	0.0114538518701158	1.1855135299913215	0.505021066630423	CITED2	ACUTE_RESPONSE
go_bp	GOBP_PROTEIN_N_LINKED_GLYCOSYLATION	SINGLE_DATASET	1.0761686706830482	1	2.2107075561985385	2.272757340152372e-05	-1.204018848300614	0.5825097574574853		ACUTE_RESPONSE
go_bp	GOBP_STEROID_METABOLIC_PROCESS	SINGLE_DATASET	1.197283079288676	1	1.7678839280605692	0.0002372415645003	1.1670338369193602	0.5019048221112415		ACUTE_RESPONSE
go_bp	GOBP_STEROL_METABOLIC_PROCESS	SINGLE_DATASET	1.3408097915304449	1	2.3150356661365272	3.4737106421917874e-08	1.0193045320084744	0.7460371920675221		ACUTE_RESPONSE
go_bp	GOBP_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	SINGLE_DATASET	1.4611347087377375	1	2.334653026628296	3.999917204975871e-06	-0.967801599230684	0.7897336561743341		ACUTE_RESPONSE
go_bp	GOBP_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	SINGLE_DATASET	1.344891166395408	1	2.061485810991248	0.0012194837447685	1.0836325033303502	0.6958762886597937		ACUTE_RESPONSE
reactome	REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	SINGLE_DATASET	-1.3385072353029397	1	-1.6913136919862986	0.0386768225100734	-1.2751463414630255	0.3600178779827676		ACUTE_RESPONSE
go_bp	GOBP_REGULATION_OF_AUTOPHAGY	SINGLE_DATASET	1.155320410589018	1	2.022300045401657	2.9351712047468556e-09	0.9976232515141872	0.7817913964468777		ACUTE_RESPONSE
hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	SINGLE_DATASET	1.2937816300439298	1	2.857729195847876	1.8458151564213733e-18	0.8367136183349456	0.8156606851549755		ACUTE_RESPONSE
go_bp	GOBP_SARCOMERE_ORGANIZATION	SINGLE_DATASET	1.129440894937687	1	-1.7632539503258342	0.0335109352723617	0.6871018286637764	0.9760692792663708		ACUTE_RESPONSE
go_bp	GOBP_PHOSPHOLIPID_METABOLIC_PROCESS	SINGLE_DATASET	0.9882833520466114	1	1.535263947415726	0.0024231477690096	1.1521496305465737	0.4889128728414442		ACUTE_RESPONSE
