gene	source	n_strong_consensus_pathways	example_pathways	crispr_effect	crispr_p	crispr_fdr	crispr_direction
CTDNEP1	resistance_consensus_leading_edge	1	reactome:REACTOME_M_PHASE	-1.3929700500469568	9.053999047143436e-05	0.0691834175190324	nonsignificant_sensitising_direction
CITED2	both	49	go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	-1.4953555271062804	0.0001957008133862	0.109955077591718	nonsignificant_sensitising_direction
SYNCRIP	resistance_consensus_leading_edge	2	hallmark:HALLMARK_E2F_TARGETS;hallmark:HALLMARK_G2M_CHECKPOINT	-1.7275353891230507	0.0002872480766746	0.1371825002178894	nonsignificant_sensitising_direction
DDX19A	resistance_consensus_leading_edge	1	go_bp:GOBP_POSITIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	-1.336013107159161	0.0005126584187986	0.1897587915192537	nonsignificant_sensitising_direction
SPC25	resistance_consensus_leading_edge	15	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	-1.093755952878943	0.000906486764125	0.2372139267819376	nonsignificant_sensitising_direction
EEF1A1	resistance_consensus_leading_edge	1	go_bp:GOBP_REGULATION_OF_KINASE_ACTIVITY	-1.3266595024358976	0.0010042231344504	0.2459445453513707	nonsignificant_sensitising_direction
BPTF	resistance_consensus_leading_edge	1	go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	-1.1419164553715984	0.0011161331063387	0.2584478618132996	nonsignificant_sensitising_direction
PCGF2	both	8	go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS;go_bp:GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT;go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	-1.3158128561668043	0.0011869485698961	0.2636544015200702	nonsignificant_sensitising_direction
MAP2K3	resistance_consensus_leading_edge	13	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS;go_bp:GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION;go_bp:GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	-0.9260476403501904	0.0012311725895075	0.2703343675558943	nonsignificant_sensitising_direction
CCNF	resistance_consensus_leading_edge	1	hallmark:HALLMARK_G2M_CHECKPOINT	-1.1042841405037738	0.0012470038557151	0.2706990301787155	nonsignificant_sensitising_direction
NUF2	resistance_consensus_leading_edge	14	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	-1.2785919975828088	0.0016171903550972	0.294220831937354	nonsignificant_sensitising_direction
ZBTB7A	resistance_consensus_leading_edge	11	go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_FAT_CELL_DIFFERENTIATION;go_bp:GOBP_MYELOID_CELL_DIFFERENTIATION;go_bp:GOBP_NOTCH_SIGNALING_PATHWAY	-1.355449389102393	0.0015448833001219	0.294220831937354	nonsignificant_sensitising_direction
NCKAP1	resistance_consensus_leading_edge	4	go_bp:GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS;go_bp:GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS;go_bp:GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION;reactome:REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	-1.4623843697399233	0.0017841875209116	0.3070570649727538	nonsignificant_sensitising_direction
ABHD15	resistance_consensus_leading_edge	1	go_bp:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	-0.9857628346609388	0.0018332432711736	0.3126825554395521	nonsignificant_sensitising_direction
P4HB	resistance_consensus_leading_edge	9	go_bp:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_PROTEIN_PROCESSING;go_bp:GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION	-1.1367777166810624	0.0018599363135979	0.3144279946784177	nonsignificant_sensitising_direction
EED	resistance_consensus_leading_edge	1	hallmark:HALLMARK_E2F_TARGETS	-1.0370945371664178	0.0020009620775376	0.322224623243472	nonsignificant_sensitising_direction
HIRA	resistance_consensus_leading_edge	5	go_bp:GOBP_EMBRYONIC_MORPHOGENESIS;go_bp:GOBP_GASTRULATION;go_bp:GOBP_MUSCLE_CELL_DIFFERENTIATION;go_bp:GOBP_OSSIFICATION;go_bp:GOBP_OSTEOBLAST_DIFFERENTIATION	-0.8233176899115389	0.0024267029382949	0.3500206105826951	nonsignificant_sensitising_direction
COL4A4	resistance_consensus_leading_edge	9	go_bp:GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION;go_bp:GOBP_NEPHRON_DEVELOPMENT;go_bp:GOBP_RENAL_SYSTEM_DEVELOPMENT;reactome:REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX;reactome:REACTOME_ECM_PROTEOGLYCANS	-1.1248410596527323	0.0026797357063829	0.373434139138512	nonsignificant_sensitising_direction
YWHAH	resistance_consensus_leading_edge	1	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS	-1.0855189717163505	0.002703788044011	0.373434139138512	nonsignificant_sensitising_direction
