gene	relationship_to_candidate	network_role	CRISPR_support	RNA_resistance_support	human_support	pathway	reason_for_interest
ACVR1	resistance_pathway_driver_not_candidate_connected	peripheral_connected_node	nonsignificant_sensitising_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	leading-edge in 56 STRONG_CONSENSUS resistance pathways
ASH1L	direct_network_neighbor_of_USP34	peripheral_connected_node	nonsignificant_tolerance_direction	no_significant_resistance_dataset	False		direct curated network connection to USP34
BMP7	resistance_pathway_driver_not_candidate_connected	peripheral_connected_node	nonsignificant_sensitising_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	leading-edge in 88 STRONG_CONSENSUS resistance pathways
CITED2	candidate_itself	candidate	nonsignificant_sensitising_direction	consistent_up_(1/3_significant)	True	go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	frozen therapeutic shortlist candidate; leading-edge in 49 STRONG_CONSENSUS resistance pathways; high network betweenness (top decile) -- potential bridge between modules
COL1A1	direct_network_neighbor_of_CITED2	peripheral_connected_node	nonsignificant_sensitising_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BODY_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	direct curated network connection to CITED2; leading-edge in 42 STRONG_CONSENSUS resistance pathways
CREBBP	direct_network_neighbor_of_CITED2	peripheral_connected_node	nonsignificant_sensitising_direction	no_significant_resistance_dataset	False		direct curated network connection to CITED2
CTNNB1	resistance_pathway_driver_not_candidate_connected	bridge_gene_high_betweenness	nonsignificant_sensitising_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_FATE_COMMITMENT	leading-edge in 93 STRONG_CONSENSUS resistance pathways; high network betweenness (top decile) -- potential bridge between modules
DMTN	direct_network_neighbor_of_VEZF1	peripheral_connected_node	nonsignificant_sensitising_direction	consistent_up_(2/3_significant)	True	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_HEMOSTASIS	direct curated network connection to VEZF1; leading-edge in 23 STRONG_CONSENSUS resistance pathways
EML5	candidate_itself	candidate	nonsignificant_sensitising_direction	consistent_up_(2/3_significant)	True		frozen therapeutic shortlist candidate
EP300	direct_network_neighbor_of_CITED2	bridge_gene_high_betweenness	nonsignificant_sensitising_direction	consistent_up_(1/3_significant)	True	go_bp:GOBP_BODY_MORPHOGENESIS;go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_FACE_MORPHOGENESIS;go_bp:GOBP_FAT_CELL_DIFFERENTIATION	direct curated network connection to CITED2; leading-edge in 17 STRONG_CONSENSUS resistance pathways; high network betweenness (top decile) -- potential bridge between modules
