gene	leading_edge_dataset_count	max_same_pathway_dataset_count	leading_edge_datasets	pathway_count	resistance_direction	example_pathways	crispr_effect	crispr_p	crispr_fdr	crispr_direction
WNT5A	3	3	gse111151,gse118713,gse240112	111	consistently_up_in_resistance_pathways	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXIS_ELONGATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT;go_bp:GOBP_CARDIAC_CHAMBER_MORPHOGENESIS;go_bp:GOBP_CARDIAC_SEPTUM_DEVELOPMENT;go_bp:GOBP_CARDIAC_SEPTUM_MORPHOGENESIS	0.0178990186557443	0.9661155205940974	0.9974116242487912	nonsignificant_tolerance_direction
CTNNB1	3	3	gse111151,gse118713,gse240112	93	consistently_up_in_resistance_pathways	go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_CHONDROCYTE_DIFFERENTIATION;go_bp:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	-0.7079105508147325	0.0356046547032704	0.6338823101552432	nonsignificant_sensitising_direction
SMAD3	3	3	gse111151,gse118713,gse240112	93	consistently_up_in_resistance_pathways	go_bp:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_CHONDROCYTE_DIFFERENTIATION;go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS	0.8122212460926619	0.0524387901945676	0.6847632537957313	nonsignificant_tolerance_direction
VEGFA	3	2	gse111151,gse118713,gse240112	89	consistently_up_in_resistance_pathways	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CARDIOCYTE_DIFFERENTIATION;go_bp:GOBP_CELL_CHEMOTAXIS;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION	-0.1126058433843297	0.7272656433694846	0.9566141051410708	nonsignificant_sensitising_direction
BMP7	3	3	gse111151,gse118713,gse240112	88	consistently_up_in_resistance_pathways	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT;go_bp:GOBP_CARDIAC_CHAMBER_MORPHOGENESIS;go_bp:GOBP_CARDIAC_SEPTUM_DEVELOPMENT;go_bp:GOBP_CARDIAC_SEPTUM_MORPHOGENESIS;go_bp:GOBP_CARDIOCYTE_DIFFERENTIATION	-0.5935923019690099	0.2791599513598668	0.8242337791078108	nonsignificant_sensitising_direction
WNT4	3	3	gse111151,gse118713,gse240112	68	consistently_up_in_resistance_pathways	go_bp:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION;go_bp:GOBP_ALCOHOL_METABOLIC_PROCESS;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION	-0.0905840239912434	0.7674855492502107	0.9631086420967102	nonsignificant_sensitising_direction
HIF1A	3	3	gse111151,gse118713,gse240112	67	consistently_up_in_resistance_pathways	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT;go_bp:GOBP_CARDIAC_CHAMBER_MORPHOGENESIS;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY;go_bp:GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	0.0887308591190914	0.7795773338199731	0.9654441649938414	nonsignificant_tolerance_direction
FGFR1	3	3	gse111151,gse118713,gse240112	65	consistently_up_in_resistance_pathways	go_bp:GOBP_ALCOHOL_METABOLIC_PROCESS;go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_CHEMOTAXIS;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CHONDROCYTE_DIFFERENTIATION;go_bp:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT;go_bp:GOBP_DEVELOPMENTAL_INDUCTION;go_bp:GOBP_EAR_DEVELOPMENT	0.4890075673028571	0.3714708218170789	0.8634975052990252	nonsignificant_tolerance_direction
SRC	3	2	gse111151,gse118713,gse240112	65	mixed	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	-0.5979267823846772	0.1164618444572562	0.7616616496167914	nonsignificant_sensitising_direction
ACVR1	3	3	gse111151,gse118713,gse240112	56	consistently_up_in_resistance_pathways	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT;go_bp:GOBP_CARDIAC_CHAMBER_MORPHOGENESIS;go_bp:GOBP_CARDIAC_SEPTUM_DEVELOPMENT;go_bp:GOBP_CARDIAC_SEPTUM_MORPHOGENESIS;go_bp:GOBP_CARDIOCYTE_DIFFERENTIATION	-0.4241984326590478	0.245879296653547	0.812261542677148	nonsignificant_sensitising_direction
