collection	pathway	datasets_tested	datasets_tested_names	datasets_FDR05	datasets_nominal	NES_positive_count	NES_negative_count	direction_consistency	median_NES	mean_NES	leading_edge_overlap	consensus_category
reactome	REACTOME_SYNDECAN_INTERACTIONS	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.7903110659445505	1.5671902964269655	4.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	3	gse111151,gse118713,gse240112	1	3	3	0	all_positive	1.759806982527042	1.7578621864624502	2.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.7410183933727978	1.6551208596486973	3.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.7216518225589763	1.6680129947797948	4.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION	3	gse111151,gse118713,gse240112	1	3	3	0	all_positive	1.7079392748328248	1.6788770303592777	2.0	DIRECTIONAL_CONSENSUS
reactome	REACTOME_INTERLEUKIN_10_SIGNALING	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.7036848441344714	1.587962912574085	0.0	DIRECTIONAL_CONSENSUS
reactome	REACTOME_SIGNALING_BY_MET	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.6997565098900134	1.520000213070402	7.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.6978551698431572	1.5901178657783603	2.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_POSITIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	3	gse111151,gse118713,gse240112	1	3	3	0	all_positive	1.6898321458773005	1.6776495332150814	4.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE	2	gse111151,gse240112	1	2	2	0	all_positive	1.6894467682417815	1.6894467682417815	3.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_MESENCHYMAL_CELL_PROLIFERATION	3	gse111151,gse118713,gse240112	1	3	3	0	all_positive	1.684562683514376	1.7485581546464732	5.0	DIRECTIONAL_CONSENSUS
reactome	REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.6783675651871246	1.4489779580466067	4.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	2	gse111151,gse240112	1	2	2	0	all_positive	1.67610609785951	1.67610609785951	6.0	DIRECTIONAL_CONSENSUS
reactome	REACTOME_ELASTIC_FIBRE_FORMATION	3	gse111151,gse118713,gse240112	1	3	3	0	all_positive	1.6727349785725196	1.7683205422017085	7.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_SECONDARY_PALATE_DEVELOPMENT	3	gse111151,gse118713,gse240112	1	3	3	0	all_positive	1.6725983572973102	1.6914886052963116	2.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.6639484105990563	1.5716798842641626	5.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_BRANCH_ELONGATION_OF_AN_EPITHELIUM	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.6626924875258149	1.587621842831082	3.0	DIRECTIONAL_CONSENSUS
go_bp	GOBP_CHONDROCYTE_PROLIFERATION	3	gse111151,gse118713,gse240112	1	2	3	0	all_positive	1.6626046733344173	1.6424168515300652	2.0	DIRECTIONAL_CONSENSUS
